 	ils	viennent	d'	enterrer	la	dépouille	de	leur	oncle	au	village	</S>
b	0.955808	0.0271184	0.00281023	0.00156559	0.00256682	0.000766261	0.00121922	0.00483435	0.000168655	0.00192533	0.00119776	1.9169e-05
á	0.771303	0.171785	0.0255738	0.000504499	0.00107857	0.00154083	0.000709649	0.0165211	5.94586e-05	0.0108985	3.41414e-06	2.18638e-05
a	0.816535	0.156103	0.00842022	0.000417906	0.000235462	0.00108784	0.000902711	0.0138875	0.000261321	0.0019606	1.25326e-05	0.000175588
á	0.139247	0.573689	0.164889	0.0033386	0.00298105	0.00351997	0.00926895	0.0159908	0.00190879	0.0384733	0.000314991	0.0463788
w	0.0048084	0.39369	0.475483	0.033861	0.0158928	0.0106677	0.0103561	0.00472656	0.00534038	0.0123874	0.000312485	0.0324735
ú	0.00907442	0.367657	0.457264	0.0544197	0.0264602	0.0151233	0.0171292	0.0110439	0.00917578	0.00838151	0.000596545	0.0236747
r	0.0355626	0.103093	0.714277	0.0759789	0.0219559	0.00411926	0.00776514	0.0173171	0.00112346	0.00746856	0.00240834	0.00893105
u	0.00745748	0.106541	0.783553	0.0281046	0.0357812	0.00589913	0.0068604	0.00688248	0.000142931	0.0118033	0.000893019	0.00608083
o	0.0346131	0.0737124	0.528652	0.164489	0.123718	0.0137134	0.0109128	0.011	0.00622916	0.017718	0.00685686	0.0083855
k	0.000688743	0.00230033	0.0333523	0.885395	0.0271764	0.0359662	0.00540242	0.0011755	0.002131	0.000646421	0.00370669	0.0020589
u	5.57567e-05	0.000451474	0.0196089	0.894171	0.0338836	0.0270515	0.0120279	0.000488943	0.00046217	0.00030543	0.000535911	0.0109575
n	0.000274088	0.00121263	0.0194254	0.933884	0.0174747	0.00951346	0.00197378	0.000240557	9.49385e-05	0.000427401	0.000841986	0.0146368
d	0.0189555	0.0146282	0.099317	0.773927	0.0416924	0.0199642	0.00974617	0.0013458	9.73988e-06	0.00198413	0.000274124	0.0181553
á	0.018828	0.0326386	0.213245	0.492344	0.154483	0.0403815	0.0142687	0.00276121	0.000156489	0.00268435	0.000281779	0.0279273
e	0.00529794	0.00849688	0.104679	0.117079	0.527863	0.143579	0.0532192	0.0184404	0.00414761	0.00859787	0.000398667	0.00820173
b	0.00238924	0.00140991	0.010744	0.289289	0.156273	0.430542	0.0756175	0.00413087	0.0111879	0.00196164	0.00838295	0.00807159
e	0.0049821	0.00262987	0.0151639	0.00961385	0.0356903	0.866619	0.0461643	0.00872204	0.00526622	0.00110438	0.00146466	0.00257986
m	0.000149397	0.000513047	0.0093449	0.0212057	0.0759237	0.863815	0.0154184	0.000666188	0.00358586	0.000591575	5.70756e-05	0.00872902
b	0.00104531	0.000314193	0.0014403	0.00108115	0.0453588	0.872014	0.0397159	0.025786	0.00382944	0.00679341	4.99264e-05	0.00257193
e	9.95481e-05	0.000483416	0.00449984	0.0063395	0.0426661	0.838238	0.0515103	0.00468303	0.000748701	0.00578071	0.000293643	0.0446568
y	4.2887e-05	0.000894133	0.00974565	0.00321196	0.110035	0.105403	0.614098	0.0512018	0.0192071	0.0234217	0.00194265	0.0607957
á	0.000231694	9.76479e-05	0.00520132	0.00411231	0.0810856	0.0892812	0.380084	0.0912998	0.14296	0.0440653	0.0572056	0.104375
n	0.000411271	5.69518e-05	0.00241473	0.00218531	0.0182148	0.0414627	0.220211	0.606066	0.0614146	0.0152758	0.0281491	0.00413817
g	0.000319916	3.08701e-05	0.000587013	5.32592e-05	0.00420091	0.00865189	0.0617162	0.0818443	0.830121	0.00428294	0.00159818	0.00659361
ó	0.000343796	3.24275e-05	0.000153319	0.000105918	0.00170947	0.00198414	0.0200299	0.0121957	0.950442	0.00203929	0.00208852	0.00887517
l	5.27027e-05	7.30409e-06	5.1866e-05	3.11364e-05	0.00134287	0.00178801	0.0100656	0.00621623	0.961738	0.00139928	0.00882575	0.00848098
ó	0.000186347	0.000726269	0.00237665	0.00145824	0.0334422	0.0135713	0.161374	0.142711	0.475853	0.0804075	0.0583442	0.0295487
m	1.92461e-05	6.83784e-05	0.000198831	0.000104951	0.00347672	0.00598229	0.0591207	0.0264443	0.552241	0.0586505	0.196202	0.0974916
i	4.85391e-05	0.000149511	0.00261775	0.00237165	0.0174776	0.0241839	0.111851	0.108573	0.0746727	0.278935	0.0253601	0.353759
y	0.00010723	0.000316038	0.0061314	0.000737879	0.00984109	0.013093	0.121306	0.252271	0.0726611	0.273321	0.0199362	0.230278
a	0.000100043	0.000352508	0.00634075	0.00153761	0.0169556	0.0222487	0.144659	0.266347	0.1826	0.0649319	0.0901903	0.203736
b	8.3748e-06	1.08181e-05	0.000448052	0.000176845	0.00236681	0.00133895	0.0408895	0.45604	0.0310419	0.0832725	0.24663	0.137776
á	0.000841061	0.000368958	0.00324185	0.00140994	0.0117945	0.0292901	0.249913	0.527977	0.00843304	0.0360641	0.0164257	0.11424
a	0.000432796	0.000119921	0.001343	0.000333427	0.00503888	0.0039416	0.0679145	0.487451	0.0331827	0.104618	0.0666566	0.228968
ó	0.000151265	0.000361594	0.00405372	0.000284732	0.00738314	0.00283615	0.043601	0.120419	0.00742768	0.5321	0.0234933	0.257889
p	0.000103094	0.000617172	0.0399218	0.00926826	0.113471	0.0341652	0.120244	0.0371892	0.0402331	0.186389	0.301544	0.116855
o	2.52838e-05	0.000252648	0.00958079	0.00409741	0.00995986	0.00312851	0.037966	0.0282507	0.00355477	0.0393578	0.628972	0.234855
o	5.15476e-05	0.000104383	0.00506468	0.0017345	0.00984442	0.00154772	0.033058	0.0248232	0.00512546	0.034655	0.554354	0.329637
</S>	3.88835e-05	9.35709e-05	0.0133678	0.000464859	0.0148863	0.00281394	0.03355	0.0828438	0.00129156	0.225822	0.141064	0.483763
