 	le	forgeron	fabrique	une	houe	</S>
o	0.947712	0.0502225	0.00152358	0.00036249	0.000133062	4.58271e-05
k	0.0953564	0.897484	0.00338375	0.000645978	0.00116582	0.00196372
u	0.00349983	0.993857	0.00024005	0.000246379	0.00101438	0.00114186
b	0.000854231	0.996983	0.000187247	0.000248037	0.000415555	0.00131148
h	0.760784	0.154656	0.0474511	0.00627069	0.00537761	0.0254603
a	0.761027	0.185779	0.0261696	0.00445821	0.00104369	0.021523
l	0.139625	0.0454817	0.648898	0.0817906	0.0195915	0.0646127
á	0.0357915	0.00123322	0.299002	0.0801943	0.0250133	0.558766
a	0.488593	0.0013784	0.390322	0.0844893	0.0175712	0.0176466
t	0.0402432	0.0521568	0.406643	0.270253	0.149456	0.0812482
ú	0.00471107	0.107228	0.185408	0.489986	0.0756638	0.137003
á	0.0381701	0.0411833	0.136441	0.332732	0.0628396	0.388634
e	0.00279062	0.00146748	0.069264	0.52486	0.293827	0.107791
s	0.00321941	0.0020094	0.0177203	0.27887	0.614652	0.0835288
έ	0.000853261	0.00134404	0.00791071	0.115287	0.821617	0.052988
έ	0.000161975	0.000266731	0.0149811	0.0831042	0.314752	0.586734
</S>	0.0029536	0.000204489	0.0127138	0.213051	0.382883	0.388195
