 	cet	enfant	est	un	véritable	touche-à-tout	</S>
m	0.842931	0.12915	0.00385667	0.00449414	0.0171037	0.0018983	0.000566761
w	0.0490306	0.933438	0.0083428	0.00192562	0.00568691	0.000193472	0.00138248
á	0.00939466	0.989969	6.51766e-05	9.09064e-05	6.4321e-05	0.000372299	4.35771e-05
n	0.244409	0.750842	0.00070415	0.000264394	0.00080236	0.000299278	0.00267839
a	0.146896	0.690435	0.0232151	0.00882349	0.0066921	0.0184679	0.105471
w	0.820316	0.0347241	0.082207	0.0298311	0.0218502	0.00614229	0.00492945
o	0.23951	0.059309	0.274247	0.119549	0.0408449	0.0467002	0.21984
a	0.0423005	0.0094069	0.636383	0.224875	0.0247874	0.0191203	0.0431273
d	0.00427687	0.00165018	0.767516	0.168838	0.0144806	0.00309004	0.0401477
i	0.0213619	0.00626047	0.599571	0.207478	0.059722	0.0109063	0.0946996
y	0.00722755	0.00305994	0.323735	0.463939	0.149696	0.00941899	0.0429234
á	0.00908154	0.00522747	0.220663	0.36798	0.204887	0.0799573	0.112204
a	0.0154317	0.00614956	0.0601639	0.193273	0.358957	0.333678	0.0323463
m	0.00095161	0.000661362	0.0708288	0.489821	0.165023	0.248547	0.0241674
έ	0.00465033	0.00321266	0.0443547	0.11275	0.0897378	0.275217	0.470077
n	0.00050241	0.000415198	0.0638746	0.284599	0.0949832	0.274672	0.280954
έ	0.00354189	0.0021152	0.0139854	0.0854319	0.422798	0.344375	0.127753
e	0.000504416	0.000150857	0.020976	0.0485004	0.467951	0.218679	0.243238
d	0.00325066	0.000495918	0.0180731	0.117587	0.200118	0.506902	0.153573
z	0.00119904	3.3006e-05	0.00250192	0.016323	0.114587	0.632612	0.232744
ó	0.00262342	0.000279387	0.00148118	0.0205562	0.0399466	0.906324	0.0287894
</S>	0.000847307	9.73647e-05	0.01534	0.194326	0.0641813	0.30382	0.421388
