 	il	m'	a	beaucoup	fait	marcher	</S>
w	0.883653	0.0839256	0.0230133	0.00628595	0.0018831	0.00106628	0.000172894
a	0.912352	0.0523669	0.0161123	0.0090982	0.00217697	0.00778848	0.000104801
á	0.178298	0.185491	0.437606	0.141653	0.0410951	0.0118385	0.00401834
b	0.052594	0.0805648	0.45668	0.210398	0.144253	0.0199542	0.0355568
h	0.0562175	0.0307402	0.350759	0.28667	0.129609	0.0237056	0.122299
é	0.0272094	0.0252256	0.29288	0.374721	0.215064	0.02272	0.042181
m	0.014137	0.0529974	0.169621	0.320855	0.144556	0.0582288	0.239604
b	0.029362	0.0735515	0.21171	0.195627	0.110893	0.236567	0.14229
i	0.0269591	0.027927	0.0940778	0.207662	0.273868	0.138139	0.231366
s	0.0620548	0.107317	0.155145	0.278776	0.138116	0.159739	0.0988526
i	0.00717132	0.0539097	0.087128	0.225036	0.17237	0.196409	0.257975
n	0.0131311	0.120388	0.127509	0.303679	0.125188	0.217084	0.093021
g	0.0047514	0.284145	0.0168496	0.095338	0.0239692	0.493368	0.0815788
á	0.00171975	0.39321	0.0417368	0.14123	0.0269445	0.348707	0.0464526
w	0.00105049	0.000526331	0.014187	0.0988965	0.192502	0.253547	0.43929
a	0.0194598	0.0084253	0.0748337	0.209572	0.28334	0.240366	0.164002
m	0.00144364	0.00225666	0.0171427	0.105694	0.15209	0.163137	0.558236
é	0.00304258	0.00249813	0.00900949	0.0600075	0.134443	0.379308	0.411692
n	0.0019944	0.00221297	0.015076	0.0879015	0.181816	0.3108	0.400198
ε	0.00129184	0.0104441	0.0117083	0.0464453	0.0257778	0.648839	0.255493
n	0.000454667	0.0107374	0.0113252	0.0624593	0.0213827	0.340963	0.552678
d	7.43877e-05	0.000296343	0.000763444	0.010934	0.0169079	0.163115	0.807909
e	0.000106315	0.00347058	0.000675837	0.00800298	0.00844192	0.16759	0.811713
</S>	0.000183552	0.00152114	0.00260834	0.0442249	0.018825	0.182233	0.750404
