 	le	conseil	de	famille	au	sujet	de	la	santé	de	tsanganzoro	s'	est	tenu	calmement	</S>
n	0.693648	0.142768	0.0449696	0.0224248	0.0354275	0.0127805	0.00829349	0.00785739	0.000911481	0.00489598	0.0111538	0.0132437	0.000844949	0.000592171	0.000151513	3.70672e-05
d	0.710476	0.270046	0.00601057	0.00282208	0.00283996	0.000245466	0.00155846	0.00158149	0.000526143	0.00128937	0.00203299	0.000354529	0.000107565	1.44681e-05	5.79179e-05	3.73553e-05
ω	0.0762055	0.908336	0.0019094	0.00160313	0.00114088	0.000399343	0.00039126	0.00151252	0.00170296	0.000334567	0.0061378	8.04308e-05	0.000133679	5.05924e-05	4.19389e-05	1.95962e-05
ω	0.0263148	0.94179	0.00340545	0.0089367	0.00204865	0.00054961	0.000759662	0.0017508	0.00176493	0.000821394	0.00997662	0.000804668	0.000341719	0.000106334	7.40806e-05	0.000554273
y	0.0859649	0.0649598	0.544072	0.12194	0.0532173	0.00657687	0.0161915	0.00968288	0.0152523	0.0128587	0.00643747	0.0213774	0.0137187	0.00543851	0.00531595	0.0169956
a	0.502748	0.0953832	0.125411	0.0492061	0.0464417	0.00517619	0.0191155	0.0231805	0.0246473	0.0133622	0.0138181	0.0388286	0.0168598	0.00143379	0.00745516	0.0169328
t	0.639384	0.0311684	0.111083	0.0738695	0.0319496	0.00508015	0.00518366	0.0100734	0.0107269	0.00679423	0.0424146	0.0108523	0.00437101	0.000264946	0.00374364	0.0130402
s	0.276193	0.101966	0.0644255	0.075806	0.0889715	0.12227	0.0156308	0.0294233	0.0148801	0.0159769	0.0952732	0.00506742	0.0138753	0.0193828	0.0303376	0.0305212
a	0.0553512	0.0409827	0.126041	0.240589	0.138891	0.110158	0.0215641	0.0413141	0.0260658	0.0404789	0.0678609	0.015691	0.0090387	0.00865002	0.0158491	0.0414737
n	0.0270838	0.00515681	0.253818	0.24961	0.169165	0.0846402	0.0212314	0.0254433	0.0125034	0.0240672	0.0138503	0.0132172	0.00738922	0.00654985	0.0160945	0.0701808
g	0.0821559	0.0284341	0.190266	0.23658	0.127886	0.0393233	0.0295904	0.040072	0.0392535	0.0376062	0.0397547	0.0231548	0.0143158	0.00116533	0.0034947	0.0669476
a	0.158468	0.135347	0.193312	0.221637	0.0958203	0.0156507	0.0193279	0.0398069	0.0312089	0.0101614	0.0490547	0.0146936	0.00231958	0.000133271	0.000389419	0.0126704
n	0.0221193	0.00903864	0.26017	0.263469	0.281929	0.0383147	0.0288483	0.0161385	0.0176542	0.0159805	0.00451539	0.0189084	0.00944023	0.00476621	0.00277812	0.00592915
d	0.0256335	0.00743566	0.21991	0.246514	0.184449	0.018318	0.066332	0.0328961	0.0674386	0.0443849	0.0103302	0.0241835	0.0185632	0.000669246	0.00153511	0.0314065
z	0.00424388	0.0143482	0.0404346	0.136854	0.118099	0.0867907	0.0696801	0.104997	0.22639	0.0418902	0.103808	0.00682816	0.0115487	0.000603982	0.0015556	0.0319286
ó	0.0032751	0.0285518	0.0580099	0.120562	0.14213	0.139295	0.113501	0.14438	0.0299202	0.0344409	0.090034	0.00418633	0.012736	0.000935107	0.0025134	0.0755304
r	0.0190041	0.0235078	0.0908334	0.108348	0.116493	0.180383	0.0866276	0.105229	0.0279327	0.0403647	0.115458	0.0230603	0.0084606	0.0031959	0.00366152	0.0474417
o	0.0307171	0.0301393	0.0692444	0.0795798	0.106789	0.238135	0.103567	0.142134	0.0287724	0.0175961	0.101931	0.0185972	0.00464049	0.00138914	0.00154452	0.0252231
a	0.0341964	0.00803134	0.189863	0.107768	0.153647	0.0822389	0.151376	0.0839036	0.0725056	0.0280762	0.011336	0.0505004	0.0102869	0.00956422	0.00119696	0.00550876
b	0.0051339	0.00157764	0.122821	0.177572	0.103521	0.0347745	0.0331601	0.0158233	0.0446965	0.118655	0.0139544	0.051409	0.0866886	0.107343	0.0209597	0.0619111
h	0.00489817	0.000887782	0.0447637	0.130851	0.0578977	0.0298805	0.0178611	0.0143283	0.0214083	0.273471	0.00808732	0.0462849	0.171568	0.102356	0.0154891	0.0599665
ώ	0.00252512	0.000186099	0.0412471	0.165746	0.0735436	0.0801052	0.0645569	0.044635	0.0132035	0.233378	0.0233238	0.0348347	0.0876451	0.0616026	0.00908396	0.0643838
ώ	0.00213507	0.000175084	0.0638117	0.157617	0.110671	0.0483898	0.042092	0.0274666	0.0116789	0.140127	0.0128507	0.055298	0.0695802	0.16044	0.048653	0.0490137
m	0.00574284	0.000696835	0.00944264	0.0157454	0.0232876	0.0379576	0.0270391	0.0198418	0.0377342	0.0966141	0.0397421	0.0368432	0.103928	0.378994	0.110591	0.0558
ώ	0.000528008	0.000205111	0.0129046	0.0147992	0.0190398	0.00856757	0.12355	0.0401537	0.00632485	0.161266	0.0170324	0.0333083	0.285607	0.123926	0.0214438	0.131344
ó	0.000276648	0.000168969	0.00211403	0.00734684	0.00722216	0.0297686	0.0140231	0.011034	0.00306663	0.0563587	0.0792836	0.015748	0.0804904	0.58633	0.075569	0.0311994
t	0.000711859	0.000579521	0.00341658	0.0136546	0.00799733	0.0129753	0.00394969	0.00250986	0.000447947	0.0342034	0.0270256	0.0150169	0.0805409	0.673627	0.0962846	0.0270588
s	0.000319344	0.000406758	0.00391681	0.00690086	0.00562288	0.0235705	0.00284467	0.00473738	0.00106621	0.0370212	0.0622686	0.00840432	0.0433543	0.586934	0.177825	0.0348074
ώ	6.51471e-05	9.63953e-05	0.000607494	0.00348279	0.00383392	0.0375627	0.00444773	0.0111686	0.00153766	0.0627749	0.316551	0.00841906	0.0223208	0.373754	0.131894	0.0214834
b	0.00020317	5.27794e-05	0.00220095	0.0125553	0.0156175	0.0391617	0.031387	0.0779651	0.00889891	0.207895	0.236761	0.0941955	0.0544661	0.0964188	0.065183	0.0570386
h	0.00026654	8.26436e-05	0.0017166	0.00301246	0.00540695	0.0264605	0.0120959	0.0535866	0.0242561	0.131043	0.171565	0.0617114	0.0692651	0.194513	0.124972	0.120045
ω	0.000240538	4.88606e-05	0.000824813	0.00442699	0.00620939	0.0249302	0.0237836	0.101755	0.0105501	0.101866	0.477499	0.0555238	0.0236318	0.0603788	0.0456205	0.0627099
y	0.00099949	4.02169e-05	0.00174436	0.00320005	0.00513054	0.00529185	0.0238538	0.0320195	0.00899603	0.137481	0.0579653	0.277979	0.150991	0.0446266	0.101064	0.148617
ώ	0.0269968	0.00338912	0.0209818	0.0104648	0.0153203	0.00882873	0.0611194	0.0645095	0.0135936	0.0584029	0.0642042	0.200373	0.137545	0.0187578	0.249865	0.0456486
ω	0.00179696	0.000277758	0.00139656	0.00195156	0.00180008	0.00188697	0.00755746	0.00928996	0.00589934	0.0250765	0.0690418	0.0636415	0.0718542	0.00626233	0.523515	0.208752
</S>	0.000525529	0.00066553	0.00797957	0.0125026	0.0102232	0.00699572	0.00280174	0.00128495	0.000326093	0.0156374	0.00690525	0.0107605	0.0691245	0.124204	0.640965	0.0890977
