 	il	y	a	beaucoup	de	larves	dans	cet	étang	</S>
e	0.13944	0.342698	0.133417	0.0832062	0.190579	0.0223318	0.0564574	0.0298503	0.00174815	0.000272884
t	0.0216545	0.136163	0.199544	0.157809	0.0908358	0.245663	0.070101	0.0286861	0.0439594	0.00558436
o	0.00822264	0.0501274	0.0887373	0.104862	0.0415992	0.5898	0.0146753	0.0101613	0.0847731	0.00704203
n	0.00290939	0.0793329	0.186518	0.275923	0.0879747	0.208802	0.0155351	0.0357465	0.102059	0.0052
g	0.108746	0.0764203	0.0928009	0.113563	0.0622383	0.395311	0.0160845	0.0266663	0.0645002	0.0436701
o	0.344227	0.174154	0.0352198	0.0848631	0.0559378	0.224981	0.00861769	0.021481	0.0290824	0.0214357
y	0.0978644	0.153653	0.25132	0.114116	0.17685	0.0455595	0.072741	0.036797	0.004299	0.0467989
é	0.110222	0.093939	0.271583	0.280915	0.119724	0.0340099	0.0165521	0.0383302	0.00641062	0.0283137
é	0.067801	0.0270741	0.159502	0.400479	0.169695	0.0369105	0.0193706	0.0598175	0.0205111	0.0388396
d	0.0163984	0.0223351	0.251474	0.362029	0.14098	0.079291	0.0554814	0.0399464	0.0134377	0.0186276
í	0.000542469	0.00103933	0.0518746	0.139061	0.0404867	0.0327626	0.445353	0.0451407	0.00758973	0.236149
l	0.00270579	0.00346951	0.0717233	0.140151	0.0879365	0.0412273	0.241847	0.107122	0.0353352	0.268483
i	0.00677092	0.0119184	0.0804648	0.130174	0.0966777	0.0577005	0.146247	0.11911	0.0454629	0.305473
b	0.00282593	0.00431201	0.0223922	0.0744079	0.0481093	0.245617	0.0779965	0.0749442	0.359835	0.0895598
o	0.00927906	0.0254357	0.0403685	0.165058	0.11298	0.215883	0.141191	0.0409211	0.225607	0.0232758
m	9.99705e-05	0.00108899	0.00536102	0.0232963	0.0183982	0.613017	0.0266411	0.0135577	0.264501	0.034039
b	0.0120418	0.0136641	0.0125785	0.0468806	0.196025	0.238473	0.0916666	0.101037	0.172043	0.11559
o	0.0165184	0.00815727	0.0112309	0.0515225	0.0684227	0.515643	0.0465016	0.0412357	0.129896	0.110871
i	0.00380658	0.00886656	0.0358595	0.0512923	0.139127	0.0347892	0.227558	0.0936233	0.0355237	0.369553
y	0.0174384	0.0271898	0.129561	0.0836896	0.0507757	0.0228213	0.136797	0.215492	0.0778661	0.238369
í	0.00192508	0.0095922	0.0497775	0.0944021	0.0403662	0.00876719	0.167978	0.446511	0.0424297	0.138251
í	0.00141409	0.00156016	0.0107141	0.030146	0.0214105	0.00428889	0.120763	0.254511	0.115306	0.439886
</S>	0.00203722	0.00551685	0.0294632	0.0307658	0.0288483	0.00401892	0.127567	0.249472	0.0312184	0.491093
