 	il	fait	une	boucle	avec	la	corde	</S>
w	0.752757	0.150656	0.066323	0.0230435	0.00303445	0.00128568	0.00232276	0.00057795
a	0.926668	0.0401523	0.0138492	0.00825674	0.004259	0.00490523	0.00172104	0.000188417
a	0.170394	0.435377	0.294161	0.068866	0.0154872	0.00710972	0.000776045	0.00782962
k	0.036251	0.348301	0.24125	0.270666	0.0529554	0.0252694	0.00156742	0.0237397
a	0.0235234	0.148371	0.0906281	0.511261	0.131319	0.0262939	0.0012651	0.0673388
n	0.00199808	0.0727253	0.0732482	0.709512	0.108927	0.0184378	0.00362996	0.0115216
g	0.0271379	0.130229	0.29302	0.394651	0.119256	0.0174801	0.000950003	0.0172766
í	0.0559347	0.139732	0.139189	0.515332	0.0886433	0.0151356	0.00214286	0.0438907
s	0.0395493	0.0336914	0.149846	0.369893	0.240391	0.111224	0.0172958	0.0381099
i	0.00332126	0.0142214	0.0495424	0.495751	0.265201	0.0485909	0.0616183	0.0617543
n	0.0142837	0.0152996	0.0761338	0.209937	0.17039	0.14159	0.247203	0.125163
g	0.00183956	0.00645003	0.0155124	0.188757	0.164919	0.0868716	0.438078	0.0975717
a	0.0010927	0.0054332	0.0205617	0.172369	0.106951	0.0567391	0.59747	0.0393826
k	0.000968728	0.00996668	0.0373206	0.0350509	0.15106	0.110581	0.248287	0.406765
ó	0.00797393	0.0172679	0.0346756	0.0325693	0.116864	0.239332	0.0928978	0.458419
l	0.000621983	0.00384095	0.0118697	0.0124424	0.067989	0.13323	0.284479	0.485527
o	0.000811818	0.00624341	0.0094875	0.0121653	0.0635979	0.123012	0.404374	0.380308
</S>	0.0017237	0.00723974	0.0106977	0.00615203	0.0533175	0.0922439	0.271995	0.556631
