 	je	mange	le	maïs	</S>
n	0.985604	0.00968652	0.00312838	0.00134698	0.000233884
g	0.995598	0.000708813	0.000206346	0.0033361	0.000151061
á	0.981351	0.00464223	0.000749196	0.0131375	0.000120661
l	0.589041	0.142698	0.0682373	0.0323862	0.167637
í	0.433256	0.285381	0.0767896	0.0254161	0.179158
i	0.0776414	0.378618	0.238119	0.0879494	0.217672
d	0.00229162	0.908773	0.0762696	0.00191442	0.0107509
z	0.00150774	0.966013	0.0301542	0.000392538	0.00193269
á	0.175432	0.785417	0.0320886	0.00115414	0.00590818
i	0.00338992	0.0683426	0.379534	0.0848685	0.463865
s	0.00195723	0.0587185	0.374673	0.377002	0.187649
á	0.00165381	0.104903	0.2671	0.537493	0.0888506
n	0.00100655	0.0517241	0.175582	0.524962	0.246725
g	0.01097	0.0455859	0.115005	0.67247	0.15597
í	0.0536796	0.004876	0.0213317	0.734212	0.185901
</S>	0.00223644	0.0106497	0.13791	0.297244	0.551959
