 	le	feu	est	allumé	</S>
m	0.874777	0.11463	0.0101899	8.95164e-05	0.000313491
í	0.0122716	0.978818	0.00758531	9.60125e-05	0.00122929
á	0.516692	0.426842	0.0130603	0.0384383	0.00496705
í	0.104732	0.378768	0.446704	0.0148771	0.0549195
m	0.0378017	0.0204816	0.81875	0.0580953	0.0648715
i	0.0121125	0.14429	0.338722	0.321068	0.183807
n	0.0054168	0.0085273	0.113293	0.808951	0.0638117
a	0.0122331	0.0634593	0.116717	0.676693	0.130897
m	0.0192624	0.0034979	0.224699	0.462107	0.290434
a	0.195972	0.104727	0.139824	0.146459	0.413018
</S>	0.0474946	0.0910933	0.284954	0.0655286	0.510929
