 	cette	femme	use	les	habits	</S>
o	0.876107	0.116254	0.00085074	0.00265661	0.00367347	0.00045842
y	0.0165171	0.982063	0.00103065	9.58395e-05	0.000139315	0.00015436
ú	0.965232	0.033435	0.000591081	0.000369108	9.91012e-05	0.000273245
r	0.942979	0.0170952	0.00140539	0.00686863	0.00143127	0.0302206
u	0.889744	0.0736489	0.00599499	0.00999006	0.00621167	0.0144101
w	0.505136	0.156774	0.0985454	0.117572	0.0204921	0.101481
ó	0.522046	0.0528951	0.220372	0.0930282	0.00805737	0.103601
l	0.233749	0.00835147	0.476163	0.137498	0.00630095	0.137938
á	0.156765	0.00197518	0.271585	0.162967	0.0328627	0.373845
a	0.594133	0.00710257	0.0608364	0.273494	0.0204402	0.0439945
b	0.010126	0.0045364	0.913165	0.0462181	0.0201834	0.00577111
o	0.000213405	0.000133417	0.968327	0.0202527	0.00813127	0.00294174
m	0.0015711	2.14089e-05	0.985946	0.00389652	0.00540717	0.00315764
á	0.11312	0.000251417	0.386709	0.225839	0.0369351	0.237146
i	0.00946103	0.000107535	0.0705595	0.561193	0.296786	0.0618934
k	0.000469941	0.000494552	0.0165257	0.0631962	0.871994	0.0473191
á	6.76926e-05	2.59506e-06	0.00553602	0.00478941	0.981847	0.00775702
n	0.000517801	8.6409e-05	0.0318932	0.0199532	0.907558	0.0399917
d	0.000460656	8.92724e-06	0.0235789	0.10594	0.680775	0.189236
á	0.00477213	0.000167269	0.00555679	0.0727634	0.386025	0.530715
</S>	0.00828597	0.000343359	0.00535165	0.131441	0.107565	0.747013
