 	cette	jeune	fille	garde	rancune	contre	toi	parce	que	tu	avais	refusé	de	l'	épouser	</S>
m	0.395777	0.383957	0.0173014	0.0285331	0.0107381	0.0332473	0.0434517	0.0287704	0.0213934	0.0179204	0.00754212	0.00384935	0.00257337	0.00215229	0.00258528	0.000208528
w	0.086348	0.873112	0.0338787	0.00240231	0.000125084	0.000355036	0.000407387	0.000376446	0.000479178	0.000752434	0.000124949	0.000583096	0.000283512	0.000234188	0.000227055	0.000310173
á	0.0612376	0.726676	0.184397	0.00730986	0.00101374	0.00472838	0.00610109	0.0026401	0.00204579	0.00236377	0.000365977	0.00076118	0.000102942	7.56201e-05	0.000164716	1.61147e-05
n	0.0481939	0.923119	0.0198077	0.00237898	0.000530619	0.000984586	0.000309761	0.00044942	0.000568907	0.000248137	0.000131403	0.000417611	0.00025554	0.000266885	0.000258767	0.00207852
a	0.0706384	0.349524	0.286909	0.0456513	0.00898179	0.0354592	0.0285985	0.0239367	0.0367778	0.018723	0.00464165	0.00537701	0.00418079	0.00320539	0.00567895	0.071716
o	0.749243	0.199041	0.019096	0.00727222	0.00482878	0.00296427	0.00110783	0.00215771	0.00163058	0.0013284	0.00191655	0.000993287	0.00183132	0.00114158	0.000490316	0.00495739
y	0.496964	0.134087	0.102784	0.0870778	0.0950962	0.00763178	0.00324875	0.00531844	0.00657277	0.0064702	0.0213966	0.0151773	0.00544653	0.00156411	0.00559534	0.00556931
u	0.611494	0.0567602	0.296541	0.0106495	0.00486894	0.00196762	0.00153971	0.000948324	0.0014296	0.00282364	0.00154406	0.00622873	0.000868856	0.000287519	9.87472e-05	0.00194953
r	0.938023	0.0152207	0.00578758	0.00577042	0.00324849	0.00164384	0.00095081	0.00099423	0.00135925	0.0012488	0.000980987	0.00129514	0.00420361	0.00290599	0.000526628	0.0158401
u	0.883129	0.0573814	0.00412713	0.0041552	0.00550935	0.00563877	0.00346231	0.00356652	0.00462031	0.00244786	0.00326384	0.00183215	0.0050528	0.00394362	0.000565427	0.0113045
w	0.0602845	0.051754	0.408069	0.129294	0.107279	0.025346	0.00765098	0.0210809	0.022454	0.0122532	0.0287411	0.0119791	0.033924	0.0311305	0.0028303	0.0459295
ó	0.0347602	0.00473774	0.053883	0.0925906	0.118329	0.0896792	0.0471102	0.0716754	0.106064	0.0681023	0.0740434	0.0455125	0.0760832	0.0329536	0.00911008	0.0753663
a	0.0370361	0.00579916	0.0586839	0.198618	0.145352	0.136989	0.0310782	0.0660023	0.071347	0.0322153	0.0342503	0.01495	0.0412009	0.053296	0.00352001	0.0696621
d	0.00615578	0.00155462	0.0499483	0.53286	0.222418	0.0197984	0.00239132	0.00723211	0.00541642	0.00843169	0.0206775	0.0265151	0.0301633	0.00841234	0.00428549	0.0537389
í	0.034124	0.00608614	0.0763363	0.486458	0.11888	0.0777493	0.012978	0.0231066	0.0122732	0.0143331	0.0117364	0.0173111	0.0217778	0.00586217	0.000886605	0.0801014
l	0.0259191	0.00116724	0.0232688	0.21087	0.399763	0.101059	0.0258103	0.029176	0.0151388	0.00512868	0.0208998	0.00580541	0.0351698	0.023393	0.00676179	0.0706701
e	0.00103649	0.000199915	0.00343008	0.190002	0.21546	0.174663	0.0473431	0.0573471	0.0357294	0.0270806	0.0250827	0.0159142	0.0280022	0.0129956	0.00178773	0.163926
