 	le	repas	qu'	il	ont	préparé	est	délicieux	</S>
e	0.337148	0.441806	0.124577	0.0434791	0.0282646	0.0026052	0.0192065	0.000672521	0.00224111
l	0.161572	0.414818	0.0603859	0.027496	0.126021	0.173694	0.0187462	0.00536983	0.0118965
á	0.0972431	0.169066	0.0631945	0.0411351	0.0671149	0.327514	0.0443279	0.0282188	0.162186
m	0.0488845	0.170654	0.216383	0.0649063	0.0455528	0.132168	0.0346707	0.0608691	0.225912
b	0.13798	0.31029	0.19011	0.194785	0.059409	0.0120768	0.0162347	0.0249563	0.0541586
o	0.279226	0.383191	0.0601347	0.100248	0.0573358	0.0124813	0.0125024	0.0302763	0.0646049
y	0.113745	0.126784	0.225139	0.173754	0.185515	0.102851	0.0428771	0.00208819	0.0272467
é	0.377129	0.0739571	0.309972	0.0685704	0.0297782	0.0558633	0.02495	0.0270161	0.0327632
é	0.115595	0.0839056	0.472681	0.145647	0.0561331	0.0519552	0.0312996	0.0119862	0.030798
k	0.00883686	0.010943	0.0221988	0.0678165	0.269287	0.515607	0.0668041	0.0177261	0.0207805
y	0.00332887	0.00628568	0.0150713	0.0406944	0.190681	0.635971	0.0751445	0.00441468	0.0284088
e	0.0340331	0.0292356	0.0321408	0.11098	0.188785	0.437946	0.10385	0.0240971	0.0389321
b	0.00887671	0.0186294	0.0836293	0.196265	0.274026	0.247563	0.09651	0.00925374	0.0652474
á	0.050133	0.0845636	0.0470079	0.115102	0.154626	0.29333	0.0868579	0.095029	0.07335
a	0.0253016	0.0564506	0.17453	0.426217	0.0998943	0.0292832	0.0578073	0.0586889	0.0718266
é	0.00236363	0.00393695	0.0168513	0.0516987	0.0756628	0.136034	0.578676	0.0773348	0.0574418
d	0.0129371	0.012616	0.0103622	0.0192281	0.0745566	0.196296	0.415413	0.211793	0.0467981
i	0.00374679	0.00128392	0.00257897	0.00563946	0.0334722	0.219431	0.209306	0.137832	0.386709
m	0.0038912	0.00135191	0.00630766	0.0192546	0.0465577	0.111381	0.473734	0.119883	0.217639
w	0.00948762	0.00816729	0.00912515	0.0239797	0.0165948	0.0128983	0.165058	0.560499	0.194189
á	0.00659742	0.0163012	0.0128433	0.0417106	0.0166354	0.0106477	0.0740436	0.613148	0.208072
n	0.0118513	0.00628522	0.0125071	0.0276633	0.0186896	0.00798784	0.101546	0.389595	0.423874
y	0.00710995	0.00632004	0.0113053	0.0145797	0.00636548	0.0256046	0.0680387	0.56124	0.299437
á	0.0047557	0.00157055	0.0026886	0.00240251	0.00147857	0.0121554	0.0262272	0.677246	0.271476
á	0.00103704	0.000711388	0.00510047	0.0127172	0.0135214	0.0277184	0.130314	0.277423	0.531457
w	0.00617136	0.00495525	0.0189629	0.0287555	0.0271024	0.0271561	0.105749	0.473217	0.30793
a	0.00367704	0.00539165	0.0193071	0.0264369	0.0239024	0.0295572	0.186018	0.50887	0.19684
m	0.00405188	0.00122835	0.00550444	0.00442259	0.00534059	0.0305469	0.155627	0.289458	0.50382
έ	0.0107182	0.013995	0.0344996	0.0222808	0.0172957	0.0144511	0.359181	0.251619	0.27596
n	0.00275104	0.00333606	0.00974917	0.0162278	0.0203481	0.0153531	0.302726	0.206239	0.423269
d	0.00658564	0.00262153	0.00968977	0.00666069	0.0026913	0.00805905	0.0163595	0.425921	0.521411
e	0.00227679	0.00184988	0.00444452	0.00195375	0.000840182	0.00970359	0.00888912	0.189453	0.780589
</S>	0.000106756	0.000163506	0.00115644	0.00070493	0.000412618	0.0081781	0.0156955	0.09837	0.875212
