 	okaa	arrache	les	mauvaises	herbes	dans	sa	parcelle	</S>
o	0.987424	0.00739906	0.00136891	0.000596367	0.000388178	0.00107655	0.000621303	0.00103567	8.96174e-05
k	0.999756	0.000215364	7.55489e-06	3.93986e-06	2.76297e-06	2.5291e-06	2.56405e-06	3.91668e-06	5.74554e-06
á	0.994256	0.00389585	6.8907e-05	0.000102557	0.000200457	0.000163676	0.000292008	0.000784988	0.000235813
á	0.919936	0.0508006	0.00165651	0.00120762	0.00374531	0.00112076	0.00136129	0.00242951	0.0177427
b	0.0186549	0.740746	0.143389	0.016265	0.0182585	0.0229405	0.00721724	0.000970435	0.0315577
ó	0.00199675	0.562167	0.188948	0.0375185	0.0661516	0.0774411	0.0244609	0.00336298	0.0379532
l	0.00266748	0.558016	0.258544	0.0739086	0.0515144	0.0285675	0.00985683	0.00363723	0.0132878
á	0.000887317	0.408877	0.244619	0.0460579	0.0807774	0.0516357	0.0271387	0.0100659	0.129941
a	0.000712083	0.135876	0.444438	0.266301	0.0604107	0.0305914	0.0202286	0.0045363	0.0369052
b	0.0161923	0.609083	0.119779	0.152942	0.0739207	0.0123815	0.00393655	0.00246187	0.00930302
í	0.0267307	0.679132	0.126925	0.128312	0.0233712	0.008406	0.00222461	0.000876941	0.00402258
l	0.00381761	0.660644	0.0414939	0.186641	0.0577309	0.00949605	0.00150646	0.00388273	0.0347871
á	0.00091297	0.333935	0.222199	0.0623296	0.199697	0.0931037	0.024135	0.0229628	0.0407254
m	0.000285109	0.0194782	0.247452	0.173214	0.244171	0.226699	0.0557054	0.0214859	0.0115092
b	9.83654e-05	0.00323845	0.126149	0.629281	0.0656285	0.0941095	0.0559307	0.00472323	0.0208414
v	6.34016e-05	0.00129864	0.0427974	0.810413	0.0560644	0.0443105	0.0308111	0.00956131	0.00468034
u	0.00340434	0.012742	0.0545892	0.508822	0.0960744	0.179803	0.065533	0.032832	0.0461999
m	5.46287e-05	0.0136004	0.024866	0.180615	0.273872	0.372342	0.0674672	0.0359841	0.0311987
b	4.57867e-05	0.00184953	0.0963649	0.184891	0.19092	0.215112	0.157393	0.0168277	0.136596
v	0.000177249	0.00175752	0.0586709	0.183028	0.190409	0.10011	0.135	0.20125	0.129596
ú	0.000760923	0.00180405	0.0195383	0.0167876	0.068565	0.0823249	0.156753	0.328076	0.32539
s	6.6671e-05	0.000880894	0.013225	0.0577934	0.129604	0.115827	0.0825758	0.286043	0.313985
é	0.000606938	0.00202074	0.0150881	0.00769041	0.0457413	0.218464	0.194452	0.281004	0.234932
f	0.00016701	0.00193509	0.0072612	0.00238306	0.027031	0.10924	0.174342	0.204802	0.472837
u	0.000134986	0.00252711	0.00145373	0.000399586	0.0230471	0.0123597	0.0737088	0.83705	0.0493191
n	3.29507e-05	8.16831e-05	0.000752003	0.00126271	0.0110231	0.0231628	0.0407619	0.746153	0.17677
d	6.73068e-05	0.000210144	0.00202379	0.0100543	0.0190982	0.0340436	0.04638	0.635603	0.252519
u	1.64167e-05	0.000176484	0.00830298	0.0148019	0.0549052	0.0582402	0.074189	0.66519	0.124177
</S>	3.10937e-05	0.000500384	0.0196572	0.00215399	0.0239076	0.0964029	0.102294	0.0890195	0.666033
