 	j'	ai	laissé	le	paquet	de	poissons	sur	la	table	</S>
n	0.922779	0.0222646	0.00420873	0.0164603	0.019616	0.00767082	0.00202762	0.00260047	0.00219352	4.66288e-05	0.000132229
g	0.976517	0.0147939	0.00123961	0.00409227	0.00166512	0.000993771	0.000218831	0.000210638	0.000253329	6.9969e-06	8.32998e-06
á	0.811868	0.148165	0.0112419	0.0171182	0.00245027	0.0027138	0.00149797	0.00175501	0.00094135	0.00221882	2.95303e-05
í	0.0745132	0.31685	0.0754179	0.186623	0.0267246	0.0372356	0.0155792	0.0298332	0.0168003	0.0206671	0.199757
k	0.00206508	0.0344132	0.903997	0.0438298	0.00726305	0.00130899	0.00153552	0.00113545	0.000185899	0.000362992	0.00390324
ú	0.000501607	0.00415525	0.863887	0.0847476	0.0306195	0.00478599	0.00359453	0.00236244	0.00062733	0.00029362	0.00442539
l	0.00079775	0.0158051	0.481138	0.315071	0.146819	0.0191799	0.00869646	0.0081259	0.00221806	0.000320474	0.00182945
u	0.0119133	0.0114448	0.201497	0.487639	0.153066	0.0614854	0.0340109	0.0159778	0.011153	0.000941246	0.0108712
i	0.0152844	0.0904872	0.0337022	0.15271	0.386542	0.247565	0.0361955	0.00871014	0.0101517	0.00350511	0.0151468
b	0.00018161	0.00309398	0.0138276	0.0973076	0.481325	0.261447	0.0957678	0.0262413	0.00542619	0.00516417	0.0102178
v	0.000339144	0.000459126	0.00107978	0.0314353	0.853448	0.0648167	0.0411874	0.00487421	0.000517329	0.00104498	0.00079802
é	5.03171e-06	2.65444e-05	0.00103593	0.0421268	0.868091	0.0653421	0.015948	0.00494648	0.000691099	0.000175469	0.00161145
é	0.000231045	0.000392405	0.0034356	0.0427441	0.545217	0.238179	0.113109	0.0256321	0.00493648	0.00192467	0.0241977
l	2.56749e-05	0.00269681	0.00559442	0.0268143	0.15036	0.532198	0.205182	0.0455887	0.0167428	0.0014117	0.0133862
á	0.0008217	0.00328454	0.01979	0.0337966	0.0487745	0.218541	0.221235	0.16401	0.0669161	0.0334813	0.189348
s	0.00248029	0.00747546	0.00206188	0.0125016	0.0225618	0.38068	0.348988	0.0953767	0.0844388	0.0294463	0.0139884
w	0.00172206	0.00621187	0.0102691	0.0112349	0.0145548	0.127884	0.439651	0.138749	0.0837217	0.148295	0.0177072
é	0.000266018	0.000514235	0.000910007	0.00383612	0.00407366	0.117937	0.536787	0.136984	0.0683419	0.122463	0.00788724
s	3.09406e-06	0.000109198	0.00117062	0.00897817	0.0190821	0.116904	0.313804	0.281051	0.192936	0.0255565	0.0404055
a	6.62698e-05	0.000220016	0.00275197	0.00777108	0.0143987	0.0572158	0.3455	0.221089	0.105054	0.0987132	0.147219
a	4.17058e-05	0.000267789	0.000250307	0.00218713	0.00280702	0.0439183	0.0769328	0.201945	0.402601	0.171477	0.0975718
m	3.64577e-05	0.000972872	0.0116577	0.0120718	0.0168978	0.0268077	0.0833056	0.241449	0.261763	0.279215	0.0658224
ó	7.20669e-06	0.000377053	0.000999473	0.00557244	0.00262344	0.00980453	0.0489184	0.0801666	0.13796	0.600993	0.112578
m	1.56623e-05	0.000854149	0.00149116	0.0100457	0.003443	0.0210755	0.0138345	0.106502	0.359723	0.419115	0.0639001
é	1.20838e-05	0.000113849	5.93052e-05	0.000265655	5.00718e-05	0.000821803	0.00214912	0.00602614	0.0279214	0.953817	0.00876358
s	2.80012e-06	0.000191325	0.000457234	0.00518937	0.0031158	0.0194946	0.0260265	0.0977977	0.258823	0.527107	0.0617953
á	2.93153e-06	0.000191242	0.00616992	0.00375965	0.00188556	0.0067843	0.0257316	0.0540968	0.0961553	0.679555	0.125668
</S>	4.303e-05	0.000428796	0.000526747	0.00109399	0.00180154	0.00571795	0.00818969	0.0187672	0.0966232	0.258963	0.607845
