 	ma	femme	est	déjà	partie	au	marché	</S>
n	0.874356	0.117372	0.00356353	0.00186112	0.00134412	0.000791631	0.000618135	9.39569e-05
g	0.986536	0.0128015	0.000179989	6.55014e-05	0.00034522	1.75632e-05	4.58e-05	8.95471e-06
á	0.420296	0.560151	0.00819595	0.00224127	0.00630136	0.000448641	0.00209749	0.000268216
m	0.0797922	0.644104	0.141352	0.0426163	0.020294	0.017182	0.0116305	0.0430295
w	0.0697723	0.90989	0.0123426	0.00451549	0.00119601	0.000907411	0.000313205	0.00106283
á	0.353161	0.248652	0.140443	0.169403	0.0224393	0.00879177	0.0121712	0.0449386
s	0.929707	0.0390376	0.0262404	0.00247988	0.000644241	0.00083326	8.65129e-05	0.000970973
í	0.760043	0.185516	0.0206874	0.00855723	0.00888766	0.000864547	0.00560241	0.00984131
á	0.273653	0.0101187	0.610639	0.0810964	0.00673222	0.0096336	0.00219752	0.00592896
m	0.00936513	0.00330316	0.191498	0.761757	0.0181576	0.00764446	0.00261484	0.00566027
i	0.00812029	0.00330285	0.187085	0.683573	0.0521336	0.0400599	0.00451093	0.0212141
s	0.0202244	0.00284306	0.0801482	0.827473	0.05418	0.00771168	0.00232497	0.0050942
á	0.00601274	0.00318133	0.0383818	0.912779	0.0296728	0.00330586	0.00197887	0.00468793
á	0.0226002	0.000632253	0.110804	0.579389	0.0605699	0.0373976	0.0371542	0.151453
o	0.00672071	0.00140329	0.0714695	0.348374	0.290836	0.248495	0.0219542	0.0107478
d	0.000932252	0.00162213	0.00348159	0.111056	0.696397	0.0571082	0.121532	0.00787055
z	0.000166958	0.00023306	0.00650577	0.15865	0.595908	0.0550966	0.122537	0.0609031
w	0.000710005	0.000994841	0.00419576	0.0543958	0.909961	0.0101829	0.0116988	0.00786102
á	0.00477178	0.0002707	0.0185308	0.0914034	0.592552	0.0857648	0.0663418	0.140364
i	0.00298205	5.11539e-05	0.0051669	0.0278903	0.160452	0.279363	0.385825	0.138271
b	0.000967397	0.000148221	0.00193056	0.00402716	0.0655594	0.0839718	0.579502	0.263894
h	0.0022106	9.65394e-05	0.00798288	0.0113653	0.030758	0.135441	0.657158	0.154988
í	0.000475008	2.66286e-05	0.000969251	0.00555729	0.0213782	0.0635856	0.69697	0.211038
</S>	5.83758e-05	2.89534e-06	0.000357378	0.00182365	0.0269314	0.0872487	0.448764	0.434813
