 	les	villages	ngwakandi	et	ongondza	sont	éloignés	l'	un	de	l'	autre	</S>
n	0.669391	0.185475	0.0595404	0.0274456	0.0235714	0.0188481	0.00922947	0.00364576	0.000614287	0.000990922	0.00116255	4.49656e-05	4.05913e-05
g	0.382428	0.0254045	0.467389	0.0225316	0.0670099	0.00371031	0.027592	0.00172959	0.000174756	0.00016258	0.000333726	0.00143308	0.000100568
w	0.0977271	0.0568812	0.733198	0.00661604	0.0735809	0.00256626	0.0258844	0.00109307	0.000245745	0.00015936	0.000210919	0.00178076	5.60136e-05
a	0.14387	0.339767	0.18203	0.0273349	0.103292	0.019324	0.152249	0.011731	0.00235512	0.00123629	0.000573242	0.00311746	0.0131209
k	0.0702773	0.562943	0.0473355	0.0376316	0.0216889	0.0247736	0.00537645	0.021421	0.0216219	0.0211569	0.0132613	0.0175278	0.134985
a	0.0173475	0.770645	0.0627581	0.0115981	0.00795027	0.00436309	0.00186909	0.0129031	0.0263885	0.0154137	0.00466525	0.00223582	0.0618626
n	0.0657886	0.604781	0.129816	0.0577545	0.0339161	0.011246	0.00309191	0.00956242	0.0120991	0.00864039	0.00312023	0.00216536	0.0580179
d	0.167572	0.538135	0.0714344	0.0269167	0.0411312	0.0120923	0.00677556	0.0141453	0.0104337	0.00922784	0.00360323	0.00359703	0.0949359
í	0.177828	0.287577	0.355639	0.0531992	0.0646782	0.00917705	0.00795769	0.00617003	0.00259115	0.00163175	0.000801949	0.00236627	0.0303819
l	0.269942	0.0381866	0.130498	0.410822	0.048662	0.0562055	0.00031222	0.00630323	0.00450167	0.00786233	0.00348863	0.000491573	0.022724
o	0.199783	0.0121413	0.177096	0.218393	0.112547	0.0750388	0.0143885	0.0358008	0.0194527	0.0241222	0.0191298	0.00663879	0.0854673
n	0.1921	0.037294	0.129872	0.176588	0.378113	0.0276136	0.00394699	0.00752404	0.00560695	0.00399975	0.00259846	0.00407683	0.0306672
g	0.04441	0.00682185	0.0451094	0.288235	0.515543	0.0444339	0.0149686	0.0114281	0.00475408	0.00338648	0.00177331	0.00599883	0.0131371
ó	0.00161893	0.00525816	0.213059	0.134462	0.582945	0.0208792	0.0282811	0.00581878	0.00198345	0.000814081	0.000344976	0.00145818	0.0030771
n	0.00726836	0.0157536	0.152547	0.125534	0.45291	0.113732	0.0345471	0.0464176	0.014664	0.00651091	0.0038717	0.00587037	0.0203726
d	0.0336478	0.0195669	0.0931794	0.266484	0.275885	0.138219	0.014854	0.0383246	0.0177997	0.0146858	0.00497798	0.00318864	0.0791873
z	0.00274875	0.00988462	0.215478	0.121685	0.468892	0.07304	0.069531	0.0180908	0.00378362	0.00137359	0.0011734	0.00506243	0.00925722
a	0.00323642	0.01678	0.142888	0.118051	0.476764	0.0974794	0.0583392	0.0329268	0.00823988	0.00360604	0.00178437	0.00678359	0.0331209
á	0.0192228	0.0018516	0.0283499	0.306058	0.195958	0.386164	0.00524468	0.0297721	0.0073247	0.00712039	0.00343987	0.000938737	0.0085557
d	0.0213643	0.00281034	0.00202324	0.0581617	0.108228	0.452689	0.0870476	0.138776	0.0412449	0.0252296	0.0117687	0.00738122	0.0432747
í	0.0056137	0.000323777	0.000473511	0.0494149	0.0245552	0.382988	0.13561	0.152263	0.0533071	0.0300747	0.0192017	0.0123861	0.133789
n	0.00877538	0.000437559	0.00137378	0.042367	0.0305751	0.188053	0.229961	0.20862	0.0884761	0.0548686	0.0404139	0.010446	0.0956331
a	0.000656739	9.96312e-05	0.0014928	0.0205287	0.0429931	0.12674	0.703892	0.0778871	0.00845213	0.00310494	0.00339679	0.00743146	0.00332427
n	0.000979718	0.000180154	0.000177755	0.0118131	0.0423716	0.29805	0.130227	0.301946	0.0898955	0.0456326	0.0254733	0.00835059	0.0449026
g	0.00123614	0.000373276	0.00152474	0.0368413	0.113426	0.163594	0.425265	0.186183	0.0271157	0.0107092	0.0090229	0.0117268	0.0129822
a	8.97908e-05	0.000112776	0.0122314	0.018802	0.189442	0.0943883	0.583723	0.079066	0.00912227	0.00242596	0.00132409	0.00567725	0.00359529
</S>	0.000541442	0.000225048	0.0006568	0.0113715	0.0321564	0.179257	0.144762	0.373094	0.127299	0.057426	0.0325339	0.00771905	0.0329583
