 	elle	broie	le	maïs	dans	le	mortier	</S>
w	0.969008	0.00827306	0.00870126	0.000766091	0.00837103	0.00414231	0.000453982	0.000284034
a	0.944497	0.00147407	0.0132696	0.000727991	0.0239002	0.0114151	0.00468505	3.12648e-05
l	0.312241	0.453171	0.162391	0.033851	0.0227332	0.00361348	0.00280823	0.00919109
á	0.206155	0.163882	0.169769	0.0516485	0.0588642	0.0238788	0.00319307	0.32261
a	0.502918	0.0211753	0.188111	0.0559185	0.0716265	0.0989992	0.00337948	0.0578717
t	0.0321681	0.89366	0.0426855	0.0282758	0.000716015	0.000292673	0.0010491	0.00115289
ú	0.00315749	0.955787	0.0257454	0.0132316	0.00029127	9.77695e-05	0.000269131	0.00142065
t	0.00585943	0.820086	0.0678096	0.0805698	0.00795144	0.00389663	0.00810007	0.00572685
á	0.0471444	0.751721	0.117291	0.0486222	0.0149639	0.00939778	0.00743231	0.00342736
a	0.07249	0.25674	0.436125	0.177212	0.0251856	0.00831558	0.0180436	0.00588877
s	0.00372181	0.00887314	0.108927	0.725307	0.128906	0.0206619	0.00138022	0.00222277
á	0.000129285	0.000274254	0.0179016	0.728889	0.201941	0.0386618	0.000195123	0.0120082
n	0.00043305	0.00601526	0.0183754	0.230589	0.136735	0.292102	0.270791	0.0449588
g	0.00128058	0.000565995	0.0576872	0.600307	0.104112	0.161285	0.00491033	0.0698525
í	0.00528882	0.00170447	0.10421	0.678115	0.0607329	0.118128	0.0118067	0.0200148
</S>	0.00340426	0.00726366	0.0690452	0.131877	0.33538	0.274302	0.0834221	0.0953057
