 	je	chasse	les	mouches	qui	rôdent	autour	des	poissons	</S>
n	0.803475	0.0904283	0.0448909	0.0416131	0.0143559	0.00136241	0.00143032	0.00229182	7.18836e-05	8.08469e-05
g	0.995808	0.00166948	0.00116819	0.000181866	0.000994615	6.75382e-05	2.40956e-05	6.44513e-05	1.9089e-05	2.69968e-06
á	0.971713	0.0204964	0.00430032	0.00049282	0.00196256	0.000416593	0.000360159	0.000146576	0.000105078	6.31285e-06
l	0.31932	0.224288	0.161878	0.00828828	0.0250826	0.0543799	0.0245037	0.0313873	0.0108215	0.140051
í	0.461995	0.190529	0.0721233	0.0148729	0.0438064	0.0437695	0.0969737	0.0245046	0.00463648	0.0467892
i	0.0381623	0.112259	0.337156	0.0667696	0.0833683	0.0651795	0.109441	0.0362764	0.0132186	0.138169
p	0.00621806	0.605631	0.277614	0.0545672	0.00757155	0.00623014	0.00992599	0.00402802	0.00439765	0.023817
f	0.000257691	0.423443	0.1469	0.413388	0.00159594	0.00028773	0.00512194	0.000763662	0.000523976	0.00771736
u	0.000329376	0.380311	0.183337	0.419056	0.00327165	0.00052287	0.00624276	0.000548374	0.000526076	0.00585514
n	0.0289414	0.0713933	0.523937	0.249319	0.0473876	0.0157156	0.0197245	0.0132781	0.0111266	0.0191777
d	0.00486167	0.0421696	0.525121	0.167082	0.134277	0.0391208	0.0355987	0.0156611	0.00306787	0.0330403
z	0.0113208	0.0253707	0.253901	0.352421	0.196195	0.0451907	0.020525	0.0117085	0.00491585	0.0784508
á	0.0128141	0.00944438	0.191733	0.278966	0.182752	0.125561	0.0298568	0.0146527	0.00636781	0.147852
a	0.00918421	0.00563675	0.298212	0.223723	0.358459	0.0733607	0.0122999	0.0106848	0.00454118	0.0038994
k	0.00932831	0.0137911	0.0695539	0.504658	0.318313	0.046067	0.0234667	0.0046657	0.00551439	0.0046423
i	0.000211504	0.00253582	0.0150927	0.915477	0.0393635	0.00462131	0.0127282	0.000903684	0.000620922	0.00844493
n	5.39283e-05	0.00445575	0.0262357	0.918781	0.0176836	0.00428969	0.0141483	0.00179281	0.000340344	0.0122184
y	0.000164203	0.00306559	0.0191412	0.889753	0.0487757	0.00784312	0.0105315	0.000994203	0.000167413	0.0195638
i	0.000192882	0.00156238	0.0196537	0.594154	0.198744	0.0293342	0.0344527	0.00874317	0.00182418	0.111339
m	0.000386214	0.00369662	0.0318544	0.118502	0.615121	0.104563	0.0669826	0.0150559	0.000980496	0.0428568
á	0.000469198	0.000378611	0.00380096	0.0012546	0.189097	0.521887	0.0633498	0.0897359	0.0149558	0.115071
á	0.00666628	0.00210797	0.0163366	0.0154978	0.22744	0.493396	0.148036	0.0406685	0.03354	0.0163109
b	0.0070787	0.00997671	0.0119965	0.0129031	0.0688961	0.213738	0.484883	0.0889878	0.0523668	0.0491731
h	0.00117067	0.0072151	0.0197245	0.0112696	0.0277069	0.130625	0.532472	0.108903	0.0749285	0.0859837
í	0.000187554	0.00462693	0.0142392	0.0225699	0.0398589	0.195749	0.560232	0.0500257	0.0362034	0.0763068
n	0.000168516	0.000600476	0.0050951	0.00397125	0.0368234	0.269318	0.362255	0.10277	0.0402069	0.178791
g	0.0013883	0.00110714	0.00656249	0.0170571	0.110145	0.35237	0.314771	0.0629492	0.0329405	0.100709
á	0.0028873	0.000525385	0.00276702	0.0151555	0.253252	0.319128	0.306224	0.0245695	0.00707336	0.0684175
a	0.000193295	0.000310282	0.00371253	0.00226136	0.0499271	0.134802	0.239782	0.457087	0.038622	0.0733025
s	0.000406078	0.00233807	0.00778334	0.00498485	0.0289816	0.0486787	0.274462	0.372952	0.17725	0.0821627
w	0.000118993	0.00130399	0.00319233	0.000904992	0.0204077	0.0174807	0.0746008	0.119494	0.658516	0.103981
é	7.99396e-05	0.000257241	0.00122519	0.000640044	0.0258158	0.067278	0.20667	0.119	0.393339	0.185695
</S>	1.49219e-05	9.89614e-05	0.00101092	0.000588222	0.00703315	0.0362251	0.142741	0.249112	0.233072	0.330104
