 	il	a	trop	bu	il	est	ivre	</S>
w	0.78329	0.171096	0.0200695	0.0128974	0.00930682	0.00249119	0.000544829	0.000304352
a	0.810509	0.126793	0.00552766	0.0131357	0.0261441	0.0102456	0.0075328	0.000112512
á	0.258798	0.520489	0.147797	0.0304166	0.0205385	0.014466	0.00246637	0.00502952
p	0.0448207	0.287718	0.406859	0.069473	0.0450595	0.0982142	0.00990827	0.0379475
é	0.00318682	0.0422934	0.731411	0.0578811	0.0768163	0.0145159	0.0142809	0.0596147
n	0.0309444	0.0635242	0.628639	0.163028	0.0574947	0.0326295	0.01521	0.0085303
d	0.0634043	0.0748686	0.208671	0.473268	0.1415	0.0199787	0.00435854	0.0139511
i	0.0479615	0.104517	0.160156	0.474967	0.158653	0.0300257	0.00791175	0.0158086
o	0.0664234	0.0749054	0.0793966	0.280394	0.350525	0.0941756	0.0215407	0.0326392
n	0.00202643	0.00614519	0.0300949	0.138176	0.18922	0.102075	0.524424	0.00783952
y	0.000721436	0.00500906	0.00936544	0.650793	0.0703651	0.0378655	0.173952	0.0519278
w	0.0005069	0.00602349	0.0161225	0.712785	0.0353235	0.0213188	0.172776	0.0351433
á	0.00104605	0.00655994	0.0226588	0.252125	0.0950793	0.0327731	0.231468	0.35829
a	0.00104661	0.00977106	0.0217439	0.0426386	0.137063	0.256564	0.121576	0.409597
a	0.000760544	0.00338774	0.00851793	0.011823	0.0370789	0.564365	0.237478	0.13659
b	0.00129936	0.00753591	0.00956728	0.0074978	0.0183112	0.524236	0.356437	0.0751147
h	0.00385075	0.00926867	0.019113	0.0153875	0.0657711	0.260365	0.502178	0.124066
i	0.00340884	0.00379658	0.0128548	0.0175919	0.14559	0.232436	0.165349	0.418973
ω	0.000252645	0.000837894	0.00385555	0.00549558	0.0273468	0.161528	0.171241	0.629442
l	0.000437032	0.00245044	0.00728489	0.00514143	0.00890528	0.316722	0.276758	0.382301
á	0.00279193	0.00821321	0.0245614	0.0179014	0.0208151	0.167025	0.548288	0.210404
n	0.000647449	0.00161427	0.00775836	0.00498293	0.00754885	0.0884096	0.45825	0.430788
g	0.0018815	0.0016887	0.00378402	0.0201263	0.0108316	0.0451561	0.757018	0.159514
á	0.000673606	0.00124978	0.001283	0.0289113	0.00657294	0.015877	0.703127	0.242305
l	0.00433571	0.00525742	0.0107086	0.0343375	0.0424063	0.126624	0.375687	0.400644
á	0.0046963	0.00651734	0.0117813	0.0125226	0.0138993	0.0867697	0.478463	0.385351
n	0.0157507	0.018628	0.0309433	0.0706349	0.0446129	0.168817	0.40738	0.243233
g	0.00242641	0.00228673	0.00116785	0.0516424	0.00532281	0.01818	0.690655	0.228319
a	0.00206566	0.00317289	0.00149023	0.0819749	0.00944061	0.0257965	0.538205	0.337854
</S>	7.56642e-05	0.000193863	0.000561931	0.00371532	0.00384049	0.0111593	0.499413	0.481041
