 	il	m'	a	beaucoup	parlé	du	mariage	</S>
w	0.648597	0.267411	0.0279307	0.0109017	0.00542867	0.0344809	0.00456837	0.000680795
a	0.696662	0.180291	0.0154911	0.0336517	0.00493979	0.0497794	0.0187188	0.00046568
á	0.205603	0.270924	0.310594	0.119974	0.0292279	0.0480886	0.00789161	0.00769781
t	0.0696732	0.149778	0.355813	0.194048	0.105633	0.0333009	0.00465917	0.0870953
i	0.0218485	0.0683195	0.174844	0.291844	0.19294	0.0333609	0.0100287	0.206815
i	0.00304397	0.0144944	0.232555	0.361839	0.350474	0.0134086	0.00166173	0.0225242
l	0.0870008	0.277941	0.176287	0.202817	0.11509	0.0842073	0.023709	0.0329483
a	0.077022	0.0991604	0.217352	0.229653	0.108513	0.138526	0.0262907	0.103482
n	0.121787	0.165208	0.227383	0.183755	0.123933	0.0773191	0.0465151	0.0541001
g	0.0197315	0.759058	0.0480218	0.0596185	0.0204672	0.0364723	0.0144018	0.0422288
á	0.0188894	0.683924	0.0942024	0.0729162	0.0168045	0.0410918	0.0111426	0.0610294
o	0.00863488	0.00717523	0.120527	0.138682	0.189568	0.368293	0.114937	0.0521834
y	0.000152752	0.000170808	0.0147062	0.184037	0.565385	0.0763861	0.118553	0.0406095
í	0.00167379	0.00618246	0.0618994	0.387726	0.20751	0.177909	0.0478631	0.109235
í	0.00648269	0.0150665	0.120111	0.177334	0.111069	0.255639	0.0716542	0.242644
m	0.00206075	0.00908726	0.0575704	0.0782643	0.0990723	0.384013	0.0747637	0.295168
í	0.0262662	0.00305383	0.0854134	0.113385	0.14205	0.289811	0.161165	0.178856
t	0.00376721	0.0048781	0.0244923	0.0283518	0.0452603	0.206918	0.496646	0.189687
ώ	0.00213991	0.000895431	0.00495749	0.031045	0.0781777	0.066651	0.768099	0.0480347
ω	0.000208504	0.000331404	0.00175605	0.014441	0.0375213	0.121903	0.68663	0.137208
</S>	0.00328374	0.00260775	0.0266176	0.0221208	0.0307306	0.196552	0.148648	0.569439
