 	la	chienne	fait	têter	ses	petits	</S>
m	0.520248	0.44547	0.0163154	0.00719484	0.00807799	0.0025564	0.000137544
v	0.0826253	0.646556	0.132986	0.0163831	0.0357162	0.0216227	0.0641104
á	0.0310205	0.931691	0.00286837	0.00149105	0.00906535	0.0236349	0.000228652
n	0.130839	0.532371	0.0070377	0.00548382	0.0108326	0.109651	0.203785
d	0.303127	0.556283	0.0379907	0.0122561	0.0122893	0.00615951	0.071894
é	0.233485	0.507342	0.0470072	0.00795742	0.00792295	0.0169474	0.179338
l	0.224612	0.0963784	0.451165	0.110911	0.0606308	0.0027038	0.0535991
á	0.15841	0.0834537	0.138008	0.0872683	0.0383386	0.0128524	0.481669
a	0.753715	0.0278835	0.095088	0.0339299	0.0592582	0.0176868	0.0124388
y	0.0234009	0.0464036	0.151894	0.610273	0.124615	0.0108679	0.0325461
ώ	0.0725307	0.00712873	0.127077	0.313316	0.323298	0.0209269	0.135723
ώ	0.021433	0.00531872	0.156477	0.27558	0.165244	0.0101917	0.365755
b	0.012784	0.000299975	0.101971	0.180755	0.645649	0.027589	0.0309531
á	0.0106837	0.00242877	0.0366215	0.0648436	0.0855251	0.791823	0.0080744
n	0.00748998	0.000437835	0.0443866	0.0761424	0.123539	0.702427	0.0455765
a	0.00399793	0.00337712	0.0119036	0.0438011	0.0802472	0.82841	0.0282629
á	0.00504736	0.000494782	0.196032	0.206513	0.269426	0.0775203	0.244965
w	0.00767758	0.00654763	0.0494144	0.265993	0.38037	0.0822755	0.207722
a	0.00136055	0.00133733	0.026427	0.33425	0.315215	0.123507	0.197903
m	0.00122555	0.000685391	0.012184	0.137073	0.134628	0.0796387	0.634565
á	0.0315008	0.000846828	0.0564975	0.0344887	0.371332	0.307878	0.197456
b	0.0258551	0.00305288	0.0203104	0.0327614	0.186065	0.424647	0.307308
έ	0.007076	0.00106315	0.00916478	0.0682439	0.283551	0.614803	0.0160982
e	0.00296458	0.000695502	0.00515363	0.0524256	0.0892408	0.636081	0.213439
</S>	0.00661986	0.000400307	0.0157606	0.0308541	0.105392	0.0956047	0.745368
