 	la	nourriture	te	donne	de	l'	énergie	pour	travailler	</S>
i	0.58721	0.299917	0.0211034	0.00603081	0.0249133	0.018657	0.00540152	0.0344739	0.0016701	0.000623593
d	0.117639	0.217217	0.00805015	0.0514208	0.0931934	0.139147	0.275578	0.0215388	0.0728711	0.00334328
z	0.290022	0.216286	0.02104	0.0540269	0.0706153	0.126945	0.110456	0.00862244	0.0224808	0.0795055
á	0.22488	0.111446	0.0572509	0.0428351	0.0627629	0.221115	0.163811	0.0184236	0.0540459	0.0434286
a	0.072639	0.258311	0.0479874	0.0336852	0.0454029	0.0931522	0.0637275	0.0490071	0.0329436	0.303144
l	0.370804	0.11724	0.254497	0.0866904	0.0415022	0.0284647	0.0132072	0.0338913	0.00460616	0.0490971
í	0.0892794	0.0254931	0.14528	0.123681	0.0813664	0.0530125	0.00852759	0.0413548	0.0223563	0.409649
i	0.257578	0.119945	0.299622	0.0644775	0.0590131	0.0413895	0.0116088	0.037294	0.0187066	0.0903662
p	0.0191359	0.0563901	0.050654	0.659089	0.0504994	0.0231639	0.0402021	0.00826607	0.0121826	0.0804171
έ	0.00482219	0.0330249	0.0100073	0.449088	0.0278438	0.0255477	0.380936	0.00440341	0.00380487	0.0605216
έ	0.160286	0.268569	0.124823	0.0793008	0.0548893	0.0481745	0.0492142	0.0304398	0.00635062	0.177953
n	0.0227204	0.0317672	0.147012	0.282886	0.203084	0.121343	0.0563643	0.0566212	0.00776694	0.0704346
ω	0.0339606	0.0272144	0.534025	0.0995969	0.164491	0.0504711	0.00411924	0.0115873	0.010438	0.0640956
p	0.0124716	0.00497639	0.263426	0.145957	0.343854	0.146914	0.0180737	0.0288832	0.00806442	0.0273797
á	0.0275388	0.0293398	0.0683582	0.151021	0.057484	0.0738467	0.555363	0.0126476	0.00243521	0.0219652
m	0.00330965	0.00369969	0.0277167	0.0600923	0.0419668	0.0576967	0.667956	0.0106659	0.0126364	0.11426
i	0.082954	0.0561741	0.133789	0.0844926	0.127897	0.169836	0.157103	0.120846	0.0352318	0.0316766
y	0.00400427	0.00257693	0.0492267	0.0733267	0.155052	0.250532	0.163771	0.187174	0.0401001	0.0742353
í	0.0150551	0.00370454	0.0314355	0.0565634	0.139525	0.208852	0.393594	0.0406597	0.0629147	0.0476964
s	0.013451	0.00344726	0.0509529	0.0139384	0.12139	0.305944	0.234258	0.152743	0.0701783	0.0336974
á	0.00563815	0.000935292	0.0239887	0.0121267	0.0828298	0.130936	0.233331	0.0405743	0.40688	0.062759
l	0.00580833	0.00158397	0.017854	0.00327009	0.0542664	0.190832	0.339439	0.139593	0.216961	0.0303923
a	0.00258211	0.000639168	0.0140987	0.00852195	0.063073	0.0813215	0.0425665	0.0555697	0.602815	0.128812
</S>	0.0010456	0.000347869	0.00360825	0.0050006	0.0494875	0.140339	0.264416	0.201229	0.277082	0.0574435
