 	j'	ai	appris	à	construire	une	maison	dans	ma	jeunesse	</S>
n	0.900245	0.0858503	0.00308274	0.0061376	0.000377746	0.00245216	0.0002526	0.000435312	0.00081952	0.000290761	5.6121e-05
g	0.83537	0.145275	0.00164337	0.00634688	6.06506e-05	0.000852833	0.00449135	0.000344681	0.0055176	8.90851e-05	8.81432e-06
á	0.678779	0.292676	0.00632377	0.00470092	0.000541397	0.000606433	0.00699298	0.000171719	0.004058	0.00510848	4.04338e-05
l	0.104285	0.594669	0.0568386	0.105395	0.00492685	0.0132454	0.00604203	0.00934999	0.0239394	0.00388709	0.0774207
a	0.166069	0.488813	0.117135	0.0930884	0.0228421	0.0172155	0.0215519	0.0120207	0.0200123	0.00962505	0.0316281
y	0.012385	0.163945	0.262046	0.176734	0.0995051	0.0643831	0.0438697	0.0290141	0.0303148	0.0246473	0.0931556
í	0.140552	0.487176	0.279127	0.0330437	0.0181768	0.00386981	0.016632	0.00335338	0.0076233	0.00130302	0.00914327
á	0.12498	0.222133	0.345392	0.160992	0.0230376	0.0206751	0.0170531	0.00756892	0.00654043	0.0030531	0.0685745
i	0.0112127	0.0734149	0.290657	0.512083	0.0562238	0.0197415	0.0111278	0.00979534	0.00450856	0.000952311	0.0102825
t	0.000243572	0.0202507	0.128838	0.330447	0.430554	0.0496012	0.0208561	0.00557452	0.00120575	0.00194205	0.0104871
ó	3.37371e-05	0.00366533	0.125618	0.105452	0.739021	0.0189421	0.00180362	0.000915695	5.59071e-05	0.0018497	0.00264289
n	4.39736e-05	0.00748798	0.148199	0.208977	0.57287	0.0510551	0.00117491	0.00148183	0.000127804	0.00207517	0.00650741
g	0.00314802	0.0348377	0.0822711	0.229271	0.503258	0.104489	0.0144689	0.00335358	0.00161617	0.00213389	0.0211526
a	0.00631607	0.00906834	0.0181723	0.0889545	0.64642	0.154377	0.0436707	0.00330108	0.00144555	0.00406215	0.0242126
l	0.00322766	0.0108929	0.0152907	0.185048	0.125578	0.477158	0.0760887	0.0614971	0.00871744	0.00522249	0.0312794
á	0.00119379	0.00197193	0.00565421	0.0511055	0.338464	0.226377	0.0919072	0.0684535	0.018293	0.0172604	0.17932
n	0.00581045	0.0144445	0.00485825	0.0425686	0.073476	0.300011	0.375885	0.0762236	0.0444487	0.0433619	0.0189121
d	0.00759248	0.00214745	0.000374151	0.00364769	0.0210372	0.0535584	0.815887	0.0146326	0.0634814	0.0141413	0.00350013
é	0.00029887	0.000478809	0.000112059	0.00163798	0.0658754	0.0531275	0.759892	0.0182399	0.0639791	0.0241583	0.0121998
e	4.14684e-05	0.000620594	0.00076347	0.0123682	0.159735	0.139228	0.204669	0.0558184	0.095792	0.274782	0.0561825
s	5.25274e-05	0.000662232	0.000591584	0.0101385	0.00996351	0.0945451	0.0725209	0.429585	0.182945	0.106249	0.0927465
ó	0.000193113	0.000462434	0.000760204	0.00515715	0.0142463	0.0803575	0.0930317	0.227594	0.10635	0.156029	0.315819
l	0.0006555	0.00084383	0.000226879	0.00295228	0.0101301	0.0265803	0.0155673	0.0316877	0.0754342	0.80527	0.0306522
ε	0.0010056	0.000933182	0.000716237	0.0020693	0.00529555	0.00984163	0.0250423	0.0513914	0.10509	0.748729	0.0498859
n	0.00106384	0.00211482	0.00034281	0.00269682	0.00429639	0.0232347	0.0367321	0.0352522	0.0395552	0.778661	0.0760504
g	9.27683e-06	3.16813e-05	9.50395e-05	0.000531953	0.00636637	0.01494	0.016526	0.037336	0.0834003	0.733535	0.107229
έ	0.000245708	0.000154315	8.84728e-05	0.000769955	0.00476871	0.0222444	0.0686079	0.0233411	0.103246	0.640061	0.136472
</S>	0.000106825	0.000204466	0.000241602	0.00328352	0.0017818	0.024659	0.0264518	0.108557	0.0726131	0.0744279	0.687673
