 	je	n'	ai	pas	pu	le	supporter	à	cause	de	ses	caprices	</S>
n	0.585789	0.136596	0.0204404	0.051893	0.0587902	0.0425494	0.0130594	0.0274685	0.02351	0.0316253	0.00767659	0.000264136	0.000338252
g	0.968288	0.0133441	0.00887751	0.00174685	0.000459169	0.000891658	0.00419037	0.000934132	0.000103858	0.000428346	0.000420092	0.000247093	6.8602e-05
á	0.978749	0.00735718	0.00806502	0.00157096	0.000757965	0.000302626	0.0014199	0.000390165	0.000329831	0.000496402	0.000161142	0.000362048	3.79073e-05
l	0.0399937	0.413155	0.238339	0.0591367	0.0265175	0.0405368	0.0330682	0.0276099	0.013534	0.0156468	0.0320059	0.000711207	0.0597455
a	0.347097	0.202465	0.168102	0.0272913	0.0167939	0.00712001	0.0371919	0.0363837	0.0176797	0.0273366	0.0161276	0.00470691	0.0917035
k	0.244347	0.283746	0.0982373	0.0546326	0.0548041	0.0437274	0.0529337	0.0199886	0.00989097	0.0140859	0.0140973	0.0095482	0.0999613
ώ	0.0183197	0.129691	0.0541486	0.120382	0.504341	0.0303526	0.00578048	0.0153192	0.0796301	0.0310462	0.00619679	0.00132361	0.0034685
n	0.0144386	0.0660208	0.10163	0.252465	0.400492	0.0304946	0.0106431	0.0286966	0.0516179	0.028677	0.00195087	0.00141405	0.0114599
d	0.00694732	0.0877753	0.089518	0.244419	0.330814	0.068534	0.0237128	0.0464191	0.0213308	0.0187473	0.0115324	0.00124914	0.0490008
ώ	0.0027008	0.0735181	0.0746468	0.0769009	0.22798	0.101108	0.162368	0.0551588	0.0195713	0.0248437	0.0248633	0.0126998	0.143642
s	0.000757598	0.0234451	0.0230373	0.0252295	0.0189857	0.422216	0.3212	0.106039	0.00991523	0.00967251	0.0341315	0.00195853	0.00341247
ó	0.00422609	0.126508	0.0559999	0.0185755	0.0371914	0.0873873	0.411084	0.101559	0.0264254	0.0154668	0.0280532	0.0608475	0.0266759
w	0.02069	0.0510127	0.0265369	0.0117353	0.0327643	0.125737	0.443148	0.105612	0.0287915	0.012077	0.00655955	0.131347	0.00398772
a	0.00732964	0.0364172	0.0980587	0.119251	0.199574	0.139026	0.0832568	0.131229	0.0901423	0.0452402	0.0131226	0.00702699	0.0303259
m	0.00143082	0.0178043	0.0183232	0.0374965	0.0782659	0.188452	0.125872	0.19408	0.167613	0.0468907	0.028398	0.065639	0.0297347
í	0.000325402	0.00528833	0.00753279	0.00799997	0.0144341	0.0962472	0.0196364	0.118682	0.164515	0.14619	0.244657	0.00195863	0.172533
y	0.000641524	0.0156651	0.0250171	0.0226813	0.0212472	0.0443727	0.0243569	0.144359	0.303977	0.20997	0.0766272	0.0721216	0.0389629
ó	0.000118837	0.00397687	0.00474506	0.00140242	0.00216382	0.0134757	0.0251486	0.0269685	0.0178964	0.0163049	0.042892	0.820147	0.0247603
ó	0.00017792	0.00156975	0.00392254	0.00161478	0.00157261	0.00625989	0.0104954	0.0203342	0.0196379	0.0250215	0.0721502	0.788604	0.0486395
</S>	4.32443e-05	0.00170931	0.00233413	0.00276698	0.00249556	0.00363493	0.00533686	0.0311948	0.0505648	0.08076	0.14081	0.393629	0.284721
