 	ii	a	appris	la	nouvelle	aux	villageois	</S>
w	0.964641	0.0188746	0.00825364	0.00263652	0.000769657	0.0043884	0.000202218	0.00023403
a	0.934052	0.0182941	0.0126802	0.0116096	0.00179329	0.0211362	7.45884e-06	0.000426975
á	0.0712155	0.73637	0.138703	0.0239883	0.00747352	0.00898602	0.000313181	0.0129509
y	0.0149982	0.548695	0.358546	0.0267383	0.00589318	0.0223232	0.00464629	0.0181601
é	0.0215757	0.221068	0.678273	0.0348825	0.00512001	0.00485958	0.00241273	0.0318082
b	0.00242541	0.163422	0.746025	0.0487681	0.00589542	0.00415643	0.000891385	0.0284163
h	0.0102805	0.130829	0.702169	0.11735	0.0302628	0.00379026	0.000962805	0.00435599
i	0.00683737	0.128938	0.457303	0.236799	0.0739162	0.0215581	0.00785718	0.0667913
s	0.00935916	0.077855	0.112074	0.242187	0.488579	0.0359911	0.00172564	0.0322291
i	0.000657661	0.0144816	0.253949	0.372072	0.298862	0.0244658	0.000803061	0.0347094
l	0.00182203	0.087046	0.150082	0.273337	0.376185	0.0885283	0.00655577	0.0164442
a	0.00418662	0.0235128	0.0547764	0.206744	0.423649	0.107187	0.00388067	0.176064
b	0.000655171	0.00463272	0.0247077	0.257948	0.513762	0.054194	0.022088	0.122013
a	0.000258339	0.0063767	0.0454912	0.300058	0.588674	0.0446026	0.00616822	0.00837067
r	8.72077e-05	0.00677187	0.0249102	0.134796	0.610885	0.084478	0.00935381	0.128718
e	0.000330229	0.00473766	0.0193901	0.128015	0.520705	0.145931	0.00372442	0.177167
b	0.000610402	0.0188569	0.0154533	0.0500072	0.165303	0.681567	0.00685747	0.0613442
á	0.00257985	0.0320249	0.0406544	0.0773198	0.145164	0.419232	0.00378555	0.279239
p	0.00285163	0.0226684	0.018084	0.0255231	0.152123	0.485395	0.158734	0.13462
o	0.000167245	0.000341015	0.00200297	0.00581458	0.0137388	0.011837	0.955134	0.0109643
o	2.37513e-05	8.51709e-05	0.00138156	0.00331034	0.00536226	0.0023319	0.96754	0.0199646
</S>	3.66597e-05	0.00971625	0.00557756	0.00813534	0.00879053	0.361489	0.0455775	0.560677
