 	ce	jeune	garçon	est	un	vagabond	</S>
m	0.472781	0.516844	0.00810552	0.000342212	0.000343175	0.00143376	0.000151087
w	0.0396061	0.950215	0.00921028	0.000476021	0.000173772	0.00012972	0.000189558
á	0.0235632	0.969847	0.00644649	5.45407e-05	1.58461e-05	6.38585e-05	8.6726e-06
n	0.513394	0.475806	0.0104011	4.94955e-05	1.86983e-05	8.75736e-06	0.000322581
a	0.327546	0.446197	0.113899	0.0218796	0.00754573	0.000711332	0.0822216
i	0.790317	0.147341	0.0310423	0.00603836	0.00988269	0.00722278	0.00815574
b	0.0529111	0.171689	0.594308	0.112525	0.0395777	0.0135182	0.0154714
a	0.00361486	0.0551952	0.871635	0.0394337	0.00939042	0.000761901	0.019969
a	0.163257	0.0158576	0.648919	0.0796811	0.0155719	0.00655313	0.0701608
w	0.055078	0.00512491	0.320054	0.501451	0.0526187	0.000593817	0.0650798
ó	0.0314165	0.00401961	0.164726	0.490779	0.188656	0.0172335	0.10317
a	0.129558	0.00347318	0.197547	0.293882	0.115064	0.009706	0.25077
d	0.00273932	0.000143209	0.0183802	0.710454	0.208007	0.00488613	0.0553903
í	0.0335631	0.00128449	0.00996755	0.645178	0.167098	0.0107449	0.132163
d	0.0303672	0.000660606	0.00675502	0.202407	0.344122	0.122847	0.29284
z	0.0234192	0.000753923	0.00135378	0.157966	0.248656	0.450665	0.117186
a	0.0135892	0.000899891	0.00180562	0.0493947	0.105983	0.797852	0.0304755
k	0.000800544	0.000473682	0.0025087	0.0242444	0.0526864	0.873842	0.0454441
u	0.000873506	0.000139841	0.000944026	0.0213889	0.102125	0.751041	0.123487
m	0.000852625	0.00290115	0.00168999	0.00738749	0.034045	0.792178	0.160946
b	0.00197746	0.000121519	0.000306091	0.0113401	0.0967585	0.572227	0.31727
a	0.000631154	0.000444167	0.00198496	0.0128281	0.0339598	0.320518	0.629634
</S>	0.001099	0.000187542	0.00184987	0.0320402	0.087887	0.0754887	0.801448
