 	la	bouteille	m'	a	glissé	entre	les	mains	</S>
o	0.790649	0.19551	0.00830334	0.00341362	7.7231e-05	0.000883357	0.000899232	0.000132913	0.000131378
l	0.104881	0.868414	0.00549882	0.00307079	0.0132751	0.00297597	0.000326144	0.000412698	0.00114574
a	0.107836	0.82662	0.000255884	0.00205081	0.0529132	0.00843618	0.000381833	0.0007176	0.00078868
n	0.174572	0.719966	0.00467003	0.0128132	0.0641717	0.00730288	0.00116351	0.00127428	0.014066
g	0.366109	0.52364	0.0125629	0.0145539	0.0103762	0.0124446	0.00374599	0.00280962	0.0537582
i	0.415348	0.44513	0.0359638	0.0466416	0.0143573	0.00785018	0.00468127	0.00408494	0.0259424
o	0.130433	0.117198	0.27965	0.433669	0.0132578	0.00688192	0.00687963	0.00191426	0.0101168
w	0.00671885	0.00716026	0.0218432	0.470361	0.423463	0.0462105	0.00282569	0.00141677	0.0200012
o	0.00372785	0.00356385	0.00618912	0.0780469	0.822789	0.0693355	0.0027472	0.00294838	0.0106518
l	0.0213494	0.00887674	0.0133798	0.204968	0.613772	0.0949634	0.00419812	0.00430002	0.0341934
o	0.0240883	0.00512289	0.0399345	0.21118	0.499904	0.122814	0.0249295	0.0162788	0.0557484
m	0.0206239	0.00495828	0.194689	0.231001	0.175117	0.214244	0.0712751	0.015865	0.0722265
i	0.0635736	0.0019801	0.132539	0.15451	0.0419603	0.0459775	0.213208	0.0163773	0.329873
l	0.0107565	0.00307915	0.123784	0.152515	0.0907376	0.310271	0.130827	0.0738232	0.104206
a	0.00161597	0.00105728	0.0296717	0.0901044	0.217451	0.261131	0.0638029	0.0114931	0.323673
n	0.00800515	0.00182686	0.0464122	0.0582298	0.205576	0.476217	0.0843023	0.0494329	0.0699979
g	0.00891002	0.00507809	0.149803	0.0430567	0.261098	0.373799	0.086847	0.0139665	0.0574415
á	0.00179119	0.0188111	0.158034	0.0349381	0.338743	0.341027	0.0576768	0.0242328	0.0247463
s	0.00232446	0.00010757	0.00371502	0.0209808	0.0215921	0.242928	0.513337	0.149413	0.0456018
á	0.0140554	0.0023435	0.0077245	0.0163272	0.0460717	0.173964	0.405373	0.102714	0.231427
b	0.033574	0.00571163	0.0173342	0.0112821	0.0055283	0.0414	0.277239	0.578491	0.02944
ó	0.0012217	0.000103193	0.00393567	0.00333241	0.00135162	0.0445179	0.0867186	0.84171	0.0171093
ω	0.000225747	8.08083e-05	0.00206286	0.00731385	0.00756728	0.0578192	0.0763959	0.803362	0.0451723
</S>	0.00017811	3.29168e-05	0.000100088	0.0017477	0.00342356	0.0531587	0.176759	0.224077	0.540523
