 	il	a	acheté	beaucoup	de	bananes	</S>
w	0.942048	0.0440728	0.00551721	0.00206093	0.00419829	0.00156985	0.000532689
a	0.853206	0.110872	0.0143245	0.0121123	0.00891155	0.000205637	0.000368011
á	0.154061	0.529685	0.219362	0.0560812	0.0290744	0.00120984	0.0105258
s	0.0219148	0.199856	0.713892	0.0231308	0.0278382	0.00181651	0.0115524
ó	0.000607614	0.0267398	0.950132	0.00685732	0.00205982	7.28565e-05	0.0135307
m	0.00461052	0.0242283	0.853506	0.0676759	0.00993237	0.00167314	0.0383739
b	0.0227494	0.110815	0.377461	0.394621	0.0274515	0.00399584	0.062906
i	0.152617	0.142089	0.0928858	0.296935	0.180792	0.0365388	0.0981435
a	0.173607	0.158754	0.0540954	0.394412	0.142492	0.0292184	0.0474224
t	0.00118579	0.0189428	0.0628813	0.304752	0.264177	0.325946	0.0221143
ω	0.000711961	0.00754734	0.00636874	0.119513	0.166187	0.592085	0.107587
r	0.00204873	0.0102421	0.0177723	0.152976	0.203239	0.500486	0.113236
ω	0.00603461	0.0300547	0.021925	0.208619	0.202255	0.376835	0.154277
a	0.0170062	0.0239484	0.0131898	0.264719	0.249773	0.138207	0.293157
y	0.00632932	0.0326249	0.0866016	0.29602	0.27443	0.15129	0.152704
í	0.00688364	0.0570644	0.248978	0.168212	0.221056	0.0176275	0.280178
í	0.00598238	0.0101858	0.0610752	0.0829613	0.140912	0.0818699	0.617013
</S>	0.00338402	0.0139314	0.0233964	0.117586	0.311652	0.155415	0.374636
