 	le	chef	actuel	est	très	bon	</S>
o	0.627138	0.255253	0.0620551	0.0368367	0.0138875	0.00277404	0.00205536
k	0.0118618	0.981989	0.00274952	0.00122876	0.000858279	0.000614924	0.000697787
o	0.00352106	0.98261	0.00753641	0.00158537	0.00174128	0.00172783	0.00127791
n	0.0088769	0.957829	0.0195237	0.00385125	0.00544114	0.00219442	0.00228376
d	0.076194	0.887787	0.0117807	0.00352206	0.00433199	0.00414043	0.0122434
z	0.141699	0.814945	0.00870536	0.0020525	0.00106026	0.000387264	0.0311509
i	0.229799	0.678924	0.0309017	0.0110046	0.00392932	0.00478382	0.0406572
y	0.248051	0.0239776	0.599579	0.0718777	0.0233767	0.00738511	0.025753
a	0.61416	0.0166855	0.255406	0.0463599	0.0202268	0.00477613	0.0423856
p	0.206328	0.00715349	0.713836	0.0496908	0.0107755	0.00288455	0.0093311
á	0.0204553	0.0161997	0.668666	0.2108	0.0349371	0.0386267	0.0103149
r	0.145239	0.0057758	0.51245	0.207067	0.0436993	0.0465438	0.0392254
á	0.0320684	0.0182156	0.388816	0.252629	0.0588622	0.0285378	0.220871
a	0.00904805	0.000556604	0.210031	0.367495	0.295941	0.0803733	0.0365549
d	0.0156831	0.0049547	0.125008	0.302745	0.3198	0.0683197	0.16349
í	0.00485193	0.000454815	0.0238636	0.093597	0.0903132	0.010958	0.775961
a	0.0062956	0.000260091	0.0967743	0.191829	0.274763	0.137654	0.292424
d	0.0129978	0.00311323	0.0369317	0.0997199	0.239256	0.193183	0.414798
í	0.0031934	0.000648925	0.0068621	0.0357193	0.099594	0.0588946	0.795088
ω	0.00316925	0.000291433	0.0212895	0.115284	0.203318	0.269806	0.386841
b	0.00793764	0.0078471	0.0183468	0.0349781	0.182319	0.454565	0.294007
v	0.0459656	0.0324825	0.0924398	0.0876368	0.186114	0.345842	0.209519
έ	0.0063178	0.00372667	0.048555	0.0461585	0.130191	0.710355	0.0546963
w	0.00115815	0.000261064	0.0337386	0.0729469	0.118374	0.0786319	0.694889
a	0.00384352	0.000888269	0.0949755	0.166127	0.243746	0.382447	0.107973
m	0.0021625	0.000449535	0.019101	0.0492742	0.103349	0.2218	0.603864
έ	0.0219416	0.00161431	0.0881258	0.133904	0.25688	0.133489	0.364045
n	0.00408696	0.00067958	0.0172765	0.0528322	0.12627	0.440082	0.358773
d	0.00305109	0.00527141	0.0144885	0.0208613	0.0366163	0.071737	0.847974
e	0.00136868	0.00898921	0.00647219	0.0066461	0.016119	0.0294798	0.930925
</S>	0.000251028	0.000655909	0.012469	0.0195054	0.0569383	0.0525482	0.857632
