 	il	est	parti	en	brousse	</S>
w	0.925983	0.0712054	0.000332724	0.001023	0.00140279	5.33004e-05
a	0.947174	0.0422429	0.000351599	0.00481043	0.0052272	0.000193613
á	0.153263	0.796722	0.0329492	0.0137609	0.00091697	0.00238846
m	0.0396645	0.606472	0.225034	0.107291	0.00843934	0.0130991
i	0.00879478	0.140711	0.608662	0.149109	0.0110026	0.0817209
d	0.00456445	0.0868624	0.822951	0.0652424	0.00848791	0.0118923
z	0.000654431	0.0354436	0.774786	0.157833	0.0085448	0.0227372
w	0.0120827	0.0815999	0.843523	0.0467934	0.00171261	0.0142884
a	0.0201298	0.0554747	0.525393	0.217708	0.0316038	0.14969
k	0.00394002	0.021941	0.0267363	0.219569	0.651852	0.0759617
ώ	0.000351419	0.000537897	0.00927091	0.0148921	0.937014	0.0379337
</S>	0.000186968	0.00112724	0.00116295	0.0191924	0.935318	0.0430126
