 	son	tirelire	est	dans	la	maison	</S>
i	0.78989	0.12635	0.055605	0.0127741	0.0151191	0.00019357	6.83564e-05
b	0.316628	0.628942	0.00891205	0.0343336	0.00342837	0.000422473	0.00733332
ó	0.055512	0.900195	0.0252286	0.0138409	0.0024985	0.000160363	0.00256506
m	0.0656084	0.84278	0.0330627	0.0345538	0.00311685	0.00138909	0.0194888
b	0.422146	0.434859	0.0591696	0.0306793	0.00947077	0.000940134	0.0427346
o	0.378772	0.523689	0.0455009	0.017902	0.0110677	0.00779128	0.0152768
l	0.639215	0.161179	0.118539	0.0404659	0.00553063	0.000408416	0.0346623
á	0.706311	0.08581	0.0622941	0.025285	0.0189713	0.0129947	0.0883339
w	0.801452	0.0519577	0.101948	0.0154887	0.0127745	0.00541935	0.0109596
a	0.461926	0.138148	0.116452	0.0830675	0.0449548	0.0179355	0.137516
l	0.281048	0.120102	0.365639	0.11176	0.0391439	0.00836981	0.0739374
á	0.346385	0.0676075	0.151802	0.139271	0.0685977	0.0267478	0.19959
m	0.384852	0.0416251	0.273857	0.146817	0.0733357	0.0252441	0.0542685
b	0.0661091	0.394205	0.311768	0.165781	0.0359595	0.00323482	0.0229426
ώ	0.0280033	0.409786	0.177588	0.332199	0.0390017	0.00480819	0.00861295
n	0.0691853	0.500909	0.197366	0.205916	0.0143715	0.000925085	0.0113275
g	0.149865	0.434958	0.0827887	0.242921	0.0120998	0.00892692	0.0684403
ω	0.0693301	0.574711	0.200213	0.0991798	0.0387926	0.0142211	0.00355192
í	0.0333805	0.00824979	0.281976	0.226816	0.376513	0.0563263	0.0167385
d	0.0257361	0.00738626	0.076931	0.409587	0.239323	0.169206	0.0718307
i	0.00379883	0.00134712	0.0460085	0.312021	0.259461	0.0380913	0.339272
s	0.00362335	0.00071502	0.0518343	0.257651	0.342399	0.069056	0.274721
á	0.00293029	0.00187816	0.0164045	0.155257	0.269074	0.321056	0.2334
n	0.0036202	0.00155518	0.00692917	0.0200497	0.28324	0.645848	0.0387577
d	0.000551807	0.00130847	0.00314991	0.00876363	0.13284	0.845294	0.00809236
é	0.0004843	0.00108627	0.000658729	0.00226307	0.0284699	0.952061	0.0149766
e	0.000730882	0.00433616	0.0146399	0.0877271	0.163551	0.349298	0.379717
</S>	0.00468584	0.00586463	0.0375313	0.0850907	0.185234	0.0692746	0.612319
