 	l'	année	prochaine	je	rejoindrai	mon	oncle	en	europe	</S>
o	0.821676	0.12912	0.0245771	0.0150497	0.00505478	0.00307755	0.000217917	0.00077399	0.000433005	2.00199e-05
b	0.324495	0.579014	0.0286531	0.00729779	0.0161879	0.00818864	0.0169148	0.00526799	0.00858912	0.00539149
v	0.033799	0.839357	0.00933462	0.00298199	0.0493573	0.004334	0.0480765	0.00398467	0.00669868	0.00207612
ú	0.0277566	0.896103	0.0129137	0.00514341	0.0191913	0.0145211	0.0143283	0.00726094	0.00210595	0.000675207
b	0.280668	0.663711	0.0172563	0.00722241	0.00675875	0.00735935	0.00124543	0.00574801	0.00306601	0.0069651
ó	0.345727	0.162826	0.165111	0.0784493	0.0308533	0.0827429	0.00478175	0.0414298	0.00839492	0.0796846
ó	0.0782176	0.113264	0.613072	0.0282526	0.039969	0.0174957	0.0273086	0.0533035	0.00237879	0.0267388
y	0.0795595	0.048402	0.670587	0.0604361	0.0533898	0.00816664	0.0206875	0.035003	0.0067615	0.0170074
a	0.100721	0.0277279	0.501431	0.113596	0.133743	0.0250722	0.0384838	0.0109477	0.00205361	0.0462232
a	0.104921	0.053779	0.360583	0.122133	0.0911884	0.0238363	0.0346445	0.0274532	0.00125497	0.180207
n	0.0216774	0.00767632	0.398255	0.416626	0.0513895	0.0465303	0.0102646	0.0281809	0.00422524	0.015175
g	0.0283778	0.00585011	0.369818	0.424062	0.0138401	0.119983	0.0196842	0.00448214	0.000259423	0.0136439
á	0.00772523	0.0022326	0.375375	0.386039	0.019304	0.106491	0.0970508	0.00316735	0.000313964	0.00230101
l	0.0112154	0.00498753	0.284869	0.414993	0.0879189	0.0497131	0.0260066	0.0446598	0.00431617	0.071321
í	0.010521	0.0114153	0.23908	0.388671	0.0570231	0.0361763	0.0206487	0.0510688	0.00436193	0.181034
i	0.0055285	0.00733447	0.113964	0.298583	0.372818	0.0323928	0.0696708	0.0289007	0.0133299	0.0574781
d	0.00380213	0.0232711	0.0399477	0.118861	0.611978	0.00499912	0.0923125	0.0277134	0.0400399	0.0370746
z	0.00262358	0.00809969	0.0107505	0.0400914	0.891637	0.00128548	0.0184829	0.00858692	0.00641276	0.0120297
w	0.00588698	0.00153274	0.025405	0.161228	0.791901	0.00328222	0.00790552	0.00116355	5.1409e-05	0.00164403
á	0.0117858	0.00251502	0.0145969	0.0874026	0.715614	0.0128869	0.0331575	0.0473671	0.00231568	0.0723586
o	0.00210689	0.00141593	0.00957415	0.284172	0.413825	0.208444	0.0266284	0.0282982	0.00852089	0.0170145
b	0.00143508	0.00725517	0.00640181	0.0352015	0.462634	0.0364648	0.402309	0.0128635	0.0312924	0.00414304
á	0.00248428	0.13038	0.0463464	0.0450981	0.287667	0.0692999	0.260205	0.0542572	0.0778337	0.0264288
á	0.0020801	0.00534568	0.0126191	0.0324671	0.465427	0.108478	0.12666	0.04635	0.0674591	0.133114
n	0.000979281	0.00135836	0.00750874	0.058683	0.0815619	0.340135	0.1924	0.225806	0.0446371	0.0469308
g	0.00876796	0.00403625	0.0298849	0.131685	0.0365827	0.512864	0.15635	0.0252793	0.00370335	0.0908459
ó	0.000545113	0.000209217	0.0124946	0.0673763	0.0164799	0.38884	0.501716	0.00573219	0.00096674	0.00564045
l	0.000187808	0.000130114	0.00948532	0.0499605	0.0285327	0.247328	0.626568	0.0106482	0.00383552	0.0233243
ó	0.00147576	0.00399349	0.0140374	0.0491893	0.080032	0.107906	0.420842	0.0943092	0.119627	0.108589
m	0.000182135	0.000254489	0.00364615	0.0113458	0.0596432	0.0706018	0.415584	0.177481	0.148265	0.112997
i	0.00561687	0.00294761	0.00163311	0.00906739	0.0564943	0.094167	0.209123	0.34232	0.0158464	0.262784
y	0.00020555	0.00127978	0.00270466	0.012435	0.0304236	0.0652617	0.0930358	0.411669	0.155403	0.227582
a	0.000945235	0.00100297	0.00696533	0.0218263	0.102445	0.21856	0.113475	0.0923916	0.321686	0.120702
n	0.000637756	0.000269952	0.00321504	0.0136943	0.0417054	0.315491	0.102808	0.140119	0.14878	0.233278
g	0.00141107	0.00116295	0.0150371	0.0310824	0.0305455	0.25809	0.148439	0.17719	0.0620009	0.275042
á	0.000177039	0.000282359	0.00931315	0.0200541	0.0178379	0.156249	0.377454	0.0988186	0.0302939	0.28952
ó	0.000473187	0.000157674	0.00184609	0.00562624	0.00328511	0.0479726	0.024215	0.326701	0.202503	0.38722
p	0.00427044	0.00879388	0.0159557	0.0189106	0.0325894	0.0200779	0.0197896	0.324592	0.320555	0.234466
ó	5.65333e-05	0.000140345	0.00151958	0.000889845	0.00162334	0.00410478	0.00147688	0.0663299	0.817517	0.106342
r	5.94022e-05	9.2234e-05	0.00103505	0.00135281	0.00414416	0.00974665	0.0104762	0.113221	0.563765	0.296108
ó	0.000111358	0.000237324	0.000948887	0.00204201	0.00450202	0.0127718	0.0161377	0.113178	0.490197	0.359874
</S>	0.000343415	0.000107368	0.00397274	0.0127373	0.00658821	0.206095	0.030192	0.306925	0.110784	0.322255
