 	il	mit	la	tête	en	bas	</S>
w	0.8366	0.0435702	0.0788615	0.0281694	0.0105231	0.00216256	0.000113668
a	0.737996	0.0405618	0.0575127	0.0935862	0.0422148	0.0280385	9.05677e-05
a	0.214236	0.436335	0.29347	0.0199862	0.01263	0.00572238	0.017621
k	0.0553992	0.581139	0.248379	0.0563901	0.0307922	0.00567308	0.0222268
a	0.0183836	0.672069	0.12816	0.132318	0.0209735	0.00379556	0.0243003
n	0.00999692	0.527604	0.280133	0.0890766	0.0358534	0.00370764	0.0536286
í	0.118715	0.364557	0.320537	0.0621401	0.0390676	0.00545498	0.0895281
i	0.0503439	0.0785077	0.395946	0.273408	0.171806	0.0184182	0.0115707
b	0.0155478	0.101674	0.230032	0.364813	0.0904948	0.104448	0.0929902
o	0.0147384	0.0976311	0.172787	0.343012	0.111982	0.220025	0.039825
ó	0.00213392	0.029198	0.0613574	0.50577	0.0984364	0.254872	0.0482315
m	0.00211776	0.00392336	0.0474329	0.0224809	0.502998	0.161117	0.25993
ó	0.0211199	0.00782222	0.0873019	0.0391758	0.205089	0.243636	0.395855
t	0.00326486	0.00483077	0.0208754	0.0313154	0.0550383	0.826328	0.0583473
s	0.00425183	0.0114006	0.035879	0.0324133	0.0523545	0.750328	0.113373
é	0.000248252	0.00243273	0.00766326	0.00903178	0.0183358	0.865753	0.0965349
</S>	0.000445913	0.00265957	0.0155404	0.0099703	0.0451807	0.322431	0.603772
