 	approche-toi	de	moi	pour	que	je	te	transmette	un	message	</S>
m	0.276383	0.165167	0.0444128	0.100673	0.160465	0.130756	0.0188689	0.0115503	0.0447443	0.0455824	0.00139748
ó	0.0648116	0.139753	0.276714	0.109764	0.0572669	0.0803415	0.0647775	0.0299234	0.04984	0.0512946	0.0755135
b	0.587265	0.0895613	0.084873	0.0556193	0.0518512	0.042844	0.0503553	0.0128861	0.00340375	0.0124664	0.00887429
v	0.707488	0.0902449	0.0423097	0.0565452	0.0400442	0.0203414	0.0109779	0.00488279	0.0106416	0.0048307	0.011694
ú	0.799964	0.109177	0.0207159	0.034822	0.0185825	0.00437698	0.00206041	0.00103127	0.002457	0.00158387	0.00522839
r	0.744061	0.153637	0.0112168	0.019635	0.00693555	0.00127931	0.0028594	0.00928134	0.00487253	0.0165833	0.0296384
á	0.440348	0.282999	0.0230482	0.0478293	0.0298917	0.00522612	0.0325914	0.0342143	0.0201723	0.00946398	0.0742164
á	0.0420435	0.514388	0.179052	0.0749595	0.0752433	0.0360954	0.0181507	0.00734014	0.0220308	0.00322481	0.0274726
l	0.0342211	0.309032	0.182343	0.121722	0.0979061	0.0575431	0.0554767	0.0632227	0.0235228	0.0236329	0.0313771
a	0.0108003	0.227597	0.142412	0.118317	0.0706195	0.0553286	0.0586245	0.127223	0.0237704	0.0343352	0.130973
n	0.0108434	0.171451	0.176024	0.219847	0.0855741	0.0345599	0.0409799	0.115789	0.0132872	0.0208169	0.110827
g	0.00623462	0.18051	0.483401	0.0895881	0.0428241	0.0853002	0.033844	0.0510386	0.00687699	0.00484129	0.0155411
á	0.00535362	0.167773	0.45016	0.0386913	0.026514	0.142038	0.0331633	0.0837972	0.00549462	0.00396567	0.0430495
w	0.00643269	0.069317	0.195956	0.294979	0.274958	0.0485458	0.0625071	0.011288	0.019368	0.00542537	0.0112232
á	0.0293184	0.204694	0.131644	0.255465	0.254084	0.0281324	0.0444569	0.00514814	0.025694	0.00175757	0.0196049
r	0.00201696	0.046863	0.22629	0.179375	0.197613	0.11012	0.0725072	0.0249433	0.0273422	0.00741735	0.105511
é	0.00188974	0.0314059	0.47449	0.0686214	0.0619558	0.213138	0.0792452	0.0235276	0.00819877	0.00439938	0.0331276
b	0.000518148	0.0331996	0.178666	0.203242	0.131077	0.166769	0.121668	0.100821	0.0312237	0.0048198	0.0279964
a	0.0317237	0.0577195	0.0710367	0.347542	0.315732	0.0260034	0.0510458	0.0167647	0.0317604	0.00324885	0.0474228
á	0.000875673	0.0194341	0.0706535	0.144243	0.246818	0.152108	0.126382	0.0756023	0.068368	0.0156046	0.079911
n	0.000995943	0.00733626	0.0165957	0.0368059	0.0781777	0.183587	0.27087	0.253627	0.0614986	0.0543472	0.0361581
g	5.56673e-05	0.00299778	0.0435646	0.00625828	0.012407	0.597113	0.198886	0.118964	0.00440236	0.00251258	0.0128387
á	0.000150923	0.00547676	0.117909	0.0164911	0.0168789	0.434689	0.09165	0.308398	0.00346315	0.00151364	0.00337941
í	0.000275313	0.00261692	0.00632452	0.0617822	0.0742267	0.0293929	0.357962	0.241752	0.147782	0.0208011	0.0570845
s	0.00085497	0.0025569	0.00154924	0.0107827	0.0106538	0.0164248	0.122111	0.586312	0.103503	0.125582	0.0196693
ε	2.22881e-05	0.000555173	0.000731318	0.00177315	0.00224253	0.0227737	0.0403347	0.774818	0.0259278	0.100858	0.0299633
r	3.62312e-05	0.000481153	0.000765615	0.0105224	0.00994501	0.00616474	0.0367638	0.749084	0.102328	0.0238104	0.0600987
ε	0.000353895	0.000948826	0.00193884	0.0171106	0.0143026	0.00503013	0.0853313	0.681032	0.112101	0.0212366	0.0606135
n	8.90266e-05	0.00267267	0.00677096	0.0133949	0.0220757	0.0458323	0.130776	0.213607	0.416954	0.0670608	0.080767
ώ	0.000255608	0.0041412	0.0200879	0.00773689	0.0109793	0.15996	0.263257	0.455719	0.0408299	0.0144855	0.0225482
o	6.43277e-05	0.00139873	0.00738176	0.0123747	0.0272429	0.0876993	0.0843721	0.235899	0.25595	0.0619783	0.225639
s	0.000680719	0.00122272	0.000608303	0.00344523	0.00211266	0.00175567	0.0143168	0.219314	0.0863124	0.613175	0.0570568
í	5.19508e-05	0.000979106	0.000819646	0.00271152	0.00203057	0.00537665	0.0247247	0.280648	0.0276085	0.587964	0.0670854
s	2.69614e-05	0.000870379	0.00101927	0.00272647	0.0066807	0.0114704	0.019386	0.201545	0.0986374	0.347509	0.310129
i	0.000141637	0.000391321	0.000437806	0.00232498	0.00218895	0.00334685	0.0148215	0.252041	0.0660489	0.53235	0.125907
</S>	3.52488e-05	0.000873626	0.000528265	0.0025051	0.00563429	0.00620588	0.0175967	0.108681	0.264512	0.170272	0.423155
