 	je	l'	ai	fait	réussir	à	l'	examen	</S>
n	0.959264	0.0207613	0.00898633	0.00194818	0.004287	0.00181132	0.00240369	0.000339009	0.000199429
g	0.961167	0.0254679	0.0123026	0.00022946	0.00010602	0.00028597	0.000358315	5.8109e-05	2.46697e-05
á	0.912247	0.0403102	0.0444134	0.0014362	0.000295364	0.00070566	0.000473848	0.000108866	8.97614e-06
í	0.0332229	0.223452	0.223755	0.033474	0.00768677	0.0154117	0.0336727	0.00480307	0.424521
b	0.00303761	0.0402378	0.141936	0.756672	0.0431076	0.00755617	0.0019382	0.000332846	0.00518246
h	0.000330938	0.0180006	0.062798	0.541153	0.351508	0.0176473	0.00306391	0.000387327	0.00511113
e	6.54033e-05	0.00147651	0.00503779	0.364329	0.604994	0.0197538	0.00298196	0.000177156	0.00118415
r	0.000151649	0.00156557	0.00644152	0.110869	0.770233	0.077666	0.0154793	0.00493274	0.0126609
i	0.000578482	0.0121561	0.0371853	0.167918	0.452199	0.226957	0.075613	0.00380448	0.0235875
s	0.0014426	0.088044	0.165833	0.0413407	0.122828	0.367422	0.199454	0.00310651	0.0105289
i	0.000312646	0.00278613	0.00927653	0.0796934	0.148126	0.571528	0.152666	0.00597318	0.0296369
w	0.000817936	0.0221535	0.0302754	0.0177978	0.0296633	0.565454	0.271765	0.0386311	0.0234412
á	0.00453195	0.0285704	0.0374764	0.0741698	0.063294	0.524143	0.229826	0.00596319	0.0320258
i	0.000573239	0.0097864	0.00654488	0.00976565	0.0135867	0.416574	0.47943	0.0304587	0.0332804
s	1.05184e-05	0.000656319	0.000346301	0.00722004	0.0221331	0.309486	0.367282	0.210602	0.0822631
í	0.000159847	0.0016076	0.00213625	0.00235095	0.0106087	0.17879	0.209625	0.516772	0.0779498
m	0.000117743	0.0025002	0.00221895	0.00104101	0.00349192	0.0897366	0.35025	0.423795	0.126849
á	1.43877e-05	0.000375262	0.000151648	0.0024726	0.00662284	0.128236	0.288239	0.096608	0.47728
</S>	0.000138062	0.00433182	0.00125312	0.00352159	0.00662689	0.0704079	0.318843	0.344005	0.250872
