 	un	oiseau	est	perché	sur	la	branche	du	safoutier	</S>
n	0.372449	0.425161	0.167165	0.0123921	0.00487468	0.00563152	0.00895368	0.00324491	8.38129e-05	4.45445e-05
y	0.322857	0.663757	0.0111336	0.00017406	0.000480681	0.000571035	0.000183126	0.000762724	1.56158e-05	6.53451e-05
ω	0.00689304	0.98928	0.00210894	0.000380787	0.000248383	0.000737561	0.000111158	9.88529e-05	9.07375e-05	5.02964e-05
s	0.00407233	0.992144	0.00132158	0.000188883	7.47399e-05	0.000283937	9.67135e-05	0.000201248	0.000108242	0.0015082
í	0.0542171	0.0429111	0.231202	0.0441621	0.0407953	0.0571943	0.00712425	0.0152981	0.00550641	0.50159
a	0.13603	0.00290713	0.63295	0.0855431	0.106084	0.0119346	0.00385491	0.00330859	0.000636794	0.0167507
d	0.0306271	0.00258998	0.275888	0.224937	0.341308	0.0610307	0.0273535	0.0188001	0.00225768	0.015208
í	0.00754869	0.000704607	0.114438	0.60652	0.197252	0.0289382	0.00158313	0.00301099	0.00914141	0.0308637
s	0.0123719	0.000165157	0.0688978	0.54354	0.216588	0.0815986	0.0175718	0.00995937	0.0234292	0.0258785
a	0.00535402	0.000213734	0.0583592	0.73898	0.12505	0.0602975	0.000452955	0.00222455	0.00668792	0.00238067
a	0.00777165	0.00194034	0.164515	0.366649	0.0598542	0.186783	0.00829036	0.0222142	0.156588	0.0253942
m	0.0019169	0.00158153	0.0195385	0.0452806	0.119508	0.567425	0.160134	0.0231833	0.0493575	0.0120746
é	0.00131732	0.00109443	0.0172354	0.150878	0.182472	0.313394	0.00692367	0.0298577	0.173736	0.123092
t	0.00329897	0.000580258	0.0150358	0.0216963	0.037138	0.196662	0.0646739	0.0693005	0.561105	0.0305092
á	0.000263822	0.000190002	0.00273219	0.00770835	0.0320965	0.372039	0.341457	0.047119	0.137719	0.0586754
b	0.0015523	0.000189733	0.0118254	0.0588932	0.0408351	0.0699999	0.263132	0.0329462	0.365611	0.155015
h	0.00322531	0.000195571	0.00112585	0.00101982	0.0094056	0.0450289	0.846719	0.0258431	0.0273495	0.0400876
e	0.0177029	0.00231572	0.0113827	0.00315009	0.0127582	0.0940413	0.571437	0.027398	0.050601	0.209212
y	0.00301869	0.0007312	0.00290282	0.000307928	0.00830987	0.0258697	0.265163	0.345954	0.0299794	0.317763
ó	0.0471114	0.00345018	0.0555565	0.0104709	0.0567464	0.0795967	0.04597	0.517581	0.0513819	0.132135
s	0.0180065	0.00204909	0.00682178	0.00146091	0.0142097	0.0199298	0.0235197	0.519101	0.25999	0.134911
á	0.00738886	0.000916179	0.0101987	0.0064061	0.0359004	0.0235297	0.0128823	0.447769	0.404709	0.0503006
á	0.00344914	0.000257901	0.00666743	0.00455476	0.00842941	0.00501746	0.0109387	0.247999	0.432574	0.280112
</S>	0.0103309	0.000850312	0.0124904	0.0104837	0.0270909	0.0208816	0.0348256	0.279475	0.0914006	0.512171
