 	sa	barbe	pousse	vite	</S>
l	0.34035	0.616201	0.041673	0.00113386	0.000641655
ε	0.509259	0.456845	0.0252624	0.00572392	0.00290947
n	0.213232	0.701575	0.0137786	0.0264732	0.0449419
d	0.0472092	0.902711	0.0106357	0.0071896	0.0322543
ε	0.0641488	0.881858	0.0119334	0.00793087	0.0341288
l	0.091941	0.706005	0.0606558	0.068428	0.0729703
i	0.160764	0.327885	0.148899	0.0398705	0.322581
l	0.377253	0.133663	0.375564	0.0388902	0.0746304
á	0.494903	0.113166	0.190435	0.026313	0.175183
w	0.726029	0.117544	0.104599	0.0266894	0.0251389
a	0.420238	0.131438	0.221618	0.159934	0.0667723
l	0.0639748	0.0232883	0.537899	0.263766	0.111072
í	0.0477682	0.0169978	0.345053	0.18566	0.404521
i	0.0430332	0.0192907	0.232261	0.495017	0.210398
y	0.0101209	0.00945116	0.0706164	0.686224	0.223588
ó	0.00425505	0.0119984	0.0115032	0.598073	0.374171
l	0.00264112	0.00237025	0.0165665	0.819914	0.158508
á	0.0268489	0.0381866	0.0751566	0.493911	0.365897
l	0.0158567	0.00721317	0.0321441	0.310232	0.634554
a	0.0143582	0.0103114	0.0247256	0.296946	0.653659
o	0.0201567	0.00594814	0.0234769	0.532757	0.417661
k	0.023501	0.0969637	0.162792	0.529757	0.186987
ó	0.00542048	0.0789822	0.319716	0.280955	0.314925
r	0.00132002	0.0106374	0.0353716	0.375388	0.577283
ó	0.0139242	0.0280812	0.0127577	0.214388	0.730849
</S>	0.0418308	0.0486543	0.0643249	0.211433	0.633757
