 	son	champ	de	canne	à	sucre	est	devenu	incontrôlé	</S>
n	0.14137	0.401598	0.206844	0.0646435	0.120271	0.0382092	0.00978733	0.0122596	0.00153829	0.00347744
g	0.0228571	0.971321	0.0029836	0.000797169	0.000509153	1.07085e-05	0.000174312	0.0006325	0.00051023	0.000204674
o	0.00635909	0.991411	0.00133654	0.000510573	0.000181363	5.6875e-06	7.07678e-05	6.17046e-05	2.56923e-05	3.7753e-05
n	0.0010963	0.99676	0.000967436	0.00066617	0.000157425	5.22145e-05	3.04618e-05	2.5851e-05	0.000163266	8.14281e-05
d	0.00857999	0.265013	0.116423	0.049272	0.0200259	0.00325179	0.0201497	0.00355315	0.00641096	0.507321
a	0.0178945	0.687991	0.103316	0.0594589	0.0111655	0.00451658	0.00236014	0.000309018	0.00362988	0.109359
y	0.147523	0.103774	0.594392	0.0499919	0.0620065	0.00146066	0.0151024	0.00663077	0.000905628	0.0182138
á	0.414534	0.0442354	0.304901	0.101888	0.0592043	0.0046288	0.0157274	0.00580505	0.00350606	0.0455699
w	0.712975	0.0218526	0.0736828	0.109184	0.0401714	0.0163475	0.00563199	0.0059734	0.00265313	0.0115283
a	0.355668	0.0126117	0.118589	0.229222	0.0952459	0.0598535	0.0371694	0.0231811	0.00728097	0.0611774
y	0.162855	0.0103143	0.247041	0.289192	0.178374	0.0658953	0.0193624	0.014751	0.0021245	0.0100903
í	0.21762	0.00315068	0.150337	0.399644	0.123459	0.0527672	0.0240337	0.00658134	0.0143636	0.00804359
k	0.554873	0.0108859	0.101887	0.119956	0.121413	0.0649241	0.0109697	0.00515113	0.00396613	0.00597409
o	0.0175802	0.00589456	0.0130204	0.093765	0.0163323	0.800138	0.00497638	0.00244802	0.0411755	0.00466992
ó	0.00147063	0.000465241	0.00637642	0.0391057	0.0192822	0.89936	0.0135201	0.00464928	0.0110971	0.0046736
á	0.0352235	0.000308816	0.0897988	0.0547339	0.261709	0.0803142	0.245497	0.185528	0.0138208	0.0330658
b	0.00845117	0.000216349	0.013384	0.0260988	0.0606855	0.0591333	0.269694	0.417045	0.0999213	0.0453698
h	0.0023239	5.02705e-05	0.00546961	0.0234652	0.0340576	0.144761	0.149086	0.463771	0.0755319	0.101483
i	0.00172501	4.32525e-05	0.0134981	0.0595478	0.0515372	0.291264	0.112881	0.288442	0.0699009	0.11116
á	0.0299626	6.17684e-05	0.0138485	0.0267897	0.037109	0.0836847	0.108764	0.30245	0.210291	0.187039
k	0.0304517	0.00321088	0.00911358	0.0116935	0.0233099	0.0116906	0.13683	0.422831	0.234581	0.116288
í	0.000375159	7.96973e-05	0.00139632	0.00582898	0.00359773	0.0581621	0.0314448	0.0999402	0.712533	0.0866416
l	0.000877071	0.000129584	0.00149291	0.00750144	0.00455428	0.025621	0.0303838	0.0795381	0.694739	0.155163
í	0.00063441	0.00044773	0.00233352	0.00581914	0.00761285	0.0236858	0.102294	0.129672	0.494544	0.232956
k	0.0017533	6.76195e-05	0.00281537	0.00412894	0.00862813	0.00795612	0.0953406	0.156541	0.272941	0.449828
i	0.000335197	0.00014446	0.00210827	0.00843787	0.00528049	0.0658619	0.0298652	0.0952127	0.68471	0.108044
l	9.90245e-05	1.44594e-05	0.000745456	0.00296637	0.00154182	0.0242419	0.0236072	0.0449489	0.469718	0.432117
i	0.000358118	0.000587467	0.00175017	0.00549906	0.00463127	0.0143335	0.0616849	0.0893275	0.441138	0.38069
</S>	0.00256267	8.24501e-05	0.004955	0.00646806	0.0116113	0.00662842	0.0718332	0.101803	0.21897	0.575085
