 	la	tornade	a	emporté	les	tôles	du	bâtiment	de	l'	école	</S>
e	0.639786	0.32601	0.0212866	0.00422234	0.00392352	0.00217473	0.00128929	0.000275225	0.000455393	0.000482177	8.63614e-05	8.51438e-06
n	0.0628958	0.904542	0.0236483	0.00313329	0.000703333	0.00379429	0.000564907	0.000102543	0.000171763	0.000119009	8.00905e-05	0.000244927
g	0.0445111	0.898653	0.0208877	0.00194441	0.00251075	0.0147263	0.00326723	0.00617374	0.000612036	0.00199658	0.00162097	0.00309625
u	0.012269	0.983413	0.00125982	0.000233779	0.000107995	0.00197173	7.17527e-05	0.000452536	1.84256e-05	2.92645e-05	3.64006e-05	0.000135948
s	0.0341126	0.919303	0.0289073	0.000904074	0.00224855	0.00561614	0.00154803	0.00449875	0.00033216	0.000867234	0.000367341	0.00129529
u	0.329033	0.547918	0.0882051	0.00322162	0.00647002	0.00616403	0.0052322	0.00135285	0.00130788	0.00083895	0.000645655	0.00961088
é	0.116257	0.0495025	0.710903	0.0408975	0.0597825	0.00121792	0.00693264	0.000785402	0.00447945	0.00179241	0.000776475	0.00667333
t	0.0177478	0.0170223	0.368071	0.519703	0.0442173	0.0091715	0.0101031	0.00446189	0.00351621	0.00183086	0.000687546	0.00346725
έ	0.003538	0.00650522	0.15886	0.737271	0.0361183	0.0217946	0.0174232	0.00738575	0.0038507	0.0017569	0.000975296	0.00452083
m	0.0103598	0.00889125	0.106086	0.657751	0.0548649	0.0444068	0.0340031	0.0164595	0.00942647	0.00384657	0.00402651	0.0498786
b	0.0321932	0.0245508	0.136361	0.287792	0.330587	0.0724912	0.063734	0.0148976	0.00936123	0.00810701	0.00260516	0.0173196
i	0.0302813	0.00917721	0.0288397	0.203589	0.479474	0.0833368	0.0730413	0.0184891	0.0290804	0.0241724	0.0070791	0.0134391
s	0.0110869	0.00413578	0.0416679	0.131668	0.611183	0.0807067	0.0706995	0.0164337	0.0100523	0.00452002	0.00357785	0.0142691
i	0.00601003	0.00567616	0.00764807	0.2646	0.261666	0.223219	0.100659	0.0870902	0.0116036	0.0157663	0.00460945	0.0114528
a	0.00930496	0.00442172	0.0101908	0.0101756	0.619438	0.21561	0.0754592	0.0294805	0.0050223	0.00746862	0.00654475	0.00688337
n	0.00303641	0.00310674	0.0110526	0.0386404	0.167219	0.445305	0.19758	0.112743	0.00683101	0.00389801	0.00700172	0.00358576
d	0.0084926	0.0318412	0.00649256	0.00451457	0.111372	0.433742	0.131518	0.22865	0.00876222	0.0136839	0.0077118	0.0132195
z	0.000273357	0.00531713	0.000805688	0.00131112	0.0127662	0.67118	0.0453273	0.248407	0.00282169	0.0058494	0.0037246	0.0022161
a	0.000260113	0.00661171	0.00140815	0.00295214	0.0155886	0.513352	0.0930652	0.339072	0.00412919	0.00916324	0.00361614	0.0107821
n	0.00210831	0.0084765	0.0075844	0.00818133	0.0209351	0.446607	0.169046	0.159418	0.0292252	0.0375993	0.0164863	0.0943321
d	0.00139992	0.00862127	0.00663519	0.00806104	0.0474493	0.309296	0.358306	0.196281	0.0177839	0.00869494	0.00267982	0.0347922
z	0.00197461	0.0066151	0.00305175	0.0212745	0.022361	0.416256	0.168507	0.28628	0.0242188	0.00894066	0.00526146	0.0352587
a	0.00322802	0.0081409	0.00410345	0.0398548	0.0265063	0.446489	0.127904	0.206752	0.0493136	0.0190162	0.0171992	0.0514923
m	0.00309119	0.00092273	0.0181687	0.0167028	0.0977616	0.0380324	0.504333	0.107774	0.138821	0.0286438	0.0122188	0.0335304
á	0.0224155	0.00677932	0.0166803	0.0030638	0.174983	0.0058499	0.161895	0.0171405	0.142579	0.149149	0.112562	0.186903
n	0.00283868	0.00254559	0.00484216	0.00390788	0.0706208	0.0193394	0.066836	0.17995	0.137568	0.178395	0.309478	0.0236778
d	0.00137429	0.00188869	0.00336502	0.00164422	0.016369	0.0119997	0.0537002	0.417456	0.0947834	0.227539	0.138755	0.0311266
é	0.00111037	0.00506976	0.0015491	0.000353917	0.00378798	0.0238631	0.0245308	0.444842	0.0751041	0.2238	0.164258	0.0317308
e	0.000107692	0.000309661	0.000485313	0.000543707	0.006848	0.0204407	0.0591722	0.10905	0.153698	0.298045	0.274028	0.0772704
y	0.000514355	0.000437123	0.00261065	0.000971162	0.012933	0.00236232	0.0392519	0.0264231	0.27926	0.212956	0.210912	0.211368
á	0.00109666	0.0011918	0.00229841	0.00208647	0.0143556	0.00246245	0.0431544	0.0272489	0.125693	0.239564	0.346293	0.194555
l	0.00206382	0.00211625	0.00426644	0.00353771	0.0475422	0.00169112	0.0150451	0.0209367	0.112306	0.344951	0.396485	0.0490585
e	0.00225691	0.000752519	0.00215776	0.00198956	0.00538254	0.000944964	0.00910471	0.0154588	0.0600729	0.107942	0.604296	0.189641
k	0.000126673	5.7836e-05	0.000231047	0.000114382	0.00160229	0.000182609	0.0034691	0.00201688	0.0438863	0.118746	0.688611	0.140955
ώ	9.60852e-05	0.00020341	0.00137936	0.00497871	0.00365721	0.00335805	0.0159397	0.0112799	0.14572	0.135333	0.577158	0.100896
