 	cet	enfant	est	en	train	de	se	gaver	de	légumes	</S>
m	0.776421	0.171808	0.021555	0.0119224	0.00624423	0.00557665	0.00153947	0.000454331	0.00383667	0.000314058	0.000328328
w	0.0486165	0.924757	0.00708061	0.0142147	0.00153214	0.000537761	0.000942344	0.00128618	0.000149704	0.000242558	0.000640558
á	0.00245359	0.99709	0.000105559	0.000185094	7.71247e-05	1.47187e-05	7.9986e-06	4.65599e-05	4.5855e-07	1.45759e-05	4.51234e-06
n	0.133541	0.85015	0.00258657	0.00712774	0.00404078	0.000605375	0.000359299	0.000288997	9.2941e-05	6.2151e-05	0.00114568
a	0.0715031	0.519869	0.102273	0.088079	0.0492266	0.0236161	0.0136153	0.0185156	0.00386559	0.00360601	0.105831
w	0.49144	0.0336535	0.156735	0.112002	0.0579338	0.0424409	0.0303842	0.00970418	0.0286264	0.00841768	0.0286616
ó	0.266708	0.0466982	0.155346	0.0958162	0.287141	0.0801658	0.0152558	0.00226027	0.00933269	0.0061671	0.0351087
b	0.0415424	0.0083294	0.327898	0.169407	0.105255	0.112787	0.0807404	0.0240492	0.0267218	0.00490221	0.0983678
ó	0.253122	0.00769834	0.149626	0.169066	0.158301	0.158562	0.037747	0.00566496	0.0211728	0.00502106	0.0340171
l	0.019802	0.00505695	0.187187	0.263505	0.186222	0.119782	0.162034	0.00899128	0.0269388	0.00208194	0.0183996
á	0.0283702	0.00507068	0.0554927	0.0289109	0.0176873	0.106562	0.122397	0.0238847	0.111526	0.027052	0.473046
a	0.0231243	0.00485236	0.193736	0.0775684	0.0143421	0.189456	0.222452	0.127477	0.0494546	0.0176466	0.0798907
d	0.0078277	0.00172117	0.0284151	0.0084039	0.00424979	0.0669285	0.155456	0.67834	0.0171614	0.0114336	0.0200633
z	0.00382179	0.000326196	0.0151505	0.0115004	0.00067152	0.0246446	0.188593	0.670607	0.0161439	0.0221076	0.0464332
u	0.0123587	0.00503212	0.0145183	0.00290583	0.000171459	0.0179317	0.0581537	0.865504	0.00586155	0.00931501	0.00824732
n	0.0355478	0.00456233	0.0196517	0.0232026	0.00220262	0.0175464	0.0479297	0.715309	0.0496617	0.0418222	0.0425641
d	0.0150506	0.00234522	0.0489929	0.0536007	0.000315971	0.0858388	0.136746	0.123198	0.188607	0.235262	0.110043
z	0.0134869	0.00165024	0.104735	0.125559	0.00645389	0.222813	0.116383	0.0496005	0.0541725	0.165165	0.139981
á	0.013524	0.00483936	0.0700788	0.128157	0.00454312	0.168749	0.0569674	0.0465584	0.0454227	0.170985	0.290175
á	0.00661467	0.000734617	0.0224207	0.0193684	0.00196427	0.118926	0.0656	0.0210768	0.400523	0.209339	0.133433
a	0.00332865	0.000572357	0.00809411	0.00866981	0.00144607	0.0196928	0.0336768	0.0179288	0.480522	0.280762	0.145307
t	0.00221185	0.000267063	0.0173361	0.00715896	0.00213283	0.0193663	0.0465966	0.0484942	0.252454	0.504223	0.0997593
ú	0.000968054	0.000257927	0.00841175	0.0044659	0.000736374	0.00690253	0.0133909	0.0323154	0.0779009	0.699082	0.155569
n	0.000748791	4.98765e-05	0.000825997	0.0013189	2.66624e-05	0.00127431	0.00229811	0.0507411	0.0562962	0.487558	0.398862
g	0.00100368	0.000390355	0.00297646	0.00323108	5.13624e-05	0.00324095	0.00453982	0.0612471	0.0489155	0.673938	0.200466
u	0.00274134	0.000507695	0.00700475	0.0131527	0.00302772	0.0174159	0.0110884	0.0135822	0.0276045	0.611595	0.29228
</S>	0.00346477	9.86048e-05	0.00652026	0.00721556	0.000248139	0.0120163	0.0112248	0.0146135	0.193356	0.257931	0.493311
