 	ce	n'	est	pas	ainsi	qu'	il	faut	faire	</S>
a	0.158021	0.182868	0.0951115	0.0555507	0.143602	0.0881839	0.0648952	0.194217	0.0025878	0.0149631
d	0.0372905	0.515232	0.0572793	0.0783431	0.050971	0.0238366	0.0298923	0.0369196	0.118067	0.0521687
i	0.0503325	0.29947	0.0276337	0.0580452	0.0261852	0.0326228	0.0572294	0.0297435	0.0404985	0.37824
b	0.0241913	0.0798389	0.0785735	0.113696	0.100185	0.17347	0.0849862	0.082849	0.0363662	0.225844
v	0.00927741	0.024544	0.0243919	0.0425397	0.0815174	0.126602	0.154487	0.25816	0.0361052	0.242375
ú	0.0459844	0.0732609	0.0233473	0.0368715	0.0567491	0.201589	0.251136	0.160386	0.0232238	0.127452
u	0.0280859	0.0619381	0.0443079	0.111004	0.235908	0.174766	0.181288	0.101139	0.0346857	0.0268774
ω	0.0752111	0.0342568	0.126982	0.0938113	0.0794817	0.186947	0.186223	0.0771843	0.0383309	0.101572
k	0.0653432	0.0666809	0.102114	0.0855224	0.0437077	0.0606527	0.0912675	0.0608034	0.229347	0.194562
y	0.00334068	0.0137794	0.0183268	0.0773036	0.0434425	0.0172394	0.0229992	0.134346	0.417559	0.251664
a	0.0182576	0.0126378	0.0334799	0.105462	0.146746	0.101786	0.0904417	0.176014	0.25343	0.0617446
k	0.0259322	0.0143811	0.075652	0.0898723	0.096738	0.136681	0.154378	0.107492	0.105248	0.193626
a	0.00242133	0.00707255	0.00980975	0.0765726	0.0699871	0.0615776	0.119789	0.169185	0.331045	0.15254
á	0.00162473	0.00344413	0.0108527	0.0454329	0.0706185	0.0967275	0.107214	0.0562584	0.132992	0.474835
</S>	0.0155541	0.00822336	0.058421	0.0319777	0.0151003	0.0721589	0.12775	0.0734655	0.0812369	0.516112
