 	regarde	ce	chien	qui	croque	l'	os	</S>
t	0.615659	0.368528	0.00216302	0.0072441	4.08963e-05	0.00570141	0.000570761	9.27592e-05
a	0.929025	0.0492314	0.00592319	0.00907332	0.000243985	0.00384315	0.00142333	0.00123693
á	0.214943	0.746443	0.0209948	0.00571521	0.00481093	0.00308794	0.000789567	0.00321585
m	0.0375389	0.707702	0.12497	0.0271293	0.00640151	0.0245278	0.0030117	0.0687187
b	0.00419104	0.139541	0.833298	0.0142258	0.00350439	0.0017256	0.000948602	0.00256544
v	0.000969818	0.00834391	0.967417	0.00811965	0.00972527	0.00196792	0.00142397	0.00203224
á	0.00095501	0.00482763	0.982734	0.00187149	0.00362591	0.000777534	0.0010078	0.00420018
n	0.00295321	0.0156999	0.926722	0.00358099	0.0140146	0.00118155	0.00945903	0.0263885
d	0.0831366	0.253073	0.518198	0.0575554	0.0178818	0.00697698	0.00226057	0.0609185
é	0.0249526	0.0907409	0.769946	0.0344616	0.0445185	0.00468657	0.00450775	0.0261866
w	0.022902	0.28754	0.137062	0.427892	0.0632814	0.0252468	0.00341712	0.0326579
ó	0.0270392	0.0825573	0.119004	0.414675	0.112563	0.0709687	0.0147062	0.158488
l	0.0127418	0.148143	0.0369526	0.357688	0.284372	0.056498	0.00992068	0.0936831
á	0.0102361	0.027364	0.0534646	0.270132	0.327005	0.0680662	0.0144263	0.229306
a	0.0268002	0.113069	0.0322283	0.285523	0.243863	0.129376	0.0407561	0.128384
w	0.00150459	0.0128754	0.0389142	0.0467273	0.82438	0.0409627	0.0181022	0.0165335
ó	0.000580217	0.0106591	0.0233863	0.0077368	0.895214	0.0178229	0.0312897	0.0133106
n	5.79767e-05	0.00107809	0.00410716	0.00517534	0.944776	0.018613	0.00491283	0.0212796
y	0.00235042	0.00395669	0.0175815	0.0561934	0.725177	0.0616401	0.0123503	0.120751
á	0.00268519	0.00189575	0.0107948	0.0392516	0.486401	0.0687907	0.0381649	0.352016
á	0.00114004	0.00655813	0.00292319	0.06478	0.0301215	0.454254	0.392781	0.0474424
e	0.000921686	0.0152082	0.00807894	0.0284788	0.00652499	0.269502	0.60888	0.0624058
b	0.00358678	0.0110898	0.012121	0.00952497	0.103155	0.126021	0.672779	0.0617228
h	0.00065704	0.00563511	0.00344357	0.00392768	0.00351508	0.0725509	0.890813	0.019458
e	8.59891e-05	0.000382479	0.00528994	0.00184685	0.00543543	0.0295168	0.915051	0.0423911
s	7.28112e-05	0.000987892	0.000466687	0.00465307	0.00952198	0.107139	0.660254	0.216905
é	0.000233094	0.000305601	0.00152598	0.001613	0.0211318	0.0452707	0.702495	0.227425
</S>	0.000387644	0.00779576	0.00160912	0.0138008	0.00692726	0.172616	0.103847	0.693017
