 	le	malade	veut	manger	de	l'	oseille	</S>
o	0.869551	0.116418	0.0105924	0.00112043	0.00156729	0.000657112	5.43269e-05	3.96042e-05
k	0.0357623	0.959498	0.00242712	0.000463746	0.000358154	0.000242814	0.000174579	0.00107366
ω	0.00681006	0.982858	0.00662496	0.000847137	0.00130737	0.000358511	0.000102487	0.0010915
n	0.0147555	0.961307	0.0145739	0.000660502	0.00226328	0.0037464	0.00127236	0.00142143
í	0.0680437	0.92024	0.00478071	0.000517521	0.000978578	0.000157027	0.000176212	0.00510668
ó	0.509366	0.130896	0.277091	0.0134494	0.0222132	0.0129041	0.000452325	0.0336283
d	0.140785	0.0221093	0.601383	0.112712	0.0471555	0.0196499	0.00346905	0.052737
í	0.106674	0.0082778	0.216065	0.272676	0.0427131	0.0246035	0.000212674	0.328779
l	0.0486948	0.00413328	0.433713	0.20428	0.0766579	0.0506272	0.000800277	0.181094
a	0.00759719	0.00466417	0.268959	0.151055	0.0761771	0.0340306	0.00131302	0.456203
p	0.0218868	0.024595	0.568659	0.214174	0.0479416	0.0156855	0.00289969	0.104159
ó	0.00792664	0.0227947	0.787743	0.134468	0.0356983	0.00127358	0.00350724	0.00658802
s	0.000825235	0.0071367	0.780096	0.0979617	0.0768202	0.00701402	0.000905947	0.0292397
á	0.00435877	0.00394253	0.780411	0.10745	0.0776178	0.00467598	0.000209732	0.0213345
o	0.0112829	0.0012976	0.0741773	0.464426	0.280068	0.0815487	0.0202147	0.0669848
d	0.00531893	0.0119537	0.205069	0.432005	0.243754	0.0348701	0.0518214	0.0152072
z	0.00272845	0.000512342	0.0953688	0.547111	0.215091	0.0878049	0.00611688	0.0452665
á	0.00106067	0.000498617	0.0396614	0.802326	0.114214	0.0209129	0.00011636	0.0212104
a	0.00147147	0.00010485	0.018804	0.116869	0.237311	0.307389	0.0136526	0.304399
b	0.00309904	0.000970437	0.0102003	0.0190796	0.0983424	0.394408	0.146696	0.327205
v	0.00516883	0.0034607	0.0447098	0.010897	0.0911637	0.0557739	0.731512	0.0573136
i	0.00198216	0.000340405	0.0173337	0.00579324	0.0594789	0.0516366	0.836301	0.0271336
á	0.00127383	0.000110467	0.00473452	0.00837958	0.0985497	0.277798	0.138635	0.470519
</S>	0.00479775	0.00084663	0.0137974	0.0325305	0.0523158	0.291996	0.155716	0.448
