 	les	canards	marchent	dans	la	cour	</S>
a	0.90199	0.0928456	0.00205027	0.00183628	0.00119769	6.63548e-05	1.40182e-05
s	0.142078	0.822425	0.0300792	0.0020661	0.00129292	0.0015989	0.000460507
w	0.0213925	0.955913	0.0173173	0.00367858	0.000565789	0.000490387	0.000642418
e	0.055375	0.909202	0.0104745	0.0079545	0.0027144	0.00638527	0.00789469
b	0.213231	0.53182	0.128325	0.033818	0.0163004	0.01386	0.0626456
h	0.486799	0.183499	0.220378	0.032686	0.0150155	0.00494548	0.0566775
é	0.301046	0.418256	0.156035	0.0262357	0.00908751	0.00844458	0.0808952
m	0.100762	0.0610094	0.585422	0.166386	0.0474432	0.00410035	0.0348767
á	0.441183	0.0749874	0.176671	0.152127	0.122338	0.00428482	0.0284093
a	0.42311	0.0308567	0.296451	0.146559	0.0582014	0.00933657	0.0354852
b	0.0243226	0.0293776	0.621306	0.265401	0.0379258	0.00556072	0.0161059
h	0.0312102	0.134097	0.545742	0.211859	0.0544519	0.00302588	0.0196139
é	0.0150378	0.208713	0.664404	0.0877498	0.0143736	0.00199237	0.00772962
m	0.0115568	0.076425	0.354858	0.331479	0.10421	0.0203526	0.101119
b	0.0656435	0.0296025	0.103475	0.22908	0.243663	0.115153	0.213382
á	0.0461474	0.00815032	0.15397	0.169729	0.127114	0.1234	0.371489
ó	0.00434032	0.00159084	0.0182977	0.297968	0.577547	0.071885	0.028371
d	0.011304	0.0122488	0.0187013	0.0982607	0.204451	0.616643	0.0383915
z	0.00148189	0.00263418	0.00209386	0.0606026	0.122915	0.542143	0.268129
a	0.000523069	0.00237465	0.00347516	0.0371187	0.0884284	0.781802	0.0862782
n	0.00220501	0.00371307	0.0258714	0.113957	0.152064	0.489231	0.212959
g	0.000772417	0.00353678	0.0147897	0.063972	0.126582	0.533325	0.257022
é	0.000525717	0.000192418	0.0037736	0.00565008	0.0169302	0.783335	0.189593
</S>	0.00163425	0.000257284	0.0145998	0.0560301	0.120244	0.116956	0.690278
