 	le	bonheur	fait	grossir	l'	homme	</S>
e	0.784594	0.194309	0.0120584	0.00200367	0.00339607	0.00345348	0.000184963
s	0.0719332	0.839285	0.0280366	0.0500652	0.00256804	0.00515434	0.00295758
ε	0.269451	0.551251	0.0394282	0.096831	0.00557272	0.00676899	0.0306972
y	0.107736	0.038208	0.102292	0.028791	0.119605	0.0107641	0.592604
é	0.262166	0.108496	0.117644	0.166536	0.046299	0.00906379	0.289795
e	0.196909	0.135582	0.389996	0.0298352	0.0739498	0.00430305	0.169425
p	0.105372	0.05024	0.461401	0.219152	0.0474511	0.0170393	0.0993446
e	0.0293764	0.0157534	0.0675515	0.821676	0.0062247	0.0150319	0.0443866
b	0.0495296	0.0165732	0.259957	0.479303	0.0269097	0.0400989	0.127628
h	0.0400853	0.0678002	0.0977631	0.572907	0.0164528	0.0088483	0.196144
í	0.101209	0.0483534	0.141555	0.319656	0.0463877	0.0439319	0.298906
s	0.0424047	0.0126278	0.391227	0.139234	0.262405	0.05128	0.100821
á	0.00831371	0.00349735	0.0661014	0.189318	0.108468	0.00962321	0.614678
m	0.0230248	0.00224921	0.0816827	0.0467496	0.665449	0.131537	0.0493074
o	0.00223704	7.02838e-05	0.00549674	0.00510653	0.0782257	0.798214	0.110649
r	0.00118548	0.000630861	0.0464656	0.0710812	0.29572	0.280964	0.303953
o	0.0142605	0.00189765	0.0328539	0.143196	0.451945	0.267792	0.088055
</S>	0.00312098	9.47754e-05	0.024848	0.0115156	0.304644	0.00677791	0.648999
