 	ses	yeux	se	sont	remplis	de	larmes	</S>
w	0.910772	0.0628687	0.0233136	0.00135208	0.000811153	0.000660339	0.000126016	9.62743e-05
a	0.64087	0.3105	0.0333475	0.00499013	0.000139731	0.00977031	0.000262691	0.000118743
m	0.221032	0.376971	0.235793	0.119873	0.0272062	0.0127516	0.00422215	0.00215069
í	0.0178068	0.600118	0.303008	0.0704853	0.000974341	0.00311931	6.93148e-05	0.00441854
s	0.101579	0.467443	0.295982	0.081112	0.00189459	0.0146618	0.000913271	0.0364144
i	0.0719809	0.803161	0.0458278	0.0225997	0.0124294	0.00504217	0.00362537	0.0353338
á	0.168677	0.154991	0.317756	0.229111	0.0237858	0.0160009	0.00532856	0.0843487
m	0.00326446	0.00218289	0.101104	0.457666	0.395614	0.0181441	0.0128496	0.00917465
i	0.00556618	0.00928312	0.0849536	0.31906	0.41065	0.083564	0.0217039	0.0652196
y	0.00110246	0.00157341	0.0103604	0.0836499	0.867016	0.0112835	0.0140017	0.0110131
e	0.000327028	0.000759249	0.00152034	0.0200319	0.93895	0.012559	0.0221098	0.00374226
e	0.000906112	0.000455406	0.00707685	0.0385893	0.857446	0.027502	0.0151508	0.0528735
n	0.0273776	0.00678931	0.0885546	0.156999	0.173222	0.417222	0.0499039	0.0799312
g	0.0616029	0.014558	0.0213742	0.0190042	0.0693514	0.312111	0.242376	0.259622
á	0.0415213	0.147963	0.0364245	0.0280808	0.0461437	0.203326	0.334526	0.162014
a	0.0110945	0.00185351	0.0160479	0.0301483	0.0174371	0.613482	0.255682	0.0542544
t	0.0020622	0.00100029	0.00228078	0.0117187	0.0527701	0.162407	0.66461	0.103151
s	0.000473075	7.10028e-05	0.00233271	0.0107273	0.0506554	0.185605	0.562909	0.187226
á	0.00156567	0.000136302	0.00398353	0.0117963	0.0557175	0.207144	0.557489	0.162168
n	0.0365078	0.0021958	0.0110074	0.0184598	0.00571336	0.175925	0.165868	0.584324
g	0.000362444	0.000266901	0.000432138	0.00121003	0.011213	0.0628262	0.720842	0.202848
á	0.000242006	0.000613767	0.000526936	0.00173763	0.0072715	0.0626109	0.640756	0.286241
</S>	0.0105427	0.000793397	0.00768504	0.0135453	0.00772422	0.186162	0.300042	0.473506
