 	ses	cheveux	sont	brillants	</S>
w	0.691336	0.273401	0.0345137	0.000441919	0.000307109
a	0.594029	0.266363	0.136598	0.00257463	0.00043615
s	0.477556	0.416485	0.0733103	0.0125396	0.0201089
u	0.0443975	0.914924	0.00987722	0.00507003	0.0257312
é	0.131023	0.681196	0.0823575	0.0122178	0.093206
y	0.0454504	0.0772942	0.602244	0.206275	0.0687362
é	0.0288317	0.212846	0.171591	0.438734	0.147998
e	0.016502	0.0481069	0.165956	0.344481	0.424954
b	0.0248734	0.0228989	0.362726	0.314726	0.274776
á	0.0190435	0.0233493	0.193829	0.560264	0.203514
l	0.0151733	0.0205738	0.0996254	0.371497	0.493131
a	0.00704494	0.00484398	0.150397	0.366113	0.471601
</S>	0.00662381	0.00436554	0.163512	0.279937	0.545562
