 	ibara	est	en	train	d'	aiguiser	la	machette	</S>
i	0.81556	0.14353	0.0174085	0.00503707	0.00202765	0.00383177	0.0117232	0.000775338	0.000106267
b	0.908377	0.0859877	0.0016513	0.000166995	0.000865282	0.00105847	0.000324346	0.00113385	0.00043484
a	0.754004	0.213166	0.0101246	0.00750005	0.00270516	0.00278771	0.00207508	0.0054059	0.00223186
r	0.681121	0.222936	0.0334016	0.0145621	0.00487272	0.00294476	0.00210363	0.0110438	0.0270148
a	0.840817	0.116261	0.0102445	0.00697953	0.00379198	0.0038613	0.00189988	0.00199684	0.0141478
b	0.176816	0.29863	0.353287	0.0105553	0.0620573	0.0236365	0.0110944	0.00423374	0.0596894
ó	0.0357298	0.0873053	0.505756	0.131451	0.070291	0.0348238	0.0333209	0.00309409	0.0982276
l	0.0151487	0.112886	0.678442	0.0754031	0.0486975	0.0277896	0.0213155	0.00229457	0.0180232
á	0.0321603	0.0640027	0.139395	0.013343	0.0839058	0.0444558	0.0295734	0.0197994	0.573365
a	0.0780164	0.128481	0.306677	0.144476	0.184996	0.0738118	0.0452116	0.00727341	0.0310572
s	0.0132542	0.0230683	0.0461441	0.0128393	0.664521	0.176852	0.010901	0.0250364	0.0273837
e	0.0100651	0.0154265	0.0411354	0.0164513	0.3867	0.474328	0.0118679	0.0140523	0.0299734
b	0.00819588	0.0116571	0.0594492	0.0149968	0.298233	0.537473	0.0227018	0.00629801	0.0409955
h	0.00151473	0.0288181	0.141619	0.00947037	0.375802	0.310874	0.0426214	0.0173674	0.0719139
á	0.00937873	0.014123	0.134942	0.075837	0.167756	0.263078	0.0759261	0.052769	0.206191
o	0.000822082	0.0028298	0.0286704	0.0265594	0.179643	0.411185	0.316579	0.0196002	0.0141114
k	0.00866872	0.00397314	0.00204499	0.00100193	0.0750248	0.329275	0.201468	0.366537	0.0120053
w	0.00164204	0.00120255	0.00107123	0.000744534	0.0250821	0.113673	0.137213	0.697069	0.0223026
á	0.00282295	0.00358565	0.0123794	0.017221	0.07261	0.180368	0.0952572	0.46428	0.151475
í	0.000607865	0.00156452	0.0141424	0.00594849	0.0525128	0.162295	0.391163	0.191726	0.18004
</S>	0.0013126	0.00172871	0.0112936	0.00174692	0.0368221	0.13158	0.234283	0.232513	0.34872
