 	cet	enfant	est	impoli	</S>
m	0.926929	0.0714936	0.000507933	0.000992813	7.65835e-05
w	0.376389	0.612394	0.0106217	0.000144302	0.000450482
á	0.0415337	0.947683	0.00139383	0.00898313	0.000406279
n	0.163588	0.809851	0.00225076	0.000283621	0.024026
a	0.249212	0.67377	0.0246565	0.000884585	0.0514776
w	0.832978	0.0835767	0.0602516	0.0130116	0.0101819
ó	0.350418	0.0280221	0.202465	0.107862	0.311234
l	0.0762614	0.0452218	0.445866	0.0711834	0.361468
á	0.0366668	0.0139415	0.114053	0.0669878	0.768351
a	0.0361826	0.0226847	0.528977	0.221233	0.190923
k	0.00589177	0.00737328	0.271905	0.667495	0.0473349
y	0.00179349	0.000517547	0.261348	0.446752	0.289589
á	0.00324154	0.00347357	0.0592025	0.861292	0.0727905
b	0.00137615	0.0013864	0.283658	0.291162	0.422417
a	0.00176586	0.00634365	0.118248	0.769436	0.104207
r	0.00285341	0.00944646	0.352611	0.178029	0.45706
e	0.00509554	0.00303102	0.16709	0.267736	0.557048
</S>	0.00264815	0.00054167	0.129756	0.154159	0.712896
