 	les	jeunes	de	tombo	ont	commandé	un	ballon	</S>
b	0.601094	0.29855	0.0787807	0.0171967	0.00252176	0.000478569	0.00111448	0.000243449	1.98983e-05
á	0.162312	0.70868	0.114173	0.00542579	0.00555075	0.000547742	0.00209576	0.000797985	0.000416547
n	0.11163	0.515461	0.286354	0.0478441	0.0306091	0.00135375	0.00277899	0.00027839	0.00369022
a	0.319064	0.534507	0.100828	0.0214824	0.00412517	0.000787923	0.000627461	0.000198469	0.0183792
b	0.301117	0.187979	0.452646	0.0322181	0.0132532	0.00246455	0.00406615	0.000807206	0.00544937
á	0.0579837	0.148904	0.437513	0.11521	0.0646231	0.02322	0.0622816	0.00335083	0.0869139
t	0.0571149	0.081427	0.413141	0.318588	0.0701491	0.0106666	0.0135627	0.00386324	0.0314875
o	0.0357549	0.0835211	0.0307914	0.805008	0.0227357	0.0113107	0.00316988	0.00548637	0.00222163
m	0.0115875	0.0300401	0.0303393	0.887766	0.0262088	0.00762587	0.00102106	0.00202291	0.00338879
b	0.082364	0.0349512	0.129791	0.634202	0.0472922	0.0145359	0.0209996	0.00957659	0.0262878
o	0.260203	0.141441	0.180789	0.327555	0.0154567	0.015431	0.0100508	0.0033048	0.045768
á	0.0593575	0.0352712	0.376765	0.135024	0.348609	0.0221975	0.0139633	0.000335355	0.00847705
m	0.00706034	0.011267	0.0315152	0.0199171	0.64114	0.246079	0.0224002	0.00168497	0.0189368
i	0.0123695	0.0104587	0.0256874	0.00519307	0.472031	0.318591	0.0962349	0.00491363	0.0545216
t	0.00192755	0.00349206	0.00144812	0.00827063	0.0959856	0.856815	0.0198376	0.00325298	0.00897076
í	0.000426601	0.00295581	0.00155905	0.0172765	0.0564937	0.897792	0.00998741	0.00163058	0.0118786
n	0.00129317	0.00639469	0.00928348	0.0535503	0.198419	0.678774	0.0166792	0.00490256	0.0307038
d	0.00816427	0.0136693	0.0336013	0.0475134	0.198812	0.602735	0.0473949	0.0068341	0.0412762
á	0.00591917	0.00864711	0.0384818	0.0614663	0.0807845	0.547824	0.0729176	0.0285799	0.15538
o	0.00556549	0.0028006	0.0342592	0.0120112	0.0496919	0.18007	0.58943	0.0453383	0.0808333
s	0.00823721	0.00556129	0.00274647	0.00513881	0.019961	0.270682	0.158823	0.490787	0.0380625
ó	0.00573281	0.00338555	0.00486255	0.00289827	0.00611772	0.239118	0.149131	0.46235	0.126404
m	0.00115433	0.000388886	0.00166613	0.000936366	0.00325527	0.0539316	0.0964049	0.734399	0.107863
b	0.00134113	0.000877585	0.00142849	0.00119485	0.00568314	0.0380793	0.15866	0.491649	0.301087
á	0.00236472	0.00264527	0.0017597	0.0047783	0.00143927	0.107136	0.137215	0.239955	0.502707
d	0.00559982	0.0027395	0.017058	0.00677055	0.0117722	0.0229297	0.294068	0.193229	0.445833
i	0.00105704	0.000740208	0.00115046	0.000680512	0.000654454	0.0173051	0.0379659	0.775798	0.164648
n	0.000603228	0.00029742	0.00239086	0.000841101	0.00142586	0.00571709	0.0608458	0.620799	0.30708
g	0.000841108	0.000875263	0.00307266	0.00309865	0.00120647	0.00709424	0.0444885	0.699011	0.240312
a	0.000611424	0.000711303	0.00174318	0.00192581	0.00063483	0.00367914	0.0222049	0.845907	0.122582
</S>	0.000159758	0.000286552	0.00104653	0.000893278	0.000888102	0.0165423	0.0675919	0.458262	0.45433
