 	l'	enfant	a	grossi	car	il	mange	bien	</S>
m	0.762791	0.219366	0.00897763	0.0034532	0.00410779	0.000921251	8.71586e-05	0.000256122	4.00502e-05
w	0.0222852	0.969025	0.00558973	0.00124514	0.000333932	0.000174982	0.000115093	8.58083e-05	0.00114465
á	0.00250671	0.997063	6.29776e-05	0.000254136	7.32746e-05	6.46863e-06	2.40387e-06	2.83384e-05	3.16438e-06
n	0.217426	0.780165	0.000582904	0.000543796	0.00046905	8.32282e-05	5.08397e-05	9.32291e-05	0.000586073
a	0.319735	0.419672	0.0869923	0.0152391	0.0259581	0.0104231	0.00579938	0.00420657	0.111975
á	0.542572	0.034894	0.353391	0.0161954	0.0163995	0.0138377	0.00714669	0.00480179	0.0107617
m	0.0624137	0.0115568	0.348283	0.429662	0.026369	0.0270188	0.0612429	0.00552149	0.0279323
i	0.00653001	0.00309344	0.377958	0.392581	0.106942	0.0391667	0.0305999	0.0042194	0.038909
k	0.00229721	0.000763992	0.0432025	0.88316	0.0203145	0.00793975	0.0255075	0.00204577	0.0147687
o	0.000854434	2.33735e-05	0.0166738	0.882175	0.0524723	0.022606	0.0129127	0.00163966	0.0106427
n	0.000418203	5.34446e-05	0.0309554	0.915119	0.0343986	0.00888852	0.0035658	0.00112788	0.00547326
d	0.0621272	0.00901247	0.106873	0.591355	0.155151	0.0430132	0.00559234	0.00218339	0.0246923
a	0.0101439	0.00225336	0.0483449	0.655311	0.191489	0.0336612	0.00532176	0.00552431	0.047951
l	0.00817493	0.000272527	0.072275	0.0141909	0.353516	0.484261	0.0401316	0.00657068	0.0206072
i	0.00573947	0.000127469	0.00665274	0.0152489	0.169794	0.322277	0.161885	0.0152028	0.303073
d	0.00768287	0.000358567	0.00687907	0.00417904	0.355216	0.456296	0.103925	0.0346991	0.0307641
z	0.015087	0.00154919	0.00142501	0.00459575	0.164175	0.23033	0.371421	0.105744	0.105672
á	0.00783147	0.000945713	0.00215533	0.00367339	0.157122	0.227564	0.510319	0.0438354	0.0465533
a	0.00475147	3.45886e-05	0.0061162	0.00155453	0.0904063	0.208446	0.488198	0.11385	0.0866428
o	0.000335766	3.58424e-05	0.00898603	0.00325394	0.0114095	0.10696	0.397888	0.253439	0.217693
b	0.000150814	5.06363e-05	0.0016383	0.0078103	0.00417972	0.00913135	0.311821	0.558573	0.106645
v	0.000663421	0.00129629	0.0132718	0.120089	0.0223831	0.0211033	0.0462908	0.702297	0.0726056
έ	0.00171425	0.000134296	0.0015506	0.0649963	0.0416387	0.0436707	0.0268624	0.751975	0.0674582
</S>	0.00346931	5.33858e-05	0.00200672	0.00104629	0.0122263	0.0607214	0.0914856	0.304705	0.524286
