 	donne-le	moi	tout	de	suite	autrement	tu	seras	puni	</S>
p	0.774787	0.104257	0.0634179	0.0194501	0.00715925	0.0207843	0.00375307	0.00520749	0.00100883	0.000174586
έ	0.754007	0.167285	0.0549714	0.0161878	0.00289885	0.0020781	0.000897355	0.00117914	0.000212714	0.000282558
n	0.27098	0.126533	0.157046	0.0986447	0.0324585	0.145809	0.0979297	0.0405379	0.0069886	0.0230727
g	0.524435	0.342028	0.0244477	0.0200643	0.0151248	0.0244936	0.0194665	0.0168457	0.00188298	0.011211
á	0.0950513	0.556184	0.00255159	0.0026859	0.0451251	0.12122	0.122566	0.039411	0.000187986	0.0150179
m	0.477288	0.119815	0.2381	0.0603724	0.0293472	0.0370825	0.00529459	0.00725845	0.00336596	0.0220759
ú	0.490069	0.0804064	0.23449	0.0777348	0.0714548	0.0292465	0.00187951	0.0025627	0.00305288	0.00910337
a	0.16793	0.15866	0.448646	0.102866	0.0433348	0.0234494	0.0115357	0.0114206	0.00622904	0.0259283
l	0.0453845	0.0894473	0.511	0.212885	0.0526719	0.00761608	0.0117137	0.0161651	0.0079732	0.0451433
a	0.0143348	0.0362662	0.246838	0.348844	0.0794201	0.0158937	0.0337829	0.0319663	0.00280619	0.189847
o	0.0245893	0.230359	0.119873	0.214478	0.191753	0.137057	0.025322	0.0168722	0.000524111	0.0391724
k	0.00974804	0.0155359	0.102321	0.559144	0.260606	0.0211035	0.0101113	0.00639957	0.00382498	0.011205
ó	0.0108062	0.00518037	0.266164	0.455768	0.179488	0.0109277	0.0098254	0.00917639	0.0309675	0.0216964
r	0.0177097	0.00966246	0.315034	0.411897	0.154029	0.011885	0.00840825	0.00727141	0.022034	0.0420694
ó	0.117263	0.00757629	0.195461	0.242771	0.177073	0.0453334	0.00814148	0.00482449	0.0106616	0.190895
w	0.0598348	0.0242273	0.0975381	0.14785	0.294538	0.255546	0.0776541	0.0170659	0.0133936	0.0123518
á	0.0357011	0.0712447	0.119723	0.105179	0.256445	0.245298	0.0723135	0.0422336	0.0230312	0.0288308
á	0.00247039	0.010043	0.00864288	0.0188881	0.0643719	0.743966	0.100712	0.0171748	0.0082595	0.0254709
k	0.00632305	0.00595868	0.0166054	0.114146	0.0757257	0.16148	0.399628	0.142692	0.0231913	0.0542498
a	0.0031164	0.00111578	0.02548	0.137953	0.065125	0.0544552	0.229986	0.153522	0.276413	0.0528336
á	0.00101752	0.00227516	0.0248688	0.0879593	0.0466254	0.108404	0.290814	0.128683	0.134636	0.174717
l	0.00235279	0.00144603	0.00993877	0.0414568	0.0273319	0.1154	0.296558	0.281426	0.0465914	0.177498
í	0.00125307	0.00121465	0.0111716	0.0384044	0.0159462	0.0326376	0.180104	0.230511	0.0121076	0.47665
i	0.00231476	0.00447244	0.00489594	0.0452357	0.0443295	0.212084	0.242866	0.30528	0.0342395	0.104282
b	0.00360311	0.00124484	0.00708923	0.0436308	0.0189473	0.00453371	0.0616031	0.168592	0.595615	0.0951404
έ	0.000193942	3.11074e-05	0.00454886	0.0242664	0.00621883	0.000619083	0.00274288	0.0231517	0.915897	0.0223306
r	0.000702236	2.47222e-05	0.00227406	0.0235641	0.0184966	0.0135563	0.0241054	0.0505451	0.597028	0.269703
έ	0.0334532	0.00440854	0.0388748	0.120548	0.0853649	0.322732	0.11057	0.0604792	0.0487924	0.174777
n	0.00208216	0.000619896	0.00135673	0.00448437	0.00760789	0.123395	0.0777585	0.351164	0.201859	0.229672
ω	0.00165268	0.0115369	0.000481072	0.00155808	0.0178749	0.358367	0.40472	0.192792	0.0022208	0.00879581
</S>	0.00140604	0.000695509	0.00240694	0.0099273	0.0230976	0.0763468	0.131503	0.471665	0.01613	0.266822
