 	il	est	très	fatigué	il	travaille	beaucoup	</S>
m	0.854004	0.0823953	0.0263788	0.0185855	0.0107166	0.00522497	0.00222695	0.000467917
a	0.570785	0.130114	0.0639017	0.0105923	0.0264924	0.00717959	0.0160433	0.174892
á	0.136734	0.555977	0.0870018	0.0355927	0.0484159	0.00619913	0.00574985	0.12433
m	0.148691	0.56727	0.114659	0.0200866	0.0131394	0.020114	0.0122702	0.103769
i	0.0430137	0.627044	0.181069	0.0292753	0.029976	0.00590327	0.00145325	0.0822663
y	0.0175528	0.233572	0.312557	0.395187	0.01167	0.00479821	0.00138211	0.0232805
ú	0.00281954	0.267917	0.620246	0.0399023	0.00653118	0.0119618	0.00774716	0.0428743
l	0.0218946	0.1199	0.288644	0.006063	0.00909884	0.00377094	0.0117817	0.538846
á	0.00649076	0.12242	0.525737	0.0612742	0.0510707	0.00998218	0.0189717	0.204053
ω	0.0433027	0.158822	0.396535	0.27827	0.0894225	0.0191901	0.00553028	0.00892731
k	0.00410443	0.0957495	0.341921	0.343672	0.107285	0.0828795	0.0129181	0.0114703
ώ	0.00139007	0.0047155	0.0589103	0.811283	0.0521497	0.0103453	0.0343414	0.026865
b	5.91609e-05	0.000709784	0.0121583	0.970551	0.00942863	0.000352743	0.00157866	0.00516186
h	0.00886858	0.0589451	0.166553	0.409816	0.240674	0.0157832	0.00900466	0.0903545
ω	0.00239278	0.0138743	0.0879685	0.737044	0.109527	0.00163172	0.00889906	0.0386623
w	0.00343058	0.00347123	0.033681	0.179945	0.742567	0.0124323	0.00929972	0.0151728
a	0.0486857	0.0128142	0.0650009	0.0710872	0.736908	0.0160952	0.0248974	0.0245113
l	0.00656976	0.00314971	0.0151946	0.0198269	0.590511	0.228577	0.0602377	0.0759335
á	0.0110604	0.0221726	0.0549924	0.0587067	0.121748	0.212559	0.215617	0.303144
a	0.0237403	0.0161052	0.0477903	0.0102979	0.115026	0.243394	0.437235	0.106411
p	0.00163114	0.0480778	0.0887922	0.0653033	0.010676	0.339897	0.364576	0.0810465
é	0.000113164	0.0136538	0.0796909	0.0221253	0.015653	0.450453	0.136295	0.282016
n	0.000300729	0.00700387	0.0533851	0.0198373	0.0680257	0.192502	0.218886	0.440059
d	0.000573599	0.00526245	0.0258377	0.0146284	0.0936644	0.165204	0.463246	0.231583
á	0.0016403	0.00867377	0.040528	0.0156926	0.12384	0.12987	0.325141	0.354614
ω	0.0101674	0.00392088	0.0147629	0.00872998	0.160442	0.0639672	0.43041	0.3076
s	0.000857913	0.024618	0.0348496	0.00635712	0.0150779	0.114878	0.593968	0.209394
á	0.000430374	0.0123868	0.0284846	0.00162724	0.00278256	0.145114	0.490077	0.319098
l	0.000619406	0.00124514	0.00321403	0.00034298	0.00565809	0.0453175	0.332145	0.611458
á	0.000146724	0.000192097	0.00209835	0.00212201	0.0176543	0.0377491	0.681504	0.258534
o	0.0023614	0.002437	0.00954107	0.00939807	0.0625152	0.021545	0.525913	0.366289
y	0.000167395	0.016544	0.0438793	0.0237429	0.0066933	0.0296033	0.587718	0.291652
í	9.83962e-05	0.00274752	0.0155701	0.0011795	0.00382971	0.0495564	0.362782	0.564236
í	0.000148485	0.00146587	0.00578634	0.000493184	0.0045268	0.0262335	0.127258	0.834088
</S>	0.00114533	0.00577368	0.0108904	0.00372889	0.0234327	0.0162082	0.357103	0.581717
