 	viens	m'	aider	à	porter	le	panier	</S>
y	0.94326	0.0265279	0.0195714	0.00546063	0.000680141	0.00383126	0.000626444	4.19972e-05
a	0.914789	0.0217667	0.0521134	0.00441871	0.00161384	0.00183955	0.00230149	0.00115696
á	0.103349	0.523011	0.312566	0.0201696	0.0124544	0.0111065	0.00917707	0.00816621
ω	0.0511803	0.40588	0.383525	0.0359431	0.0280603	0.0345563	0.0147951	0.0460603
y	0.01705	0.15843	0.536803	0.156467	0.0935502	0.0112747	0.0050818	0.0213434
a	0.00680696	0.151247	0.755772	0.0204429	0.0515622	0.00160582	0.000963236	0.0116004
m	0.00670057	0.0745955	0.549665	0.0364705	0.0560113	0.0234573	0.00999825	0.243101
b	0.0012872	0.051305	0.486825	0.301561	0.0584006	0.0324214	0.00791023	0.0602889
á	0.00643202	0.0216443	0.0936544	0.487848	0.0549607	0.035201	0.0060407	0.294219
n	0.00287995	0.484426	0.10202	0.295037	0.0591173	0.0426906	0.00635773	0.00747076
g	0.00422885	0.653605	0.0388881	0.112536	0.0592781	0.0253035	0.0340463	0.0721147
á	0.0116913	0.444321	0.0750836	0.125398	0.1534	0.0636731	0.0839398	0.0424944
m	0.000253358	0.00600252	0.0487177	0.46151	0.139177	0.212825	0.0690879	0.062426
ó	0.000369344	0.0016132	0.0417152	0.26031	0.160063	0.348006	0.0367418	0.151182
i	0.000656033	0.00255135	0.04029	0.142153	0.428212	0.195603	0.133775	0.0567602
b	0.00015266	0.000608278	0.0073342	0.050855	0.62478	0.127958	0.0660478	0.122264
é	0.000424236	0.00146236	0.00670529	0.128797	0.304834	0.0847045	0.381892	0.09118
l	1.80844e-05	0.00292535	0.0112757	0.0317282	0.494251	0.0511714	0.114148	0.294483
a	1.07663e-05	0.000870474	0.00335627	0.04693	0.634931	0.0695231	0.0492607	0.195118
l	4.06858e-05	0.00113914	0.00668516	0.0549178	0.209841	0.371318	0.0659088	0.290149
á	7.47676e-05	0.00182462	0.00260719	0.0291632	0.251656	0.215538	0.21426	0.284876
p	0.000196039	0.00761152	0.00868384	0.0105654	0.0283236	0.169702	0.726965	0.0479519
ε	0.000300973	0.00117201	0.00583809	0.0139317	0.0475066	0.0845158	0.64933	0.197405
n	0.000748863	0.00198296	0.00808187	0.0238292	0.072543	0.211965	0.505135	0.175714
g	0.000354972	0.00143416	0.00141514	0.0133981	0.0723336	0.215232	0.542684	0.153149
ε	8.00351e-05	0.000533661	0.000645828	0.00401798	0.0159967	0.0854369	0.703728	0.189561
</S>	4.22202e-05	0.000170313	0.000843587	0.00542006	0.0127107	0.16449	0.341752	0.474572
