 	ils	ont	acheté	la	viande	au	marché	</S>
b	0.968439	0.0272606	0.000634078	0.0028452	0.000458483	0.000280314	7.37728e-05	9.06668e-06
á	0.884803	0.0905831	0.0117626	0.00648504	0.00309346	0.00255829	0.000287158	0.000427168
a	0.923094	0.0554965	0.0153219	0.00147602	0.00291423	0.00044388	0.000565232	0.000688046
á	0.201434	0.619254	0.0553636	0.0162185	0.00597108	0.0166801	0.00310285	0.0819763
m	0.00867325	0.169545	0.789263	0.0165541	0.0051806	0.00421438	0.00204333	0.00452601
i	0.00421799	0.0834982	0.801634	0.0705466	0.0170887	0.00840588	0.0026915	0.0119172
s	0.00263575	0.185784	0.687056	0.0947771	0.01183	0.00327115	0.00430524	0.0103405
ó	4.2201e-05	0.0040059	0.985486	0.00622789	0.00277329	0.000262598	0.000504937	0.000697547
m	0.00129652	0.0343903	0.339452	0.424699	0.0716694	0.030695	0.0247227	0.0730751
b	0.0101712	0.0534128	0.057081	0.574665	0.229037	0.0392349	0.015972	0.0204258
á	0.0279673	0.149035	0.00819034	0.507679	0.148945	0.0353022	0.00482862	0.118052
n	0.00342738	0.0287049	0.0060301	0.383779	0.428106	0.13716	0.00674649	0.00604545
y	0.00191544	0.00260941	0.000974327	0.0654721	0.834382	0.0360802	0.0176422	0.0409245
a	0.000381885	0.00113317	0.00200189	0.0190498	0.857581	0.0502784	0.0529819	0.016592
m	0.000145831	0.00696262	0.0168384	0.150132	0.570896	0.137158	0.0684486	0.049419
a	0.00144274	0.00417027	0.00057784	0.140187	0.264559	0.205716	0.277156	0.106192
ó	0.000365964	0.00924279	0.00200728	0.0596208	0.108559	0.596272	0.0871602	0.136772
d	0.00368718	0.0397608	0.0190537	0.0739589	0.0470311	0.507119	0.260881	0.0485078
z	0.000158606	0.00409626	0.00726903	0.0120554	0.0278	0.150597	0.507807	0.290216
á	0.00055451	0.0015103	0.00439382	0.0218624	0.0146079	0.0896895	0.776011	0.09137
n	0.000251297	0.00342613	0.00326024	0.0219205	0.0171368	0.159068	0.535496	0.259441
d	0.00040352	0.000555509	0.00101256	0.00498472	0.103018	0.0906437	0.570768	0.228614
e	0.000112916	0.000347245	0.00139119	0.00525115	0.178605	0.0729121	0.632449	0.108931
</S>	1.11002e-05	0.000208773	0.000317512	0.0117026	0.0337701	0.0906675	0.372289	0.491034
