 	le	père	de	cet	enfant-ci	est	le	chef	du	village	</S>
t	0.532473	0.364944	0.0382989	0.0399165	0.0101919	0.00339133	0.00457919	0.00188918	0.00407631	5.09265e-05	0.000188609
á	0.0463087	0.903354	0.0216656	0.00608715	0.00410511	0.00136232	0.00232633	0.00789003	0.00594831	0.000301716	0.000650333
á	0.00830714	0.949369	0.0124483	0.00546502	0.0102926	0.00292196	0.00193418	0.00247805	0.00112984	0.000372799	0.00528122
y	0.177487	0.271725	0.34265	0.0480877	0.0184519	0.040529	0.0117333	0.00106346	0.0205124	0.000802438	0.0669579
a	0.153249	0.202516	0.332242	0.149069	0.0389487	0.0265551	0.0108787	0.00282367	0.0136091	0.0222033	0.0479053
m	0.369106	0.0360071	0.394621	0.12888	0.0250531	0.00694017	0.00392291	0.000330415	0.0143726	0.00114456	0.019622
w	0.128981	0.00709729	0.0806637	0.138389	0.629551	0.00392718	0.000787642	0.000270593	0.000292329	0.00172176	0.00831867
á	0.0194099	0.0137284	0.0236332	0.0834871	0.822378	0.00521492	0.00284291	0.00597654	0.000683914	0.000948469	0.0216964
n	0.204095	0.0102172	0.0266235	0.162966	0.574391	0.0016304	0.00167045	0.00104079	0.00160343	0.000259847	0.0155028
a	0.32657	0.120021	0.0304163	0.0853647	0.346298	0.00524015	0.00543107	0.00604736	0.00489873	0.00107873	0.0686344
w	0.093829	0.016236	0.313458	0.324872	0.0602277	0.123035	0.0397032	0.00247375	0.019962	0.000521636	0.00568239
ó	0.121564	0.191724	0.203389	0.133532	0.0705517	0.0872052	0.0229711	0.0210104	0.0446866	0.00287777	0.100489
a	0.0397275	0.00625582	0.366858	0.107046	0.0432301	0.257608	0.0545921	0.00519949	0.0367836	0.00174022	0.0809595
d	0.00106739	0.000597451	0.0521301	0.0221306	0.0207927	0.643934	0.1825	0.0145128	0.0201416	0.00495714	0.037236
í	0.00114949	0.000207473	0.0762704	0.0540334	0.0239867	0.52642	0.206002	0.0140783	0.0179065	0.00372268	0.0762226
o	0.00363443	6.19479e-05	0.0944159	0.0721709	0.0217681	0.372126	0.323118	0.0165925	0.0575387	0.00560894	0.0329643
k	0.00049742	0.000113751	0.00357321	0.00831022	0.0026467	0.0328365	0.216356	0.678754	0.0111129	0.0398949	0.00590438
o	2.06391e-05	4.38635e-05	0.000506942	0.000564549	0.000668989	0.00607391	0.0254344	0.953256	0.00164214	0.0057283	0.00606051
n	9.25975e-06	6.38368e-06	0.00133762	0.00257385	0.000349541	0.00741526	0.0343627	0.926919	0.00663574	0.0156959	0.00469427
d	0.000527247	0.000256471	0.0039076	0.00257111	0.0012356	0.00782988	0.0291567	0.893786	0.00627529	0.00564557	0.0488089
z	0.00862235	0.00517995	0.0295142	0.0113142	0.0115478	0.0173309	0.0379045	0.75214	0.0147328	0.0255065	0.0862065
i	0.00850512	0.0061646	0.0181693	0.0105664	0.0188473	0.0147761	0.0297238	0.702388	0.0143478	0.0426782	0.133833
y	0.00441554	0.00109372	0.0285869	0.023358	0.0103972	0.17052	0.172658	0.141059	0.308517	0.0144713	0.124923
a	0.0341781	0.0038978	0.105203	0.0557671	0.00324248	0.0980371	0.101849	0.0499452	0.234845	0.18994	0.123096
p	0.016188	0.00189848	0.0715107	0.0564656	0.00134519	0.0213942	0.0573344	0.0185277	0.280449	0.447756	0.0271312
o	0.000927411	0.00610856	0.00572837	0.00367425	0.000619086	0.00816347	0.0133234	0.0588257	0.0303633	0.857838	0.0144287
o	0.000369683	0.000781846	0.00208587	0.00229255	0.000175486	0.00721602	0.0295611	0.130519	0.0593363	0.685978	0.0816835
</S>	0.00496747	0.000131535	0.0133634	0.00440625	0.000308522	0.0358865	0.111824	0.0196256	0.288154	0.00722632	0.514106
