 	il	est	blessant	sans	s'	en	rendre	compte	</S>
w	0.877682	0.0514521	0.0128777	0.0254395	0.00975684	0.0141011	0.0072058	0.000548437	0.000936384
a	0.891558	0.0252058	0.00324489	0.0319209	0.0295572	0.0116909	0.00466602	0.00190176	0.00025455
l	0.167941	0.636455	0.0783529	0.0191634	0.0162689	0.0305721	0.0173472	0.00870563	0.0251938
á	0.197984	0.284729	0.147655	0.101585	0.0442357	0.059449	0.0321087	0.0183421	0.113912
a	0.279232	0.232053	0.188564	0.0985958	0.0503109	0.0282803	0.0197327	0.00795974	0.0952713
t	0.015972	0.344173	0.552273	0.0132775	0.0196446	0.010093	0.00913646	0.0130866	0.0223443
i	0.00826463	0.339496	0.524294	0.0193321	0.0236498	0.0105177	0.00637786	0.015677	0.0523906
á	0.00343575	0.287342	0.560262	0.0356624	0.0374856	0.0269317	0.0123281	0.00539522	0.031157
o	0.00714618	0.0414292	0.0563846	0.479956	0.23706	0.120682	0.031369	0.00680601	0.0191675
b	0.000545628	0.0165156	0.0324374	0.113619	0.436356	0.236572	0.0927299	0.0534911	0.0177337
é	0.0043337	0.0381079	0.0670152	0.157956	0.403829	0.172616	0.0413956	0.0810769	0.0336698
a	0.00135142	0.0580867	0.126429	0.0481707	0.148401	0.155341	0.0466828	0.120582	0.294956
d	0.00199492	0.0112503	0.00876464	0.247785	0.177139	0.302474	0.199815	0.0149478	0.0358285
í	0.000313846	0.00583946	0.00546753	0.122047	0.106953	0.150747	0.0527313	0.0411767	0.514724
o	0.00101429	0.0116676	0.0110182	0.0989277	0.0449373	0.120119	0.175421	0.126122	0.410772
y	0.000218534	0.00960773	0.0125306	0.00877893	0.0222705	0.0491564	0.335322	0.465391	0.0967244
é	0.000818495	0.0263454	0.0104779	0.0526787	0.0282789	0.0743997	0.241576	0.339787	0.225638
b	0.000371126	0.00629026	0.00290422	0.0218109	0.013591	0.04755	0.0808219	0.215104	0.611557
h	0.00416593	0.0183892	0.0396877	0.109879	0.0466134	0.14454	0.231052	0.234579	0.171094
a	0.00110274	0.0102734	0.0306011	0.0619106	0.0295802	0.0726575	0.0638838	0.133044	0.596947
έ	0.000359379	0.00590191	0.00632147	0.0334481	0.0203971	0.0396452	0.107191	0.161001	0.625734
</S>	0.00221342	0.0192959	0.0302914	0.0355092	0.0463261	0.0767199	0.301396	0.198975	0.289273
