 	il	a	boudiné	le	fil	de	fer	</S>
w	0.890965	0.0608866	0.00897053	0.00902578	0.0264297	0.0036291	7.89593e-05	1.40475e-05
a	0.885109	0.0560299	0.00282483	0.0140004	0.0236732	0.017704	0.000646068	1.27244e-05
á	0.0256991	0.34161	0.590718	0.0348819	0.00160301	0.00130693	0.000241524	0.00393971
d	0.039089	0.227979	0.300831	0.206723	0.119285	0.0612166	0.00546681	0.0394095
í	0.000635016	0.204192	0.742266	0.0347938	0.00603594	0.0023289	0.000734803	0.00901354
n	0.000505549	0.0277272	0.790565	0.0874764	0.0157647	0.00885583	0.00668878	0.0624163
g	0.000413469	0.0199601	0.150084	0.123765	0.664175	0.0237324	0.00915587	0.00871328
i	0.000117263	0.00285428	0.0212626	0.0817622	0.86519	0.0161304	0.00944729	0.0032357
l	0.000861074	0.00703085	0.0127105	0.0930537	0.364344	0.317728	0.0906792	0.113593
i	0.0041304	0.0244	0.0579761	0.0951193	0.316864	0.279854	0.0718405	0.149816
l	0.00199735	0.00355255	0.00236957	0.0407843	0.122021	0.571846	0.183832	0.0735965
e	0.000448041	0.00130449	0.0103171	0.0166055	0.0514173	0.0990002	0.61362	0.207287
n	0.000241422	0.000594857	0.00191753	0.00772669	0.0131444	0.0612554	0.737493	0.177627
d	4.63933e-05	0.000151254	0.00105324	0.00860609	0.0231545	0.0390575	0.725331	0.2026
a	2.16458e-05	3.81735e-05	0.000358667	0.00654079	0.0380891	0.0129835	0.714623	0.227345
</S>	5.07562e-06	5.29065e-05	0.000794942	0.00382771	0.0162659	0.0177856	0.329114	0.632154
