 	je	découpe	un	peu	de	manioc	</S>
n	0.886592	0.0554334	0.0234995	0.0154246	0.0112637	0.00518029	0.00260666
g	0.999236	0.000115368	0.000140631	0.000100717	0.000264857	6.35281e-05	7.8541e-05
á	0.996945	0.00185456	0.00055333	9.90759e-05	0.000166565	0.000322999	5.82469e-05
l	0.3737	0.179167	0.0532407	0.029857	0.0693724	0.0192246	0.275438
í	0.66688	0.155754	0.0496128	0.0124252	0.0216497	0.0060496	0.0876285
i	0.0400208	0.183639	0.384625	0.0834595	0.0794999	0.0766397	0.152116
b	0.00423682	0.395618	0.544013	0.032084	0.00654298	0.00792282	0.00958223
v	0.000376936	0.861064	0.0963694	0.0291633	0.00612278	0.00515577	0.00174795
ú	0.000327105	0.872121	0.103234	0.0148837	0.00323215	0.00380847	0.00239357
á	0.0708675	0.0851973	0.29659	0.294466	0.0631702	0.128495	0.0612129
e	0.00254589	0.00697147	0.125334	0.340144	0.365589	0.105444	0.0539716
k	0.000411801	0.0044183	0.0787078	0.159938	0.19217	0.506345	0.0580086
ω	3.77331e-05	0.00258344	0.0963996	0.114385	0.0206469	0.744967	0.0209805
ω	3.83287e-05	0.00858654	0.107833	0.118192	0.0367963	0.695423	0.0331315
</S>	5.83564e-05	0.00216589	0.0233009	0.105325	0.468375	0.0973947	0.30338
