 	tous	les	biens	du	défunt	sont	hérités	par	son	épouse	</S>
k	0.395352	0.3375	0.0976392	0.105703	0.0396386	0.0128527	0.00159615	0.00329086	0.00596008	0.000173898	0.000293731
ú	0.467906	0.400326	0.0337318	0.0463152	0.0192098	0.00338769	0.0169781	0.00721862	0.000913995	0.000621423	0.00339171
r	0.243279	0.223543	0.0499411	0.218663	0.024156	0.0219874	0.0310313	0.0989931	0.00604922	0.000570243	0.0817872
ú	0.167801	0.218237	0.18371	0.248269	0.0520974	0.0143708	0.00665163	0.0735796	0.0215299	0.00184361	0.0119103
ú	0.30504	0.28036	0.197988	0.145887	0.0304974	0.00346988	0.00621095	0.00998702	0.00440805	0.000525179	0.015626
l	0.107808	0.200159	0.149519	0.209823	0.0654286	0.0260172	0.0304391	0.0458998	0.00358911	0.00552223	0.155795
ó	0.122772	0.112589	0.134715	0.18684	0.0611515	0.0401346	0.0787498	0.107489	0.00444419	0.00252309	0.148592
w	0.0107381	0.024913	0.102234	0.407931	0.272885	0.0668745	0.0411635	0.0254052	0.0119431	0.005816	0.0300968
é	0.0614316	0.0568041	0.0772795	0.262914	0.286011	0.131306	0.0384733	0.029371	0.0162029	0.00136131	0.0388447
e	0.0101846	0.019071	0.0545819	0.302068	0.414266	0.123596	0.019733	0.00875081	0.00961217	0.00273601	0.0354003
í	0.0150152	0.0215253	0.0220592	0.0578279	0.132445	0.161799	0.330926	0.0765323	0.00240007	0.00403843	0.175432
t	0.020936	0.0362299	0.0391688	0.0321296	0.0475693	0.0825586	0.476135	0.127692	0.00262662	0.0400019	0.0949524
s	0.00370366	0.00556692	0.0110455	0.0391431	0.059179	0.0978178	0.620936	0.101593	0.00158837	0.00464224	0.0547842
ω	0.011642	0.00770749	0.0184137	0.0495293	0.102801	0.0609451	0.655192	0.076757	0.00309711	0.00172487	0.0121914
í	0.00453213	0.00990998	0.0375897	0.070111	0.250119	0.228979	0.291944	0.057045	0.0201648	0.00182545	0.0277804
b	0.00433915	0.00421226	0.00758958	0.0157916	0.063901	0.225311	0.25541	0.234981	0.103548	0.0139426	0.0709738
v	0.0154048	0.0231219	0.0281178	0.0223447	0.111161	0.0866084	0.22234	0.3225	0.0398152	0.00808977	0.120496
u	0.0125313	0.0139023	0.0313066	0.0240909	0.0895258	0.128306	0.24354	0.280209	0.132953	0.00332815	0.040307
u	0.00617554	0.00518034	0.0103974	0.0144481	0.0296867	0.0825944	0.1239	0.510669	0.140997	0.0158996	0.0600513
l	0.00357761	0.00386722	0.00229452	0.00769924	0.0149504	0.0403301	0.0412792	0.573023	0.152977	0.0507645	0.109238
a	0.0033196	0.00320117	0.00330778	0.00797638	0.0108136	0.0502127	0.068087	0.565819	0.0863378	0.00966275	0.191262
m	0.000417239	0.000685031	0.00141363	0.00457489	0.0156958	0.0300589	0.0144643	0.16784	0.644106	0.050888	0.0698558
w	0.000587588	0.00162368	0.00654387	0.00205002	0.00117941	0.00143681	0.00068939	0.0451736	0.227602	0.674153	0.0389606
á	0.000487165	0.00107918	0.00577021	0.000452122	0.000234316	0.000387871	0.00141546	0.0366368	0.0277188	0.918362	0.00745635
s	0.00289404	0.00911731	0.0267126	0.00132223	0.00385137	0.00487645	0.00271258	0.01771	0.853083	0.052165	0.0255551
í	0.0046069	0.00687803	0.0110744	0.00717192	0.00429681	0.0189232	0.0111547	0.148021	0.137007	0.297905	0.352961
</S>	0.0012407	0.00150867	0.00219656	0.00720482	0.0207189	0.0528909	0.0136761	0.100018	0.272596	0.0436412	0.484308
