 	les	poules	se	battaient	à	coups	de	bec	</S>
a	0.603519	0.286887	0.0760743	0.0159861	0.0086584	0.00373278	0.00430313	0.000667506	0.000172158
t	0.0336742	0.946152	0.0103671	0.00357273	0.000497822	0.000458362	0.00072282	0.00424043	0.000314771
s	0.0102956	0.965681	0.00766632	0.0117657	0.00128326	0.000537899	0.000198387	0.00167807	0.000894007
ó	0.0282496	0.874945	0.0428795	0.0443701	0.00423531	0.00109357	0.000594743	0.000257065	0.00337528
s	0.317915	0.493314	0.0644597	0.0997123	0.00537167	0.00303318	0.00266612	0.00245234	0.0110755
ó	0.171209	0.470988	0.108011	0.0894074	0.0547413	0.00629724	0.00660946	0.0130743	0.0796637
b	0.128807	0.0518459	0.642766	0.0546521	0.0559105	0.0176231	0.0209208	0.000537139	0.0269371
á	0.326692	0.00446908	0.303423	0.080407	0.0983524	0.0888324	0.0261629	0.000180204	0.0714815
a	0.356035	0.0177107	0.346786	0.105607	0.101047	0.024683	0.0195365	0.00310423	0.0254897
t	0.0459872	0.0370824	0.0807268	0.462948	0.135569	0.110591	0.0389884	0.0283105	0.0597961
ó	0.0125216	0.0587825	0.0152414	0.758481	0.0522619	0.0420811	0.00695832	0.0280338	0.025638
b	0.0128288	0.138524	0.0299504	0.738311	0.030074	0.0229576	0.00472519	0.00802604	0.0146022
h	0.0394134	0.0441525	0.0338006	0.629447	0.084814	0.0533313	0.0113157	0.0285163	0.0752094
ó	0.0103805	0.0233224	0.0421843	0.512684	0.062847	0.0904739	0.0233575	0.0264379	0.208313
l	0.0161118	0.00244804	0.11321	0.032652	0.390556	0.260412	0.112688	0.00897891	0.0629431
á	0.0263632	0.0131716	0.0269451	0.0140095	0.258642	0.256344	0.114621	0.0116542	0.27825
a	0.0109127	0.00716756	0.0262841	0.00934739	0.229316	0.210312	0.43052	0.0242482	0.0518923
b	0.00654084	0.00699953	0.00462263	0.00980683	0.0366111	0.283779	0.187336	0.434144	0.0301603
i	0.00277632	0.00185065	0.00584194	0.0319056	0.0178406	0.578922	0.0477739	0.299908	0.0131817
a	0.00321989	0.00183458	0.00729343	0.00828244	0.0635811	0.292089	0.0740876	0.221892	0.32772
</S>	0.00610561	0.000762652	0.00658068	0.000963514	0.0374239	0.0839933	0.508898	0.0190017	0.336271
