 	aujourd'	hui	je	vais	manger	de	la	viande	fumée	</S>
p	0.564698	0.404868	0.0215018	0.00169854	0.000540165	0.00229139	0.00281814	0.00127769	0.000126687	0.000179212
á	0.139638	0.857734	0.000613743	0.000898645	0.000489627	0.000275587	0.000165299	5.15201e-05	9.06059e-05	4.31891e-05
b	0.0732117	0.845043	0.00750082	0.00904429	0.0456758	0.0119845	0.00279701	0.000394938	0.000688994	0.00365895
h	0.208898	0.749353	0.0027396	0.00768653	0.00572845	0.00689996	0.00132476	0.000240776	0.000324154	0.0168054
a	0.0795258	0.907737	0.000725583	0.00264934	0.00210374	0.00192763	0.000616211	0.000163585	0.000298967	0.00425199
y	0.396992	0.344254	0.163915	0.0485667	0.00526792	0.00937665	0.00541785	0.00133445	0.000590443	0.0242849
é	0.362999	0.150931	0.106144	0.101242	0.0237056	0.0211532	0.0516579	0.0453105	0.0437019	0.0931543
n	0.0930036	0.157926	0.440467	0.115834	0.0241634	0.0158263	0.0259337	0.0226187	0.015378	0.0888484
g	0.0459995	0.00427898	0.576215	0.0644361	0.00184778	0.00508833	0.0182516	0.22979	0.0130291	0.0410634
á	0.0114997	0.00421726	0.595333	0.0461868	0.00407192	0.00602637	0.0177588	0.278702	0.0239595	0.0122447
l	0.083272	0.0379984	0.40587	0.161767	0.100433	0.0918928	0.0516523	0.0175623	0.00267481	0.0468772
í	0.00864697	0.00575303	0.326533	0.246268	0.135492	0.0443149	0.0316458	0.0409257	0.00362357	0.156796
i	0.0430929	0.0479304	0.222111	0.122487	0.209329	0.149516	0.0777065	0.0303338	0.0208002	0.0766936
d	0.00255094	0.00277506	0.0222618	0.328526	0.489061	0.0985666	0.0105216	0.00784683	0.00368467	0.0342048
z	0.000831913	0.00120932	0.00467325	0.131028	0.711388	0.1234	0.0132998	0.00166489	0.00429115	0.00821413
á	0.0036741	0.00298311	0.0214457	0.214952	0.664197	0.0739965	0.0126983	0.00117043	0.00255776	0.00232493
m	0.00236933	0.00251714	0.0341099	0.0330584	0.37294	0.301612	0.110374	0.0278617	0.0388815	0.0762753
é	0.00180807	0.000236828	0.00770431	0.0288039	0.190345	0.326486	0.237193	0.0741353	0.0251405	0.108147
w	0.00418759	0.000583535	0.00415257	0.0170399	0.0771462	0.231464	0.219882	0.167157	0.127187	0.151199
ó	0.00285809	0.017901	0.0101563	0.00799461	0.0186973	0.202284	0.27879	0.139349	0.199534	0.122436
m	0.00305179	0.00176765	0.00592103	0.0116672	0.0325666	0.148418	0.209519	0.201301	0.126952	0.258835
í	0.0112065	0.00266859	0.00189637	0.00238696	0.0202284	0.122275	0.243227	0.0489963	0.0346908	0.512424
í	0.00378923	0.000787907	0.0070603	0.00615193	0.020847	0.108052	0.171933	0.195739	0.240444	0.245195
</S>	0.00201283	0.00100002	0.00912765	0.0195838	0.0266637	0.100818	0.182734	0.1245	0.0594182	0.474142
