 	voler	est	une	mauvaise	action	</S>
y	0.364314	0.378513	0.194359	0.0334016	0.0247234	0.00468911
í	0.788517	0.122507	0.027722	0.00291495	0.00377403	0.0545646
b	0.522251	0.383887	0.063628	0.00250296	0.00182431	0.0259065
h	0.412254	0.180254	0.102189	0.0329057	0.224722	0.047675
a	0.10193	0.230304	0.137644	0.0292744	0.17592	0.324927
í	0.288831	0.325122	0.204119	0.109768	0.0359396	0.036221
d	0.0966845	0.315094	0.308173	0.163879	0.027383	0.0887856
í	0.0407418	0.0752939	0.0740518	0.0326188	0.00603228	0.771261
i	0.0533401	0.0817601	0.231232	0.315324	0.0886239	0.22972
b	0.00995475	0.0286786	0.118332	0.127589	0.231734	0.483711
é	0.01411	0.0195553	0.0733843	0.164902	0.599135	0.128913
</S>	0.00271311	0.00702445	0.0376962	0.0846262	0.408446	0.459494
