 	mon	neveu-ci	me	méprise	toujours	</S>
m	0.461349	0.479558	0.034538	0.0201737	0.00277514	0.00160605
w	0.106375	0.692169	0.17107	0.0107886	0.00314248	0.0164545
á	0.029391	0.939885	0.0255313	0.00290408	0.00131176	0.000977219
n	0.238076	0.758891	0.00139659	0.000257378	9.97404e-05	0.00127957
a	0.07061	0.828732	0.0404841	0.00486599	0.00321135	0.0520966
b	0.687961	0.179216	0.0626737	0.0357692	0.0199064	0.014473
o	0.51629	0.0697212	0.25052	0.0840189	0.0501044	0.0293461
l	0.255264	0.0553144	0.19505	0.0958765	0.0549442	0.343551
a	0.781765	0.0725857	0.0561739	0.0355425	0.0161649	0.0377677
y	0.481075	0.167217	0.244166	0.0431257	0.0173629	0.0470526
a	0.92292	0.0154627	0.0399864	0.00955935	0.00384333	0.00822833
n	0.691902	0.0558884	0.187939	0.0302815	0.00868862	0.0252999
g	0.858664	0.0084456	0.097384	0.0180229	0.00513148	0.012352
á	0.186877	0.0739853	0.563343	0.0756171	0.024861	0.0753164
w	0.0537007	0.0700398	0.65772	0.170562	0.0212531	0.026725
ó	0.106008	0.0557141	0.55773	0.165228	0.0481281	0.0671919
a	0.0427638	0.00838795	0.230808	0.477392	0.0734383	0.16721
d	0.0145596	0.000455124	0.216453	0.454182	0.0991847	0.215166
i	0.0103601	0.000290441	0.111238	0.406665	0.081508	0.389939
í	0.0130334	0.000697014	0.0552388	0.612387	0.151634	0.16701
l	0.0147794	0.000765488	0.0704054	0.470464	0.344742	0.0988438
á	0.00124338	0.000160092	0.0203485	0.282441	0.436632	0.259176
a	0.00311077	0.000923002	0.0541572	0.365979	0.491812	0.0840188
b	0.000686341	0.000164385	0.0111428	0.168191	0.751028	0.0687871
o	0.000251426	0.000939943	0.0375807	0.25861	0.574207	0.128411
n	3.92565e-05	1.10204e-05	0.0031738	0.173534	0.340801	0.48244
á	0.00365354	0.000102706	0.0141119	0.378262	0.25164	0.35223
á	0.00839108	0.00243191	0.0397819	0.189791	0.275559	0.484045
n	0.0338799	0.00214342	0.0871256	0.230048	0.500339	0.146463
g	0.30362	0.00307263	0.107582	0.165174	0.249652	0.1709
á	0.0571204	0.00177007	0.193053	0.299387	0.320509	0.12816
</S>	0.00234861	0.000512025	0.0160045	0.209705	0.373144	0.398286
